Número da Issue,ID,Quant. comentários,Título
22,MDU6SXNzdWUxMTU5MjgwOTc=,541,OpenCL support
37,MDU6SXNzdWUxMTU5NTY5Mjc=,246,Node.js (JavaScript) Wrapper API
24828,MDU6SXNzdWUzOTc4MTYxOTI=,205,"Error : Failed to get convolution algorithm. This is probably because cuDNN failed to initialize, so try looking to see if a warning log message was printed above."
22794,MDU6SXNzdWUzNjc0MzI2MDI=,184,Win10: ImportError: DLL load failed: The specified module could not be found
17,MDU6SXNzdWUxMTU5MjU5NjQ=,180,Windows Support and Documentation
12052,MDU6SXNzdWUyNDgxMzU1NjA=,170,Upgrade to CuDNN 7 and CUDA 9
27880,MDU6SXNzdWU0MzM1NTAwNjg=,149,Quantization-Aware Training support in Keras
42,MDU6SXNzdWUxMTU5NzA2OTk=,144,Windows support
20444,MDU6SXNzdWUzMzcyMzUzMDY=,143,Unable to install TensorFlow on Python3.7 with pip
6698,MDU6SXNzdWUxOTkyNDU4Njk=,142,Crash: Could not create cuDNN handle when convnets are used
15633,MDU6SXNzdWUyODQ1MDMwMDQ=,141,[Question&Error] Is there detection model like a SSD-Mobile-net in tensorflow-lite?
24496,MDU6SXNzdWUzOTMzMzQyNzA=,134,Could not create cudnn handle: CUDNN_STATUS_INTERNAL_ERROR
17022,MDU6SXNzdWUyOTcyODg4MDA=,134,Is python 3.7.x supported with Tensorflow
15604,MDU6SXNzdWUyODQzMDc4MzU=,134,ImportError: libcublas.so.9.0: cannot open shared object file: No such file or directory
7951,MDU6SXNzdWUyMTA5MjAwMDM=,134,[Enhancement] Redesigning TensorFlow's input pipelines
1122,MDU6SXNzdWUxMzM5ODAyMDY=,127,Easy to use batch norm layer.
33374,MDU6SXNzdWU1MDcyMzc3ODA=,113,Python3.8 support
5,MDU6SXNzdWUxMTU5MTA5MDA=,112,Java interface
8191,MDU6SXNzdWUyMTI2OTAyOTM=,102,ValueError: Attempt to reuse RNNCell with a different variable scope than its first use.
25,MDU6SXNzdWUxMTU5MzgyNDg=,101,Cuda 3.0?
17411,MDU6SXNzdWUzMDIwNzU1MTM=,100,Illegal instruction (core dumped) after running import tensorflow
17390,MDU6SXNzdWUzMDE5MzQ3NzI=,91,Full-fledged Java api roadmap?
14182,MDU6SXNzdWUyNzA2Mjk1NTk=,89,Creating a specific 3.6 binary for Linux
26297,MDU6SXNzdWU0MTY1MTc3MjQ=,87,Tensorflow lite gpu delegate inference using opengl and SSBO in android
6999,MDU6SXNzdWUyMDIzMzcyNzY=,87,Please update Windows TF to support python 3.6
26289,MDU6SXNzdWU0MTY0NzIyNTk=,85,Compatibility with Cuda 10.1? 
851,MDU6SXNzdWUxMjgzMjE3Mjg=,85,tensorflow for Nvidia TX1
18652,MDU6SXNzdWUzMTU0Njk1NjA=,84,Bug: tensorflow-gpu takes long time before beginning to compute
23747,MDU6SXNzdWUzODA3Njc4MDQ=,83,Feature Request - Deeplab TFLITE Android Application
10685,MDU6SXNzdWUyMzU2MjM2OTU=,83,Darwin support for MKL build / configure script
206,MDU6SXNzdWUxMTY4MjcyNjM=,83,Generalize slicing and slice assignment ops (including gather and scatter)
50,MDU6SXNzdWUxMTU5OTY5MTQ=,83,Ruby API
20517,MDU6SXNzdWUzMzc4ODA1ODQ=,80,Python 3.7 compatibility
3628,MDU6SXNzdWUxNjkxOTU2NjA=,79,Unable to import frozen graph with batchnorm
2034,MDU6SXNzdWUxNDk2OTg5NzI=,79,segmentation fault
386,MDU6SXNzdWUxMTk3MjA5MTM=,79,Implement Fast Fourier Transform ops
18,MDU6SXNzdWUxMTU5MjYyMDg=,79,C# api
4359,MDU6SXNzdWUxNzY3MDg1OTU=,77,Feature Request: plug-in support for new devices
19297,MDU6SXNzdWUzMjMzMDY2MjI=,74,[Feature Request] GCS and S3 support on windows
13463,MDU6SXNzdWUyNjI0MDI4MTg=,74,DataLossError (see above for traceback): corrupted record at 12
4105,MDU6SXNzdWUxNzQxMDU2MDg=,74,ERROR: no such package '@local_config_cuda//crosstool': BUILD file not found on package path. 
1592,MDU6SXNzdWUxNDI5MDI2MDU=,74,Binary ops
2412,MDU6SXNzdWUxNTU0MDQ3NTA=,73,Packaged TensorFlow C++ library for bazel-independent use
26182,MDU6SXNzdWU0MTUyNTE2MDU=,72,ImportError: libcublas.so.10.0: cannot open shared object file: No such file or directory
6683,MDU6SXNzdWUxOTkxMzkzMDM=,72,Tensorflow Model with CTC loss having save and restore problem
26502,MDU6SXNzdWU0MTkwMzE0NTY=,69,IDE cannot resolve module tf.keras
781,MDU6SXNzdWUxMjY4MTc3MTY=,69,rotate an image for data augmentation
17950,MDU6SXNzdWUzMDgwMjQ0MTY=,68,`tf.keras.model_to_estimator` doesn't work well in evaluating
11416,MDU6SXNzdWUyNDE4MDg0NDQ=,68,Distributed training with synchronized SGD using 'grpc+verbs' sometimes hangs indefinitely
675,MDU6SXNzdWUxMjQ3NDAzNjY=,68,Gradients of non-scalars (higher rank Jacobians)
