Número da Issue,ID,Quant. comentários,Título
60,MDU6SXNzdWUxODY3Njc2OTE=,0,Google 
99,MDU6SXNzdWUxOTgxMDExODc=,0,Translation: Portuguese
125,MDU6SXNzdWUxOTkyNTU4NTc=,0,How to Translate
130,MDU6SXNzdWUxOTk5NTM1MTI=,0,A little bad news. I didn'
294,MDU6SXNzdWUyODY1MjY2MDg=,0,Translation: Russian (v.2)
318,MDU6SXNzdWUzMTM4MTI0NjA=,0,"Removing Operational System generated files (DS_Store,Thumbs.db..)"
334,MDU6SXNzdWUzMjU1ODUyMDg=,0,"""Tree Height Remark (video)"" under ""Heap / Priority Queue / Binary Heap"""
348,MDU6SXNzdWUzMzU0ODc1ODg=,0,Fix typos in README.md
374,MDU6SXNzdWUzNzM2NTI4Mzg=,0,Hash Table section probably incorrect link
386,MDU6SXNzdWUzNzk1NjU4MjQ=,0,Broken Links to Bit Twiddler
419,MDU6SXNzdWU0MjgwNzYxOTI=,0,Translation: Albanian
429,MDU6SXNzdWU0NjA4NzA3MTY=,0,Flashcards available in Duolingo Tinycards 
437,MDU6SXNzdWU0NzM1NDAwODU=,0,Translation: Brazilian Portuguese
498,MDU6SXNzdWU1ODYwMzQwNzQ=,0,jwasham
509,MDU6SXNzdWU2MDEzNDUwODk=,0,MyCodingDream
511,MDU6SXNzdWU2MDI1NTIwMDc=,0,Coding interview preparation
5,MDU6SXNzdWUxODE0Mjk0MzM=,1,License
21,MDU6SXNzdWUxODE4MDkzMjg=,1,Add Google's Own guide for Technical Development
25,MDU6SXNzdWUxODE4ODYwNDk=,1,Add Computer Course Resources
26,MDU6SXNzdWUxODE4OTAzMDY=,1,How floating point numbers are stored
64,MDU6SXNzdWUxOTEyMjc4MzQ=,1,Use awesome_bot with Travis CI for verify links
70,MDU6SXNzdWUxOTU5ODg4NTc=,1,Please add geeksforgeeks.org
96,MDU6SXNzdWUxOTc4NTYwOTk=,1,Broken link
135,MDU6SXNzdWUyMDA3MzM2MTE=,1,Translation: German
170,MDU6SXNzdWUyMTUwNzk1NzQ=,1,Translation: Italian
183,MDU6SXNzdWUyMTg5ODg1MDE=,1,Interview Experience Request
184,MDU6SXNzdWUyMjA2MjAyMzA=,1,Regarding remove Implementation in the arrays
195,MDU6SXNzdWUyMjM2MDk0NDk=,1,"Add ""see also"" links to standard libraries"
202,MDU6SXNzdWUyMjY2NjUxNDE=,1,"URL for ""What Every Programmer Should Know About Memory"" incorrect in README"
211,MDU6SXNzdWUyMzM0NDU3ODU=,1,Link to private YouTube video on linked lists.
229,MDU6SXNzdWUyNDE0Nzk0Njg=,1,The Daily Plan should be above Prerequisite Knowledge in Table of Contents section.
241,MDU6SXNzdWUyNTMwODcwOTI=,1,How to use it section?
253,MDU6SXNzdWUyNjAwNjg4MjU=,1,Half.com is dead
271,MDU6SXNzdWUyNzE0MDIyODI=,1,very good 
279,MDU6SXNzdWUyNzg2OTEyNzY=,1,New Slack Study group
280,MDU6SXNzdWUyNzg4MDUwOTU=,1,Playlist under Process & Threads doesn't exist anymore
308,MDU6SXNzdWUyOTkyMTU1MTY=,1,Link for Discrete Math (CS70) Lecture is Expired
316,MDU6SXNzdWUzMTIyMDEwMjg=,1,Video under Processes and Threads Doesn't Exist.
325,MDU6SXNzdWUzMTk0MTMyOTQ=,1,A better video on how CPU executes program
328,MDU6SXNzdWUzMjA2ODI0Njc=,1,Translation to Kannada
358,MDU6SXNzdWUzNjAwNDc5ODM=,1,Question about Daily Plan
398,MDU6SXNzdWUzODY1MzgwNDg=,1,Broken link
401,MDU6SXNzdWUzOTQwODY3MDY=,1,"YouTube link for ""Zero to Hero (Video)"" for Python is broken."
439,MDU6SXNzdWU0NzY2MjIyNzA=,1,Img not found
443,MDU6SXNzdWU0ODA0MTA3NzU=,1,How  o contribute?
447,MDU6SXNzdWU0ODQwNTg2NTc=,1,Add bitwise-operations and Practice Questions
499,MDU6SXNzdWU1ODYyNTU4OTI=,1,Can you please include a section about how you apply for big companies?
516,MDU6SXNzdWU2MDQxNjEyNzY=,1,PDF misspelled
519,MDU6SXNzdWU2MTEzNTg0MTA=,1,Translation Urdu  
523,MDU6SXNzdWU2MTQwMjI2NjI=,1,get it
