Número da Issue,ID,Quant. comentários,Título
224,MDU6SXNzdWUxMTc4MTcwNTI=,411,Proper tabs for open files
396,MDU6SXNzdWUxMTgxNzUzMTk=,380,Add support for opening multiple project folders in same window
10121,MDU6SXNzdWUxNjkzNDQ3NTk=,364,Allow for floating windows
35783,MDU6SXNzdWUyNjM2Mjg2MTg=,361,New VS Code icon is ugly!
8017,MDU6SXNzdWUxNjE3NTkxNjA=,314,Inconsistent weight and use of color in iconography throughout UI
71827,MDU6SXNzdWU0Mjk5NTI1NjA=,282,Refreshing the VS Code product icon 
178,MDU6SXNzdWUxMTc3NzI3OTM=,247,Git status in File Explorer
13612,MDU6SXNzdWUxODI1NjgzNTU=,246,Windows: Scrolling is not smooth but lags
670,MDU6SXNzdWUxMTg5MzIwNDU=,234,[php] Provide html intellisense
10759,MDU6SXNzdWUxNzIzMTgyMDk=,233,Release in the Microsoft Store
519,MDU6SXNzdWUxMTg1MDc5NDk=,222,Allow to change the font size and font of the workbench
23931,MDU6SXNzdWUyMTk1NTU4MzA=,213,Display search results in a tab instead of the side bar
12622,MDU6SXNzdWUxNzkxOTExNjM=,212,Add option to pin tabs similar to Visual Studio
13680,MDU6SXNzdWUxODI3OTczMzQ=,210,Git: Support git with private key password
508,MDU6SXNzdWUxMTg0NDAyMTk=,200,Crash when running overnight
14909,MDU6SXNzdWUxODcwNjc5NDU=,191,Support a grid layout for editors
28795,MDU6SXNzdWUyMzYxMjA1NDY=,190,"Editor: scroll jumps randomly (related to Chrome, Electron, xinput)"
1023,MDU6SXNzdWUxMjA0NjM4NDA=,187,Implement multi-select in left-panel file tree
50249,MDU6SXNzdWUzMjUwODk3NzE=,182,New settings editor feedback
13138,MDU6SXNzdWUxODA1MjYzODE=,182,Support launching VS Code from Bash on Ubuntu on Windows
7570,MDU6SXNzdWUxNTk4MDY4Mjc=,176,VS Code fails to start/open  when offline
10546,MDU6SXNzdWUxNzExNjU0MjI=,175,Tabs for integrated terminal
3130,MDU6SXNzdWUxMzQ2NDc0NjU=,174,Allow customization of mouse shortcuts
4490,MDU6SXNzdWUxNDIyOTA2ODk=,172,Macro recording
24961,MDU6SXNzdWUyMjI0Nzc5NTQ=,154,"Code Insider complains ""Could not install typings files for JS/TS language features. Please ensure that NPM is installed"""
206,MDU6SXNzdWUxMTc4MDU2MDM=,153,Feature Request: SVN Support
5605,MDU6SXNzdWUxNTAwNjU1NDA=,152,Feature request: symbols tree view
2915,MDU6SXNzdWUxMzI4NzEyNDg=,151,[php] Provide HTML tag matching/language service support
1884,MDU6SXNzdWUxMjU2NjM4NjY=,149,Status bar background color
4039,MDU6SXNzdWUxNDAyODQ2OTI=,146,Auto Indent / Code Formatting / Beautify
32257,MDU6SXNzdWUyNDk0NzA1ODY=,145,Allow for transparent / vibrant window theme
47841,MDU6SXNzdWUzMTQxOTA2Mzg=,142,Windows update failed: Access is denied
6607,MDU6SXNzdWUxNTYwOTQzODQ=,142,Update icon
35683,MDU6SXNzdWUyNjMzNTA2NDQ=,140,Vscode New logo
70764,MDU6SXNzdWU0MjI3ODg4Mzc=,138,Visual Studio Code for ipad
43169,MDU6SXNzdWUyOTUzOTYxNTg=,138,Terminal on Windows 7 does not show any text
329,MDU6SXNzdWUxMTgwMDc3NTQ=,137,Portable version!
10026,MDU6SXNzdWUxNjg2OTM0OTc=,136,Navigate through explorer by typing start of file/folder name
5402,MDU6SXNzdWUxNDg4OTI0OTI=,136,Improved column selection (Alt+select)
46696,MDU6SXNzdWUzMDg5NzA5NDU=,133,Allow extensions to modify terminal environment variables
43188,MDU6SXNzdWUyOTU0NTM5MzA=,129,Allow to open multiple workspaces in the same window
41309,MDU6SXNzdWUyODY4NjUwOTg=,125,Add an optional configurable toolbar below the menu
77131,MDU6SXNzdWU0NjY0ODc2OTM=,124,Custom webview editor API
17777,MDU6SXNzdWUxOTczNzk2ODM=,124,Directory tree indent guides in File Explorer
7426,MDU6SXNzdWUxNTkyMDM1MjY=,124,Code won't update on macOS
2806,MDU6SXNzdWUxMzIzMDA0NjE=,124,Make panel position configurable
6442,MDU6SXNzdWUxNTUzNzI3MjQ=,122,"Official Support for ARM/Raspberry Pi Linux (armhf, arm64)"
6328,MDU6SXNzdWUxNTQ1NDM1OTk=,121,File Nesting
2686,MDU6SXNzdWUxMzExNzY0MTg=,121,Support to open a project folder in multiple VS Code windows
143,MDU6SXNzdWUxMTc3MzU3ODY=,121,"Request feature ""Integrated terminal"""
