Número da Issue,ID,Quant. comentários,Título
851,MDU6SXNzdWUxNTA1ODUyMDg=,155,Using 'ForInStatement' is not allowed (no-restricted-syntax)
1271,MDU6SXNzdWUyMDIxMTEyOTU=,144,Using 'ForOfStatement' is not allowed (no-restricted-syntax)
1365,MDU6SXNzdWUyMjA3MTM4NjI=,131,What is the benefit of prefer-default-export?
1089,MDU6SXNzdWUxNzkwNTkyODk=,128,What rules do the community tend to override?
1024,MDU6SXNzdWUxNzIxNTM0MzU=,117,Why are underscore prefixes for internal methods of a React component considered bad?
1122,MDU6SXNzdWUxODI2NzQ2NDM=,113,Disallow for-of
659,MDU6SXNzdWUxMjUyMDA1OTY=,76,react/jsx-no-bind: how to pass args from callbacks?
216,MDU6SXNzdWU0OTMwNjU3OQ==,44,Best practices for promises?
102,MDU6SXNzdWUyMjQxMjY5OA==,43,Why does JavaScript need a style guide?
1103,MDU6SXNzdWUxODA4NzU0MzQ=,38,What is the point of the no-continue rule?
751,MDU6SXNzdWUxMzUyNzU0MDI=,37,npm@3 warn missing eslint-plugin-react a non react project
719,MDU6SXNzdWUxMzIyODI1ODM=,37,"no-param-reassign with props, again"
1447,MDU6SXNzdWUyMzUxMDc1MjU=,36,eslint v4 support
490,MDU6SXNzdWUxMDM1OTEwOTk=,35,"Underscore prefixes for ""private"" properties"
263,MDU6SXNzdWU2NDk0NzE3Mw==,35,Branding
684,MDU6SXNzdWUxMjcxMTU2MDU=,34,Why no setState in componentDidMount?
794,MDU6SXNzdWUxNDIyNjYxMTA=,32,"7.1 says function expressions are always unnamed, but this changed in ES6"
1718,MDU6SXNzdWUyOTM2MzcwNzc=,30,"Nested ternaries aren't bad, just misused"
520,MDU6SXNzdWUxMDc1MDkwMTM=,30,Best practice regarding conditional JSX
465,MDU6SXNzdWU5OTg2ODc5Mg==,30,eslint-config-airbnb error
1791,MDU6SXNzdWUzMTc1NTE2ODQ=,28,Why use prefer-destructuring on arrays?
853,MDU6SXNzdWUxNTA4NzEyNDE=,28,[base/rules/es6.js] Why are all rules on error?
1515,MDU6SXNzdWUyNDgzMjk5MjQ=,27,Sonarqube Config
394,MDU6SXNzdWU5Mjg4Nzk4Mg==,27,Semicolons.  Sorta
1474,MDU6SXNzdWUyNDAxMzY5ODc=,26,`jsx-a11y/href-no-hash` removal
60,MDU6SXNzdWUxMTk1OTA0OQ==,26,Say something about undefined
366,MDU6SXNzdWU4OTM4NTYyMg==,25,eslint shareable configs / split
978,MDU6SXNzdWUxNjg3NTczNzk=,24,react/require-extension is deprecated
1454,MDU6SXNzdWUyMzU4NDM2MTI=,23,"[eslint-config-airbnb] Unexpected top-level property ""ecmaFeatures""."
1589,MDU6SXNzdWUyNjQ5MzI5MDE=,22,How to configure React Native (Expo) project to use AirBnB's React rules via ESLint?
866,MDU6SXNzdWUxNTM1Mjg1NTY=,22,consider removing stylistic rules that can't be automatically fixed from eslint-config-airbnb
761,MDU6SXNzdWUxMzU4ODE1NTM=,22,single return vs multiple returns
1432,MDU6SXNzdWUyMzE3NjQyNDk=,21,react/jsx-wrap-multilines arrow rule breaking eslint.
1408,MDU6SXNzdWUyMjcxMDY5MjQ=,21,Provide alternate solution for no-underscore-dangle
2069,MDU6SXNzdWU0ODAxNzc1Mzk=,20,Release 18 breaks running eslint-plugin-react
1893,MDU6SXNzdWUzNTMyMTM3MjI=,20,"Configuration for rule ""react/jsx-no-bind"" is invalid:"
1355,MDU6SXNzdWUyMTkxODEwNzE=,20,Patch release with breaking change
982,MDU6SXNzdWUxNjg4NTk4OTE=,20,`.jsx` extension cannot be used with React Native
747,MDU6SXNzdWUxMzUxODcyMjY=,20,How to allow `console.log()` in .eslint?
723,MDU6SXNzdWUxMzI3MTc4Mzc=,20,Always use const to declare variables. ???
247,MDU6SXNzdWU1ODYzOTgyNg==,20,ES6/2015
1399,MDU6SXNzdWUyMjU2Mjk5ODQ=,19,arrow-parens es6 rule
801,MDU6SXNzdWUxNDQ4NTMxMjg=,19,react/jsx-no-bind: why refs and arrow functions are allowed?
625,MDU6SXNzdWUxMjI1Njk0NDI=,19,Why disable `console.log`?
2141,MDU6SXNzdWU1MzA1MzYyOTc=,18,Cannot find module 'eslint-plugin-import'
2078,MDU6SXNzdWU0ODQxNTAxMDU=,18,Failed to load plugin 'jsx-a11y' declared '/.eslintrc  eslint-config-airbnb 
1163,MDU6SXNzdWUxODc3Nzc4ODA=,18,jsx-a11y/anchor-has-content throws error
1088,MDU6SXNzdWUxNzkwMjMyNzc=,18,"Configuration for rule ""eol-last"" is invalid: Value ""always"" must be an enum value."
879,MDU6SXNzdWUxNTQ4MjUxMDA=,18,"Getting an Error with ""prefer-arrow-callback"""
1347,MDU6SXNzdWUyMTY2MjA0NTk=,17,Discussion: Disallow global `isFinite`
