Número da Issue,ID,Quant. comentários,Título
5,MDU6SXNzdWUxMTY4MDU1NTM=,0,welcome.md packaged wrongly
9,MDU6SXNzdWUxMTY5ODk1MTc=,0,Extension development: null and undefined values not printed to debug repl
27,MDU6SXNzdWUxMTcwODkzMTY=,0,Bundled files don't have a top copyright statement
37,MDU6SXNzdWUxMTczNjk3MzE=,0,"vscode ""--extensionHomePath"" option does not work when used with the vscode proxy"
39,MDU6SXNzdWUxMTc0NjI3MDM=,0,broken selection feedback when selecting bold text in markdown files
42,MDU6SXNzdWUxMTc1OTg0MTU=,0,Document symbols are duplicated
57,MDU6SXNzdWUxMTc2MjY3NDI=,0,Git integration doesn't work if the open folder in a sub-folder of a git repository
163,MDU6SXNzdWUxMTc3NjUzOTE=,0,Show the application window as soon as possible
165,MDU6SXNzdWUxMTc3NjU3MzE=,0,Remove dependency to atom-shell-installer-assets
166,MDU6SXNzdWUxMTc3NjU3NTU=,0,Menus wrongly positioned when using multiple monitors
182,MDU6SXNzdWUxMTc3NzQ2NzI=,0,Debug: click on breakpoint does not focus editor if already opened
195,MDU6SXNzdWUxMTc3ODI4MDE=,0,double click into watch expression or variable jumps up a little bit
234,MDU6SXNzdWUxMTc4MjUzNzk=,0,Open a folder via navigation bar doesn't work in 0.10.0
265,MDU6SXNzdWUxMTc4NzI0MjM=,0,Ctrl-Shift-Tab File Switching Querk
297,MDU6SXNzdWUxMTc5NDI1MTM=,0,[Typescript] useCodeSnippetsOnMethodSuggest option generate wrong code
307,MDU6SXNzdWUxMTc5NjYyMDY=,0,Text selection cursor is visible when mousing over the git icon in the status bar
315,MDU6SXNzdWUxMTc5NzY3Nzc=,0,CSS frequency unit capitalization is not to spec
317,MDU6SXNzdWUxMTc5ODIzOTI=,0,debugService should move into electron-browser namespace
339,MDU6SXNzdWUxMTgwMjQ4MjM=,0,Built emmet plugin
504,MDU6SXNzdWUxMTg0MTkyMjE=,0,Hide File | Preferences | Workspace Settings when not applicable
512,MDU6SXNzdWUxMTg0NzYxNzk=,0,Moving selection after editor.action.insertCursorBelow shows the original line having a double highlight
545,MDU6SXNzdWUxMTg2MTMyNTk=,0,Aveces el programa no responde
626,MDU6SXNzdWUxMTg4NTI3MTU=,0,Can't cancel debug environment picker
628,MDU6SXNzdWUxMTg4NTQ4OTc=,0,Error list should focus file if already open
636,MDU6SXNzdWUxMTg4Nzk0MjA=,0,Create a pre-commit hook that checks for repo hygiene
648,MDU6SXNzdWUxMTg5MDMwMzg=,0, Cannot read property 'word' of null
656,MDU6SXNzdWUxMTg5MDUyODM=,0, Uncaught TypeError: Cannot read property 'value' of null
671,MDU6SXNzdWUxMTg5MzIwOTI=,0, Cannot read property 'textEditorModel' of null
672,MDU6SXNzdWUxMTg5MzIyNjc=,0, TypeError: Cannot read property 'length' of null
674,MDU6SXNzdWUxMTg5MzI2NzE=,0, Uncaught TypeError: Cannot set property message of [object Object] which has only a getter
690,MDU6SXNzdWUxMTg5ODc2ODc=,0,vscode.workspace.rootPath isn't undefined when no folders are open
720,MDU6SXNzdWUxMTkwOTg1NjE=,0,Avoid serializing large environment data over the renderer URL
725,MDU6SXNzdWUxMTkxMDE4OTI=,0,Cosmetic: Backspace doesn't update footer column counter
726,MDU6SXNzdWUxMTkxMDc4MzU=,0,ctrl+shift+t hotkey to run tests conflicts with very common open last closed hotkey
738,MDU6SXNzdWUxMTkxNTEwOTU=,0,contextMenuService.showContextMenu with no actions crashes VSCode
741,MDU6SXNzdWUxMTkxNzI4MDQ=,0,Intellisense items lose highlights when focused
770,MDU6SXNzdWUxMTkyNzE3MjE=,0,PNG Images not shown
829,MDU6SXNzdWUxMTk1NjQ3NjI=,0,[js] TypeError: e.split is not a function
830,MDU6SXNzdWUxMTk1NjU0MDU=,0, Cannot read property 'getLineCount' of null
850,MDU6SXNzdWUxMTk2ODIzNjI=,0,'install extension' should be more clear which extensions are already installed
859,MDU6SXNzdWUxMTk3MTIwNzc=,0,consider to make breakpoints know their debug engine
864,MDU6SXNzdWUxMTk3MjkzMDI=,0,Report unverified breakpoints back to user
872,MDU6SXNzdWUxMTk3NDk1NTE=,0,Improve error message when no command is bound to a command contribution
907,MDU6SXNzdWUxMTk5MDA0MzM=,0,Add a pull with rebase action to the git viewlet
908,MDU6SXNzdWUxMTk5MDA3NTA=,0,Make it easy to submit a pull request/create and publish a local branch
913,MDU6SXNzdWUxMTk5MTkwNDY=,0,Expose more Commands as API
914,MDU6SXNzdWUxMTk5MTk0NDU=,0,Improve experience when user wants to read the README.md before installing an extension
915,MDU6SXNzdWUxMTk5MjA3MjI=,0,configurationAttributes: allow for attributes to be shared between 'launch' and 'attach' requests
918,MDU6SXNzdWUxMTk5MjU2NzQ=,0,Support TS 1.7.3 watch patterns
930,MDU6SXNzdWUxMTk5NTczNzU=,0,Search: include should have priority over exclude
