Número da Issue,ID,Quant. comentários,Título
6,MDU6SXNzdWUyMTI5MjQ2NzY=,0,Migrate links from exercises/solutions to use internal links
41,MDU6SXNzdWUyMTc3NjA0Njg=,0,Topic suggestion: distributed logging and monitoring
53,MDU6SXNzdWUyMjAxOTUxOTE=,0,vulture analysis report
107,MDU6SXNzdWUyNjAwNDQwNjc=,0,Design Amazon's sales rank by category feature
130,MDU6SXNzdWUyOTUzNDgwMzM=,0,Greek Translation
179,MDU6SXNzdWUzNDI0ODE1MDM=,0,albif
195,MDU6SXNzdWUzNDc3MDAyNzg=,0,Fix broken URLs
219,MDU6SXNzdWUzNjI4ODc1NzU=,0,Suggestion: Include Active Directory (AD)
225,MDU6SXNzdWUzNzAwMjU5Njc=,0,[Request] Mention NewSQL in article
234,MDU6SXNzdWUzODEzMDIxNjY=,0,Twitter solution: How are search/notification/user info services designed?
244,MDU6SXNzdWUzOTQ4MTYyMzM=,0,Article suggestion: Web architecture 101
265,MDU6SXNzdWU0MzAwNjQ4NjQ=,0,Add references to Geo Based DNS
267,MDU6SXNzdWU0MzI2Njk5NzQ=,0,Examples of how to create a design diagram
277,MDU6SXNzdWU0NDEwMTUxODM=,0,Pastebin/bitly system design - write to cache missing in diagram
281,MDU6SXNzdWU0NDMxNzU2ODc=,0,Design an exchange (like nasdaq or binance)
288,MDU6SXNzdWU0NTM5MDU4NzU=,0,Design a parking lot not complete?
291,MDU6SXNzdWU0NTc4MDc1MjU=,0,Design key-value store like Redis but link points to introduction
309,MDU6SXNzdWU0NzI5NjEyNjk=,0,Add database clustering
311,MDU6SXNzdWU0NzM4MTU4OTQ=,0,"Cache might be overwrite by the old version in ""Design KV for web server query"""
326,MDU6SXNzdWU0OTgxNDQ4NjQ=,0,flash cards not support anki night model
334,MDU6SXNzdWU1MTc3MTE4NDA=,0,"How is the size of the tweet calculated in ""Twitter timeline and search"""
335,MDU6SXNzdWU1MTkyNzA5OTk=,0,OSI stands for Open Systems Interconnection (not Open Source Interconnection)
337,MDU6SXNzdWU1MzA4NDY5NTY=,0,"For the twitter problem, why is the user_id 32 bytes and a tweet_id only 8 bytes?"
338,MDU6SXNzdWU1MzA4Nzg4NTg=,0,Web Crawler Service does not use the reverse_index_queue
349,MDU6SXNzdWU1NDY2MjY2MTM=,0,Are the MapReduce code in the System Design Sections still relevant? 
353,MDU6SXNzdWU1NDk5OTg1NTA=,0,"""lazy symbol binding failed"" when running generate-epub.sh"
359,MDU6SXNzdWU1NjAxODgzMDc=,0,Indonesian translation
366,MDU6SXNzdWU1Njc0MDg0NzA=,0,Print is fixed with one language.
397,MDU6SXNzdWU1OTYzODc1MDg=,0,"Replace ""master"" and ""slave"" terms"
403,MDU6SXNzdWU2MDE2MjM1Njg=,0,ttttttt
412,MDU6SXNzdWU2MTUyODgxNDg=,0,Why we need MapReducer to deduplicate if the Web Crawler use Redis Sorted Set
12,MDU6SXNzdWUyMTMyNDEyNjI=,1,Add Dyn DDoS attack link under disadvantages of DNS
16,MDU6SXNzdWUyMTM0NTY4NDU=,1,add discussion of potential pitfalls of transient caches in concurrent scenarios
27,MDU6SXNzdWUyMTU2MzIxMjI=,1,How about a section on testing these architectures?
42,MDU6SXNzdWUyMTc3NjEwNDA=,1,"Topic suggestion: config, devops, and deployment strategy"
43,MDU6SXNzdWUyMTc3NjExNjk=,1,Topic suggestion: authentication services
45,MDU6SXNzdWUyMTg0MTczMjc=,1,"sorry, I push wrong place!"
66,MDU6SXNzdWUyMjIwNTcwODI=,1,Notice: Maintainer Temporarily Unavailable
77,MDU6SXNzdWUyMjg1NDExMjI=,1,Topic suggestion: More related to communication layers
88,MDU6SXNzdWUyMzk5NTUxNjc=,1,Traditional Chinese Translation
104,MDU6SXNzdWUyNTg2NTM1MzQ=,1,Italian Translation
150,MDU6SXNzdWUzMDkwMjc5NzQ=,1,Can we have more explanation for Object Oriented design questions?
172,MDU6SXNzdWUzNDEyODk5MzE=,1,"Clarify ""timeline"""
175,MDU6SXNzdWUzNDEzMzk3NDE=,1,Ever heard of gpgpu ? 
181,MDU6SXNzdWUzNDMzMDc2Nzk=,1,Typo mistake - Base62 used instead of Base64
186,MDU6SXNzdWUzNDUzNzEwMzA=,1,German Translation
187,MDU6SXNzdWUzNDU0NjMzMDI=,1,Thai translation
193,MDU6SXNzdWUzNDczODkwMDc=,1,What's the software used for creating the flowcharts?
198,MDU6SXNzdWUzNDk3NDUwODc=,1,Can you share with us the technic you used to create the design images?
211,MDU6SXNzdWUzNjAwOTgzMTI=,1,Suggestion: Include OLTP vs. OLAP
