Número da Issue,ID,Quant. comentários,Título
50,MDU6SXNzdWUxMTU2ODcwNDQ=,0,Fold packages/unit into packages/flutter
54,MDU6SXNzdWUxMTU3ODMyMTQ=,0,Download the Dart SDK automatically
115,MDU6SXNzdWUxMTU5NjY0MDM=,0,Keyboard service doesn't commit the last edit when it's dismissed
120,MDU6SXNzdWUxMTU5NjY4ODE=,0,Make it possible to show the user's image
134,MDU6SXNzdWUxMTU5Njc4MTU=,0,full page edit for fitness items rather than swiping
140,MDU6SXNzdWUxMTU5Njg3NTE=,0,"BoxConstraints can be non-normalised (minWidth > maxWidth, for instance)"
142,MDU6SXNzdWUxMTU5Njg4NjU=,0,Fitness app crashes attempting to add first entry
153,MDU6SXNzdWUxMTU5Njk2MzY=,0,Check for cycles in all of our various trees
156,MDU6SXNzdWUxMTU5Njk4NzU=,0,Touch Events for parts of a Text Spans
158,MDU6SXNzdWUxMTU5NzAwNTE=,0,Implement (or remove) all the ImageRepeat logic.
173,MDU6SXNzdWUxMTU5NzEzMzQ=,0,You can't catch a dismissable that's bouncing back
181,MDU6SXNzdWUxMTU5NzE3NjI=,0,Focus.at() should give better feedback when there's two focusable widgets
192,MDU6SXNzdWUxMTU5NzI0Mjk=,0,Cannot stop Drawer from being popped
207,MDU6SXNzdWUxMTU5NzM3NzE=,0,applyPaintTransform() doesn't work in cross-coordinate-system situations
219,MDU6SXNzdWUxMTU5NzQ0NDc=,0,toggleable.dart should move to material/
231,MDU6SXNzdWUxMTU5NzUyMDI=,0,Rename Flex arguments
236,MDU6SXNzdWUxMTU5NzU0Njg=,0,"Focus.moveTo, Focus.moveScopeTo only need one argument"
237,MDU6SXNzdWUxMTU5NzU1MTE=,0,Suggest that a developer use drawAtlas if they are doing a lot of drawImageRect
250,MDU6SXNzdWUxMTU5NzcwNTk=,0,"Positioned.fromPoints(topLeft: ..., bottomRight: ...)"
262,MDU6SXNzdWUxMTU5Nzc4Mzc=,0,Hitting back button while menu is appearing quits stocks app
264,MDU6SXNzdWUxMTU5Nzc5ODI=,0,Scaffold should automatically insert placeholders for bottom sheets
266,MDU6SXNzdWUxMTU5NzgwODk=,0,Popup menu splash doesn't go to edge
296,MDU6SXNzdWUxMTYyMjEzNjk=,0,hard to parse error if flutter.yaml points to a file that doesn't exist.
311,MDU6SXNzdWUxMTY0MDAzNjk=,0,"change path imports ""as p"" to ""as path"""
316,MDU6SXNzdWUxMTY0MzUzMjU=,0,"PointerInputEvent.kind should be an enum, not a String"
328,MDU6SXNzdWUxMTY0ODcxOTA=,0,ItemBuilder should also get the index of the item.
333,MDU6SXNzdWUxMTY2MTM2Nzg=,0,"flutter tool ""run"" vs ""runInProject"" rationalisation"
337,MDU6SXNzdWUxMTY2MzMxMTI=,0,closing the menu in stocks throws an exception
358,MDU6SXNzdWUxMTY3MjAyNzM=,0,improve the failure message when an adb device is not authorized
369,MDU6SXNzdWUxMTY4NzIzNTk=,0,OverlayState should have an insertAll method.
371,MDU6SXNzdWUxMTY4NzMzOTQ=,0,flutter logs misses some logs tagged with chromium
373,MDU6SXNzdWUxMTY4NzM1MDU=,0,flutter logs --c should be a synonym for flutter logs --clear
380,MDU6SXNzdWUxMTcxOTEyMjQ=,0,Flutter shouldn't throw exception when adb tool is not installed
382,MDU6SXNzdWUxMTcxOTk3MDY=,0,Stocks demo tap fails if BottomSheet is visible
388,MDU6SXNzdWUxMTcyMjA2Njg=,0,"The term ""modal"" is used in confusing ways by the widgets layer"
411,MDU6SXNzdWUxMTcyNDYxMDc=,0,Tabs should be in toolbar
433,MDU6SXNzdWUxMTc0MjMwMjA=,0,flutter --version
438,MDU6SXNzdWUxMTc0NDQ1NDE=,0,PopupMenu route is not dismissable
439,MDU6SXNzdWUxMTc0NDQ3MzM=,0,navigator.hasPreviousRoute ignores ephemeral routes
441,MDU6SXNzdWUxMTc0NjM3NDY=,0,StatisticsBox should be renamed RenderStatisticsBox
459,MDU6SXNzdWUxMTc2Mzc1MzE=,0,Rename MultiChildLayoutDelegate.isChild to hasChild
460,MDU6SXNzdWUxMTc2MzgxMTE=,0,scaffold: Rename _Child to _ChildLabel or some such
462,MDU6SXNzdWUxMTc2NDM3NjE=,0,Rename LabeledGlobalKey's argument to debugLabel
465,MDU6SXNzdWUxMTc2NjMzMjU=,0,"Support for Material Design ""Steppers"""
468,MDU6SXNzdWUxMTc2NzYyMDU=,0,flutter build --engine-src-dir=<garbage> produces poor error message
504,MDU6SXNzdWUxMTc5MzAxMDI=,0,RenderTransform should check if matrix can be accomplished with a paint offset
507,MDU6SXNzdWUxMTc5MzQ2NzU=,0,HSVColor methods
512,MDU6SXNzdWUxMTgwODQwNTY=,0,Clarify what `flutter build` does
527,MDU6SXNzdWUxMTgxNDE5MjY=,0,Stocks flutter.yaml missing assets
549,MDU6SXNzdWUxMTg0Mjg3NTM=,0,flutter logs shouldn't need to be in a package
