Número da Issue,ID,Quant. comentários,Título
18494,MDU6SXNzdWUzMzI2OTAwODI=,286,Support APKs with 32-bit and 64-bit binaries within them
11609,MDU6SXNzdWUyNTAwODA3MDQ=,238,Consider JSX-like syntax inside dart code
16604,MDU6SXNzdWUzMTQ0MjYxMTA=,235,Need to restart or flutter clean too often
15922,MDU6SXNzdWUzMDgzNDQyMDM=,203,Consider JSX-like as React Native
31922,MDU6SXNzdWU0MzkyNDgwMTE=,194,Support app bundles with 32-bit and 64-bit binaries within them
19718,MDU6SXNzdWUzNDQxMDIwNjc=,179,Embedded Android views can't bring up the keyboard
7053,MDU6SXNzdWUxOTIxMTE1MzQ=,174,Support integrating with C/C++ in plugin framework
1831,MDU6SXNzdWUxMzMzNTUzNjk=,170,Support a vector drawable format (not SVG)
73,MDU6SXNzdWUxMTU5NTkxOTA=,170,Inline Google Maps support
16036,MDU6SXNzdWUzMDk0OTM5OTY=,157,"""Flutter/Flutter.h not found."" on iOS."
33938,MDU6SXNzdWU0NTI3MDMyNTE=,151,Android Platform Tools 29: Error retrieving device properties for ro.product.cpu.abi: 
14330,MDU6SXNzdWUyOTI1NTI1MDM=,150,Code Push / Hot Update / out of band updates
12319,MDU6SXNzdWUyNjE2NjgxNjY=,140,Provide method and/or config to programmatically scroll to ListView index
31512,MDU6SXNzdWU0MzYzNTk4OTA=,139,"Samsung Keyboard duplicates text when restoring composing regions (restart text input, punctuation)"
3671,MDU6SXNzdWUxNTI2Mzk1MTg=,137,Flutter should provide an abstraction for background execution
41085,MDU6SXNzdWU0OTY5OTAwNTE=,136,Occasional mDNS lookup failure on iOS 13
37155,MDU6SXNzdWU0NzM5MDU2MTQ=,135,Flutter application black screen in release mode when run only on Samsung J6+  
6827,MDU6SXNzdWUxODg4ODUxNDY=,132,Instance state not saved when app is killed by OS
16025,MDU6SXNzdWUzMDk0MDY0MzU=,130, Android license status unknown.
11655,MDU6SXNzdWUyNTA4OTA2OTU=,126,Pages on Navigator stack rebuild when a new page is pushed
37699,MDU6SXNzdWU0Nzc0ODI0NjU=,121,"`ios-deploy` will not launch to ios13 device with ""Device doesn't support wireless sync"""
31138,MDU6SXNzdWU0MzM5MzYzMTQ=,116,iOS Keyboard Lags
12114,MDU6SXNzdWUyNTgxMDU0MDM=,115,Google native ads integrated into a Flutter widget tree
12666,MDU6SXNzdWUyNjc0MDAxNjA=,112,Unable to 'pub upgrade' flutter tool.
10826,MDU6SXNzdWUyMzY5MzQzNDI=,112,Scroll text fields into view when keyboard comes up and obscures them
15288,MDU6SXNzdWUzMDM0MzE0MjQ=,111,Add Bitcode support for iOS
17606,MDU6SXNzdWUzMjMyMTk5NTA=,109,video_player aspect ratio and orientation messed up on iOS
44796,MDU6SXNzdWU1MjE5Njg3MTA=,104,"Gradle build failed to produce an .apk file. It's likely that this file was generated under D:\Flutter_App\MYAPP\build, but the tool couldn't find it."
23777,MDU6SXNzdWUzNzU5NDk5MjY=,103,Can't run my first flutter app [Error running Gradle]
22314,MDU6SXNzdWUzNjQxMzkyMzI=,101,ListView Builder scrolling is slow due to improper input events handling
47804,MDU6SXNzdWU1NDI0NjU2NTk=,100,"Flutter engine crashes on some Android devices due to ""Failed to setup Skia Gr context"""
20438,MDU6SXNzdWUzNDk1NjE5NjU=,100,Add support/surface Skottie (Skia's Lottie player)
37850,MDU6SXNzdWU0NzgzNDgzMjk=,99,flutter build ios --release may use a debug Flutter.framework by mistake
730,MDU6SXNzdWUxMjA0NTIxNDg=,99,Inline Android and iOS WebView
2089,MDU6SXNzdWUxMzU1MzgzODc=,93,"Support ARM32 iOS devices (iPhone 4, iPhone 5)"
49185,MDU6SXNzdWU1NTI1OTIwODg=,92,Multiple issues running Flutter on Linux 5.5
32143,MDU6SXNzdWU0NDA3NjEyNDY=,92,"Memory Leak flutter framework iOS - gridview, listview - it IS a bug..."
9253,MDU6SXNzdWUyMTk5NDg1NjQ=,89,Provide x86 (32 and 64-bit?) Android Release binaries
7247,MDU6SXNzdWUxOTUzMzMwMDQ=,87,Dismissing keyboard programatically
27254,MDU6SXNzdWU0MDQ0NTcyMzY=,86,Android dependency 'androidx.core:core' has different version for the compile (1.0.0) and runtime (1.0.1) classpath. You should manually set the same version via DependencyResolution
24645,MDU6SXNzdWUzODMzOTg3MTc=,86,Gradle task assembleRelease failed with exit code 1
31086,MDU6SXNzdWU0MzM0ODI0MTE=,84,"Scroll performance significantly degraded on iPhone X, Xs devices due to irregular input events delivery."
25112,MDU6SXNzdWUzODg5MTA4MTU=,84,Error connecting to the service protocol: HttpException
20827,MDU6SXNzdWUzNTIyNTIwNTQ=,84,Black screen flashes between the LaunchImage and app's first screen on iOS
16178,MDU6SXNzdWUzMTA3NjYwMjM=,84,video player can not play on Android 6.0.1 and older devices
46616,MDU6SXNzdWU1MzUxNTU5NTM=,83,Dart Analyzer terminates upon running `flutter clean`
45695,MDU6SXNzdWU1MjkzNjA2NDc=,83,[google_maps_flutter] Trying to create an already created platform view
37616,MDU6SXNzdWU0NzY4NzQ3MzE=,83,url_launcher 5.1.2 warning on build
17687,MDU6SXNzdWUzMjM5NzQ5ODg=,83,Scene .toImage() sometimes fails to render images
41459,MDU6SXNzdWU0OTkzMzU2MTI=,82,image_picker Bitmap NullPointException on Android 10 with open failed: EACCES (Permission denied)
