Número da Issue,ID,Quant. comentários,Título
7,MDU6SXNzdWUzMjkxMDQ4Mjg=,0,-_-
9,MDU6SXNzdWUzMzA5MTUxNDQ=,0,
12,MDU6SXNzdWUzMzE4NTkxNjI=,0,Day 5 Page not found
16,MDU6SXNzdWUzNTAzMzA0MjM=,0,
17,MDU6SXNzdWUzNTAzMzA3MjM=,0,+1
21,MDU6SXNzdWUzODAzMTYxMzU=,0,Pyqt5
34,MDU6SXNzdWU0Mzc5NDI1NjE=,0,
50,MDU6SXNzdWU0NDEwMTU2NDE=,0,14label
61,MDU6SXNzdWU0NDE2Mzg0Njc=,0,"Day01-15/Day01/Python.md,  Python source code ."
62,MDU6SXNzdWU0NDIwMTkyNDE=,0,Day 01 api-ms-win-crt*.dll
65,MDU6SXNzdWU0NDIwMzgyMDA=,0,Connect the world with commom langage look like English within gitbook. 
66,MDU6SXNzdWU0NDIwNjA5MTY=,0,"star,"
67,MDU6SXNzdWU0NDIwNzU1ODY=,0,day...
71,MDU6SXNzdWU0NDIzMjMzMDU=,0,
74,MDU6SXNzdWU0NDI1MDUyNDg=,0,Day16-20/Python
76,MDU6SXNzdWU0NDI1Mzg2NTc=,0,jupyter notebook
79,MDU6SXNzdWU0NDI2MzI0MTc=,0,No related code of Day41-55/03.Ajax.md
82,MDU6SXNzdWU0NDI5NTU3OTg=,0,Add some introduction about Sqlite.
90,MDU6SXNzdWU0NDMwOTEzNTg=,0,
92,MDU6SXNzdWU0NDMyMzA3NTE=,0,
93,MDU6SXNzdWU0NDMyMzUwMzQ=,0,time.clock()
96,MDU6SXNzdWU0NDM0MDcxMzE=,0,Day01-15-Day03- 25
97,MDU6SXNzdWU0NDM3NzU0MDg=,0,<>  line 139 
100,MDU6SXNzdWU0NDM4NTk3ODQ=,0,
103,MDU6SXNzdWU0NDQyMTg4MDk=,0,
105,MDU6SXNzdWU0NDQyNDcyOTE=,0,
108,MDU6SXNzdWU0NDQyOTg3NTE=,0,Day16-20/python
115,MDU6SXNzdWU0NDQ4MTMwODA=,0,
117,MDU6SXNzdWU0NDQ5MTY3MTQ=,0,
120,MDU6SXNzdWU0NDUwOTU0NTc=,0,Video
122,MDU6SXNzdWU0NDUyOTE2MjA=,0,run your python codes in the mobile phone
127,MDU6SXNzdWU0NDU3MTY0NzQ=,0,Day08   )
132,MDU6SXNzdWU0NDU5MjkzMDY=,0,
139,MDU6SXNzdWU0NDYxMzExOTY=,0,Day01-15/Day15/
148,MDU6SXNzdWU0NDcwMTE4NjA=,0,Day56-60
155,MDU6SXNzdWU0NDc2NzYwNDI=,0,Day06 
157,MDU6SXNzdWU0NDgwMzY0NTM=,0,pdf
159,MDU6SXNzdWU0NDg0Nzk2NTc=,0,License Please?
160,MDU6SXNzdWU0NDg1NzQxMzM=,0,Day41-55/03.Ajax.md
168,MDU6SXNzdWU0NDk2MTA4Mzc=,0,issues
173,MDU6SXNzdWU0NTEwMjcxMTc=,0,Day47~Day60
178,MDU6SXNzdWU0NTE3NDcxNTk=,0,Day16~20python  
179,MDU6SXNzdWU0NTE3NzkwNDA=,0,Day16-20/code/example01.py
183,MDU6SXNzdWU0NTI4MDg2Njc=,0,gitpod
184,MDU6SXNzdWU0NTI4MzkzMDk=,0,
185,MDU6SXNzdWU0NTMyOTM4OTU=,0,Day 21-30 js-7 practice
190,MDU6SXNzdWU0NTM4NjI4NTU=,0,instagram
192,MDU6SXNzdWU0NTQwMDYwMzg=,0,
194,MDU6SXNzdWU0NTUxMjEwNzM=,0,qqqq
195,MDU6SXNzdWU0NTUyOTA3MDI=,0,day10
