Número da Issue,ID,Quant. comentários,Título
57,MDU6SXNzdWUzNzAzODIyMQ==,0,DOIT
70,MDU6SXNzdWUzNzEzNjA3MA==,0,web framework - guava
103,MDU6SXNzdWUzNzM4NTczNA==,0,pylibmc is awesome
121,MDU6SXNzdWUzNzUzNDQ3OA==,0,Adding this in an organization
159,MDU6SXNzdWUzODM5NDk2Nw==,0,Add RenPy (visual novel engine)
164,MDU6SXNzdWUzODY0MjQzNg==,0,"add Sarge under ""Processes and Threads"""
198,MDU6SXNzdWU0MDQ3NTMxMQ==,0,What about great libraries that are a bit premature?
299,MDU6SXNzdWU1NDY1ODk1OQ==,0,suggestion for code analysis tools
337,MDU6SXNzdWU2NTcwNzIwMw==,0,spyder is now on github
375,MDU6SXNzdWU3NjYzMjEzNw==,0,Changing cliff's homepage
456,MDU6SXNzdWUxMDczNDc4NzY=,0,Add pythonz
458,MDU6SXNzdWUxMDczOTMwMDk=,0,Add hask
548,MDU6SXNzdWUxMjc2ODg5NjA=,0,Scapy is now on github
552,MDU6SXNzdWUxMjkxODczNzI=,0,Search in awesome-python
592,MDU6SXNzdWUxNDQ1Njg2NDI=,0,two repos have permanent redirections
597,MDU6SXNzdWUxNDY5MzgwMDM=,0,Biopython
599,MDU6SXNzdWUxNDczODgxNTM=,0,PYES
648,MDU6SXNzdWUxNTYxMTI5MDY=,0,Add tqdm
700,MDU6SXNzdWUxNzIxMDc3Nzk=,0,"Wrong link to ""faker"" library"
714,MDU6SXNzdWUxNzM5NDUyMjQ=,0,Add PyObjC
715,MDU6SXNzdWUxNzQwNzc0MjU=,0,Add Ming ORM
785,MDU6SXNzdWUxOTI2NjA4MDg=,0,nose -> nose2
789,MDU6SXNzdWUxOTUzMDI4MzQ=,0,Remove django-oauth2-provider
815,MDU6SXNzdWUyMDEyMDUzODg=,0,Circle CI integrations
941,MDU6SXNzdWUyNjEwODE0NTM=,0,Add API Star
1026,MDU6SXNzdWUyOTk1MDg4NDM=,0,Repeated Issue
1047,MDU6SXNzdWUzMTI0ODg3MTc=,0,"why, add SCOOP to design pattern section"
1091,MDU6SXNzdWUzMzk2MDc2MTE=,0,Add Motor MongoDB Driver
1167,MDU6SXNzdWUzNzIxNzgzMzY=,0,A PyTorch-Based Framework for Deep Learning in Computer Vision
1168,MDU6SXNzdWUzNzIyODMyODE=,0,https://openpyxl.readthedocs.io/en/stable/
1202,MDU6SXNzdWUzODY0NzE2Njk=,0,Please remove hashids from the Cryptography section
1215,MDU6SXNzdWU0MDEzNjg0OTU=,0,"Add link to ""Python-for-Scientists"" list"
1312,MDU6SXNzdWU0NjUxNTMyMTE=,0,Add python-benedict
1313,MDU6SXNzdWU0NjUxNTMzNjY=,0,Add python-codicefiscale
1317,MDU6SXNzdWU0Njc4MTQ2MTk=,0,Add colorful to Command-line Interface Development
1347,MDU6SXNzdWU0OTEwMzQwNjE=,0,Add brython
1353,MDU6SXNzdWU0OTkxNzk0NDg=,0,Add Sacred
1354,MDU6SXNzdWU0OTkxODA1MDI=,0,Add scikit-optimize
1356,MDU6SXNzdWU0OTkxODE3MDY=,0,Add auto-sklearn
1435,MDU6SXNzdWU1MjMyOTQyNDY=,0,Add PyMuPDF
1459,MDU6SXNzdWU1NTI5ODUzMTI=,0,Add python-viper
1533,MDU6SXNzdWU2MDA4NDg1OTA=,0,
1535,MDU6SXNzdWU2MDg4NDUyNDY=,0,Add Tutorials / Learning Resources..
1537,MDU6SXNzdWU2MTE0ODE3NjQ=,0,kavramlar anlamlar ve kullanmlar
14,MDU6SXNzdWUzNjgzNzc5OQ==,1,How do we feel about alphabetizing?
48,MDU6SXNzdWUzNjk5MjAzOQ==,1,Jedi
99,MDU6SXNzdWUzNzI3NzkxNQ==,1,Missing WSGI servers
136,MDU6SXNzdWUzNzc0NDYzNw==,1,Add asyncio
137,MDU6SXNzdWUzNzc0NDg1Ng==,1,Table Of Contents for subsection
169,MDU6SXNzdWUzODc3MzU0MQ==,1,Category folder 
