Número da Issue,ID,Quant. comentários,Título
431,MDU6SXNzdWU0NzgzNDY3NTM=,30, 
18,MDU6SXNzdWUzNTYyMjQ3ODQ=,26,English version?
676,MDU6SXNzdWU1Nzc3MjE1MzI=,17,//
293,MDU6SXNzdWU0MzgwNDg4MjM=,17,uniqueInstance  volatile
1,MDU6SXNzdWUzMjk4NjM2NzA=,16,~~~
374,MDU6SXNzdWU0NjM1MjY5MTQ=,13,
13,MDU6SXNzdWUzNTQ2MTUyNjU=,13,~
671,MDU6SXNzdWU1NzYyNDM2NDE=,12,
43,MDU6SXNzdWUzNzMyNzM0NjQ=,11,
645,MDU6SXNzdWU1Njc1Nzc5MDg=,10,AQS
339,MDU6SXNzdWU0NTEyODAxNjU=,9,
215,MDU6SXNzdWU0MjE5MDQyNTQ=,8,
178,MDU6SXNzdWU0MTU5MTMyOTA=,8,volatile
626,MDU6SXNzdWU1NTEyMzg2Nzk=,7,AtomicMarkableReference ABA
334,MDU6SXNzdWU0NDkwMzk3ODY=,6,
146,MDU6SXNzdWU0MTExMzQ5NTg=,7,
498,MDU6SXNzdWU1MDUxNjk4NTA=,6,
257,MDU6SXNzdWU0Mjc1ODQyNjI=,6,
233,MDU6SXNzdWU0MjUyNTc5MTA=,6,
125,MDU6SXNzdWU0MDA5OTU1NTI=,6,
12,MDU6SXNzdWUzNTQ1MzkyNDk=,6,
756,MDU6SXNzdWU2MDY5NDEwNjM=,5,
682,MDU6SXNzdWU1ODIwNjI5ODU=,5,Java
497,MDU6SXNzdWU1MDUwODAwMzE=,5,LinkedList
483,MDU6SXNzdWU0OTY3NTI2NDc=,5,Spring BootMyBatisSpringCloud
440,MDU6SXNzdWU0ODAxNzU3OTg=,5,javahttp
394,MDU6SXNzdWU0Njk4MTYxODM=,5,sessionjwt 
345,MDU6SXNzdWU0NTQ1NzM0ODU=,5,NIO  Non-blocking IO
120,MDU6SXNzdWUzOTkyMjQ3MTY=,5,Linuxllls
70,MDU6SXNzdWUzODY3MDEwMjI=,5,------
29,MDU6SXNzdWUzNjI0Mzk3MTU=,5,
605,MDU6SXNzdWU1NDMxMjUzNzY=,4,Arraylist  LinkedList 
591,MDU6SXNzdWU1Mzc0OTAwMDE=,4,-
590,MDU6SXNzdWU1MzY3NDE4OTA=,4,POST  HTTP 
548,MDU6SXNzdWU1MjMzMjIwODc=,4,CAS
452,MDU6SXNzdWU0ODQ4MzA3ODA=,4,Redis
443,MDU6SXNzdWU0ODE5NTE2MzQ=,4,String internjdk1.7
428,MDU6SXNzdWU0Nzc3NTM5OTI=,4,Arraylist1.51.51
308,MDU6SXNzdWU0NDE2NTMzMzg=,4,Java
280,MDU6SXNzdWU0MzU0NjQ1OTI=,4,hashMap  ? 
82,MDU6SXNzdWUzOTA1NDg5ODM=,4,-
76,MDU6SXNzdWUzODk2MTc0NzY=,4,JDK1.8 ArrayList list0
726,MDU6SXNzdWU1OTg4NDYzMDc=,3, FutureTask 
724,MDU6SXNzdWU1OTc3NDMyMTU=,3,Paxos1998
716,MDU6SXNzdWU1OTUxNjUyODI=,3,Redis
705,MDU6SXNzdWU1OTE1MzIxNTM=,3,  
697,MDU6SXNzdWU1ODg4ODU1MzY=,3,sqlmysql
684,MDU6SXNzdWU1ODM5MjgxOTM=,3,Java Guide PDF 35NIO
678,MDU6SXNzdWU1NzkwNzQ2OTQ=,3,
674,MDU6SXNzdWU1NzY3OTQ5NTY=,3,PWA
