Número da Issue,ID,Quant. comentários,Título
9,MDU6SXNzdWUxNjU5OTUxODE=,0,"Rename ""graduate"" to ""eject"""
29,MDU6SXNzdWUxNjY0NjEwNTM=,0,Include README with instructions into the generated project
151,MDU6SXNzdWUxNjcyMjEzNTU=,0,Version command only works with directory
155,MDU6SXNzdWUxNjcyMjY0ODA=,0,open
156,MDU6SXNzdWUxNjcyMjc0MzY=,0,Loosen react/jsx-handler-names rule
303,MDU6SXNzdWUxNjg1MDI5MDU=,0,Magt
391,MDU6SXNzdWUxNjk3OTYyNTY=,0,Deleting files shouldn't crash the server
438,MDU6SXNzdWUxNzEwNTQxOTI=,0,1-
445,MDU6SXNzdWUxNzEyMTQ5ODY=,0,File loader issue with duplicate filenames in dev mode
700,MDU6SXNzdWUxNzg2Njg0OTE=,0,Enable babel-plugin-transform-react-jsx-source
702,MDU6SXNzdWUxNzg2ODA1MDI=,0,Preserve scripts/test.js after ejecting
747,MDU6SXNzdWUxNzkwNzk3ODE=,0,Syntax overlay doesnt work in Firefox
753,MDU6SXNzdWUxNzkwOTAxNDg=,0,Forked react-scripts should retain the binary name
765,MDU6SXNzdWUxNzkyMzg2MjI=,0,Get rid of @remove-on-publish step
842,MDU6SXNzdWUxODA4OTQyODg=,0,Tin tc 
952,MDU6SXNzdWUxODQ4MjA1Nzk=,0,.ico files are not managed by jest & eslint config
1074,MDU6SXNzdWUxOTA2NzI4MTg=,0,app broken (html not served correctly)
1105,MDU6SXNzdWUxOTE5NDU4MDk=,0,Creating a build that works
1157,MDU6SXNzdWUxOTM0Nzc3MTc=,0,"Chrome ""open tab"" script should reuse an empty tab"
1158,MDU6SXNzdWUxOTM0OTE5Nzk=,0,Promote react/jsx-no-undef to be an error
1206,MDU6SXNzdWUxOTQzNzQ1OTE=,0,Update babel-eslint to get code frames in parse errors
1218,MDU6SXNzdWUxOTQ2NzAxMzY=,0,Weird lint output
1263,MDU6SXNzdWUxOTUyODQxMDM=,0,Suppress browser launch only when BROWSER=none
1530,MDU6SXNzdWUyMDcwMTAxMzI=,0,Blacklist `event` as a global we don't support implicitly
1595,MDU6SXNzdWUyMDg4OTIwMTc=,0,Print webpack configuration validation errors.
1680,MDU6SXNzdWUyMTA3OTI5MTY=,0,Restore Windows 0.10 simple test
1694,MDU6SXNzdWUyMTEyNjAwNzM=,0,existing process using port breaks when username is `cwd`
1701,MDU6SXNzdWUyMTEzNzc1Njg=,0,Skip CI for doc-only changes
1722,MDU6SXNzdWUyMTE5Njg2ODE=,0,Ejecting from a scoped fork of react-scripts doesn't work
1745,MDU6SXNzdWUyMTIzMDU1MDk=,0,Display 'yarn' in the welcome message instead of 'yarnpkg'
1889,MDU6SXNzdWUyMTY2MDQxNDM=,0,TypeError: Cannot read property 'displayName' of undefined
1981,MDU6SXNzdWUyMjE3NTQ5NTU=,0,Update documentation for testing dependency with Enzyme
2026,MDU6SXNzdWUyMjM5MzAxNjg=,0,Empty CSS sourcemaps created in a production build
2046,MDU6SXNzdWUyMjUzMDk1NDc=,0,Improve chunk names in dev mode
2109,MDU6SXNzdWUyMjc2MzkzODQ=,0,Confusing lint output on master
2134,MDU6SXNzdWUyMjgyMjY4MjI=,0,failed react-app
2179,MDU6SXNzdWUyMjkwNzkyMjk=,0,Passing a bad HOST causes the port check to fail
2249,MDU6SXNzdWUyMzAwMTU0MDA=,0,"""Local overrides. This file is loaded for all environments except test."" is not true"
2294,MDU6SXNzdWUyMzAxNzMxNzg=,0,Try converting integration tests to Jest
2356,MDU6SXNzdWUyMzEyMjc1MDA=,0,Unable to see app in Safari and view change/functionality problem in IE
2399,MDU6SXNzdWUyMzE4ODI1MDM=,0,e2e tests incorrectly caching react-scripts
2505,MDU6SXNzdWUyMzQ3NDEyNjA=,0,Issues
2516,MDU6SXNzdWUyMzUwNTQ0MDA=,0,Improve warning message if port needs admin permissions to bind
2577,MDU6SXNzdWUyMzcxNDkwODk=,0,eslint-plugin-react-7.0.1.tgz   404 Not Found
2619,MDU6SXNzdWUyMzg1NTM2MzA=,0,sad
2965,MDU6SXNzdWUyNTA4NjczODc=,0,Batch file not found when ejecting? [Wrong Repository]
3003,MDU6SXNzdWUyNTI2MDgxMzc=,0,When running app on node.js/express backend I'm getting blank screen instead of app
3009,MDU6SXNzdWUyNTMxMTM4MDc=,0,Unable to deploy react app created with create-react-app onto github pages with custom domain
3048,MDU6SXNzdWUyNTQ3MzA4NjM=,0,Build summary does not show size diffs for chunks
3064,MDU6SXNzdWUyNTQ5OTE3OTE=,0,t
