Número da Issue,ID,Quant. comentários,Título
8465,MDU6SXNzdWU1NjM3Mzg0MzM=,213,npm ERR! 404 Not Found - GET https://registry.npmjs.org/error-ex
1333,MDU6SXNzdWUxOTgyODA3MDI=,183,Support Lerna and/or Yarn Workspaces
7239,MDU6SXNzdWU0NTcyOTQzNTU=,161,Browserslist error
2398,MDU6SXNzdWUyMzE4NzY0NDk=,154,Why was service worker merged into create react app?
11,MDU6SXNzdWUxNjU5OTU0MjA=,152,General feedback
5103,MDU6SXNzdWUzNjQxNDg1MjY=,144,Last call for Create React App v2
1023,MDU6SXNzdWUxODgxNTI1MjQ=,130,npm run build fails for EventEmitter
78,MDU6SXNzdWUxNjcwODczODI=,113,Optional Sass Support
1084,MDU6SXNzdWUxOTA4ODY1NDk=,105,Add more entry points
3815,MDU6SXNzdWUyODg5NzUxMjQ=,91,Roadmap for react-scripts@2.0
5645,MDU6SXNzdWUzNzU4MTk1OTI=,89,Add baseUrl and paths in tsconfig.json and jsconfig.json
5224,MDU6SXNzdWUzNjU3MTk0NzE=,87,Support scoped CSS in the same file
741,MDU6SXNzdWUxNzkwNTA0ODk=,86,Support absolute paths with packages/ folder
682,MDU6SXNzdWUxNzc3NjIyMDY=,85,Document maintaining a fork of react-scripts as an alternative to ejecting
1070,MDU6SXNzdWUxOTA1ODk2MTA=,84,Provide a watching build mode that writes to the disk in development
1492,MDU6SXNzdWUyMDU3MzgwMjM=,83,"Sharing components between apps, ""create-react-component"""
8896,MDU6SXNzdWU2MDY3OTY1MzI=,80,npx aborting creation
8680,MDU6SXNzdWU1ODUyMDU1NDU=,79,"Build fails: Could not find plugin ""proposal-numeric-separator"""
1388,MDU6SXNzdWUyMDA0NzQ5NTk=,78,Consider importing SVGs as React components
8096,MDU6SXNzdWU1MzM2MTE4NjQ=,73,"Since updating to 3.3.0, running out of memory"
1125,MDU6SXNzdWUxOTI4MDI4NzU=,70,Enable babel-preset-env for node_modules that target newer Node versions
6880,MDU6SXNzdWU0MzYzMTg0Njc=,68,How to disable the rule react-hooks/exhaustive-deps?
5316,MDU6SXNzdWUzNjcyNjU1OTg=,68,Service Worker weird caching
2172,MDU6SXNzdWUyMjg5NjUwNzk=,67,Public Beta Testing of react-scripts@1.0.0
147,MDU6SXNzdWUxNjcyMTU1MDA=,66,Provide API to integrate with custom servers
3856,MDU6SXNzdWUyODk2MTUwMjc=,65,"""SVG as a component"" doesn't quite work in 2.x"
2353,MDU6SXNzdWUyMzExMTc4Nzk=,65,Runtime environment variables
6871,MDU6SXNzdWU0MzYxMzI1NTY=,63,New Typescript linting overriding user config and causing build failure
130,MDU6SXNzdWUxNjcxNzYwOTU=,63,Preprocess future-proof CSS features
2730,MDU6SXNzdWUyNDA4OTMxNzc=,62,RFC - babel-macros
3722,MDU6SXNzdWUyODcwNzE0NjY=,61,Proposal: explicit named imports for non-JS/CSS assets
5306,MDU6SXNzdWUzNjcxMjcxNzk=,60,Disabling code splitting in CRA2
102,MDU6SXNzdWUxNjcxMzUwMDU=,60,A way to define custom environment variables
472,MDU6SXNzdWUxNzI1MTQ1MTE=,59,Entry module not found: Error: [CaseSensitivePathsPlugin]
5259,MDU6SXNzdWUzNjYxNDMwMzY=,58,Unknown option: base.configFile error when running tests
6398,MDU6SXNzdWU0MDg3ODIxNjI=,56,"2.1.4 Update cause ""Cannot find module '/Users/.../node_modules/react-scripts/node_modules/@babel/runtime/helpers/interopRequireDefault' from 'setupTests.ts'"""
5707,MDU6SXNzdWUzNzcxNjQwOTU=,56,create-react-app sass sourcemaps not working
6891,MDU6SXNzdWU0MzY5MTgyMjk=,55,"v3.0.0 with Node v12/NPM 6.9.0 gives ""TypeError: fsevents is not a constructor"""
5319,MDU6SXNzdWUzNjczMTA3MTU=,55,CRA2 recommended config hits random break points in VS Code 
670,MDU6SXNzdWUxNzc2MDkyODI=,55,Plugin System
6074,MDU6SXNzdWUzOTMxMTg0NDM=,54,Chrome debugger breakpoints fail with react-scripts 2.x after hot-update
5372,MDU6SXNzdWUzNjgzNDgxMzc=,54,"mini-css-extract-plugin throws ""Conflicting order"" errors during build"
808,MDU6SXNzdWUxODA0MDU2NjA=,54,customize eslint rules (.eslintrc)
5677,MDU6SXNzdWUzNzY2MDEyNjA=,53,CSS Modules with TypeScript: css-modules-typescript-loader
462,MDU6SXNzdWUxNzE5NDY0NDU=,53,Use Relay
594,MDU6SXNzdWUxNzUyNzM5OTI=,52,Document how to debug unit tests 
3660,MDU6SXNzdWUyODUxNDczMzQ=,51,Add WebWorker Support
3326,MDU6SXNzdWUyNjg0NzU4MDM=,51,create-react-app fails due to node_modules being created in a wrong directory on Windows
1910,MDU6SXNzdWUyMTgyOTE0MzU=,51,Index.html is being cached making the whole app display an old build
659,MDU6SXNzdWUxNzc0Njk0MjQ=,51,Updating Files Does not Cause HMR Reload
