Número da Issue,ID,Quant. comentários,Título
362,MDU6SXNzdWUxNjI2OTM2MzM=,220,Content-Type application/x-www-form-urlencoded
853,MDU6SXNzdWUyMjM2MTg4NDY=,143,Getting 'Cross-Origin Request Blocked' on a GET request
318,MDU6SXNzdWUxNTQxMzAwODQ=,99,Can't get a .post with 'Content-Type': 'multipart/form-data' to work
960,MDU6SXNzdWUyMzY2NTA3NzM=,87,Axios catch error returns javascript error not server response
191,MDU6SXNzdWUxMjU5NzA4ODE=,70,cannot get cross-site POST to work
2190,MDU6SXNzdWU0NTA1NjM5Mjg=,69,Request params are not getting merged with instance params
1965,MDU6SXNzdWU0MDAzNDY5MzA=,69,Project dead?
383,MDU6SXNzdWUxNjY0NjQzMjk=,69,"Set a code/status for ""Network Error"""
382,MDU6SXNzdWUxNjY0NDEyOTQ=,63,Don't send default header
1195,MDU6SXNzdWUyNzU3MzYzODE=,62,Unable to POST data in axios
569,MDU6SXNzdWUxOTMyODEwNTc=,62,CORS error No 'Access-Control-Allow-Origin' header is present on the requested resource
891,MDU6SXNzdWUyMjcyOTY3NjQ=,58,axios doesn't see request headers that I set
973,MDU6SXNzdWUyMzgzNzE1MjM=,57,Axios doesn't work with Android (emulator) raising a Network Error
117,MDU6SXNzdWUxMDg5MDEzMzQ=,54,Who's using axios?
787,MDU6SXNzdWUyMTY2NDg5NTU=,53,GET request does not send data (JSON).
925,MDU6SXNzdWUyMzIyODkzMDk=,52,Request to HTTPS with HTTP proxy fails
1510,MDU6SXNzdWUzMTg4MTQxNDc=,50,How to use Axios with TypeScript when using response interceptors (AxiosResponse issue)
113,MDU6SXNzdWUxMDg0MDU2NjQ=,47,Axios vs jQuery post CORS issue
1321,MDU6SXNzdWUyOTE3MzY2MzM=,46,Axios don't send form data in react-native
1723,MDU6SXNzdWUzNDk4ODU4Njk=,42,Sometime response.data is string instead of object
1827,MDU6SXNzdWUzNjk2NDk4ODU=,39,Axios Post Works but Responds with Network Error
50,MDU6SXNzdWU2MjY5NzY5Mg==,38,No Clear way to abort XmlHttpRequest
1415,MDU6SXNzdWUzMDUwOTUyNDk=,37,AxiosError type for javascript
97,MDU6SXNzdWU5ODY4NjgyOA==,36,PUT and PATCH sending application/x-www-form-urlencoded data
2295,MDU6SXNzdWU0Njk3OTY2MDQ=,35,Passing custom props via axios config
1661,MDU6SXNzdWUzMzkyNTU5OTc=,35,withCredentials in cross domain request dosn't work
448,MDU6SXNzdWUxNzY5OTM4NTM=,34,Missing documentation for downloading binary files
535,MDU6SXNzdWUxODkwMDEzMDI=,33,How to ignore SSL issues
266,MDU6SXNzdWUxNDA3OTg1MTE=,33,Interceptors - how to prevent intercepted messages from resolving as error
2183,MDU6SXNzdWU0NTAwMTMxMDM=,32,Vulnerability found
385,MDU6SXNzdWUxNjY5NjUzNjU=,32,instance.defaults changes global object
44,MDU6SXNzdWU1ODcwNjMzMA==,32,Configure the promise implementation
1567,MDU6SXNzdWUzMjY5ODE4OTU=,31,Unable to send formData in axios (react-native android)
118,MDU6SXNzdWUxMDkyNTI1NzA=,30,Uncaught (in promise) TypeError: Cannot read property 'protocol' of undefined
86,MDU6SXNzdWU5NDgzNjkwMA==,30,Setting header: 'Content-Type': 'application/json' is not working
1219,MDU6SXNzdWUyNzkwNzQwNDQ=,28,Feature request: fetch based adapter
907,MDU6SXNzdWUyMzAxNjA3MTE=,28,responseType: 'text' return Json Object
540,MDU6SXNzdWUxOTAwNjEyMDA=,28,onUploadProgress not being called
1333,MDU6SXNzdWUyOTQzNjc1Nzc=,27,Umbrella issue for v1.0.0
587,MDU6SXNzdWUxOTQ5MjE0MDY=,27,"I set withCredentials is true, but cross-site requests failed. I can't find why..."
175,MDU6SXNzdWUxMjIyOTE4ODM=,27,Setting baseURL in default configuration
2103,MDU6SXNzdWU0MzU0NDI2OTI=,26,Error: timeout of 0ms exceeded
1006,MDU6SXNzdWUyNDQyNzMzOTA=,26,POST request works in Browser but not on Node
2164,MDU6SXNzdWU0NDcwMjE3NjU=,25,Axios 0.18.0 High level Security Vulnerabilities in WhiteSource
648,MDU6SXNzdWUxOTk5MzQ4MTI=,25,Unable to resolve axios module with RN 0.40.0 [Android]
606,MDU6SXNzdWUxOTYzNDczNTM=,25,Response headers missing
1139,MDU6SXNzdWUyNjY1NjMyNTY=,24,Why are null and undefined variables removed from params
789,MDU6SXNzdWUyMTY4MDA0NDY=,24,Send multipart/form-data with axios in nodejs
333,MDU6SXNzdWUxNTY0MTM5MjA=,24,[RFC] API for canceling HTTP requests
2710,MDU6SXNzdWU1NTkzNzU2NDg=,23,difference in timeout behavior between versions 0.18.1 and 0.19.0-2
