Número da Issue,ID,Quant. comentários,Título
315,MDU6SXNzdWU0MTU0NzE4ODM=,7,THANKS 
136,MDU6SXNzdWUzMjU5Njg3Mzc=,7,[Enhancement Proposal] : Create a Github Page
181,MDU6SXNzdWUzMzA1ODM0MDE=,6,Create a chatbot in Elixir
447,MDU6SXNzdWU1NzM1NTcxNTM=,5,Build a HTTP Server from Scratch in C
237,MDU6SXNzdWUzNDEyOTg5MzU=,5,Building a Simple URL Shortener With Just HTML and Javascript
83,MDU6SXNzdWUzMjQwMjI4NjQ=,5,Bitwise: Build your own software/hardware stack 
81,MDU6SXNzdWUzMjM1NjUyMDk=,5,A Search Engine in CSS
34,MDU6SXNzdWUzMjI1OTkzNDE=,5,Linux from Scratch [Operating System]
453,MDU6SXNzdWU1OTMzOTI1MDg=,4,"URL link not working, server moved or deleted."
444,MDU6SXNzdWU1NzI1NjMzNjg=,4,I've been getting spam email from this thread
350,MDU6SXNzdWU0MzI4NDI5MDg=,4,Node.js: Build a static site generator in 40 lines with Node.js. 
295,MDU6SXNzdWUzODM3MTc1MDY=,4,Build your own clipboard manager
228,MDU6SXNzdWUzMzgzNTg2NDQ=,4,Building Neural Networks in F#Part 1 & Part 2
214,MDU6SXNzdWUzMzU5NDYxNTE=,4,Build your own reactjs
200,MDU6SXNzdWUzMzQxNzk2NzE=,4,Build-a-Linux
96,MDU6SXNzdWUzMjQ0NDAzMzM=,4,"Build your own ""Apollo Engine"" GraphQL performance dashboard"
378,MDU6SXNzdWU0OTg5ODc3NDU=,3,"Added ""Writing a Blockchain in Node.js"" (JavaScript)"
312,MDU6SXNzdWU0MDg0NDM5NDg=,3,Flexible Rasterizer in OpenCL
308,MDU6SXNzdWUzOTg4Nzc3NDM=,3,building a standalone module in javascript with only node file system
299,MDU6SXNzdWUzOTEyMDMyMjY=,3,Write your Own Virtual Machine
262,MDU6SXNzdWUzNTc3NDk0ODA=,3,Build a bot to play poker
256,MDU6SXNzdWUzNTQ4OTUwOTM=,3,Build your own containers tutorial.
246,MDU6SXNzdWUzNDgzOTY3MjE=,3,JSON Decoding Algorithm (JSON Parser)
196,MDU6SXNzdWUzMzI4OTM3NDk=,3,"Implement your owncall(), apply() and bind() method in JavaScript"
170,MDU6SXNzdWUzMjg1MTc4NDY=,3,C# Wrapper over Firebase DB
166,MDU6SXNzdWUzMjgwMTY5ODA=,3,MVC from scratch in PHP
138,MDU6SXNzdWUzMjYzODk3Nzg=,3,gifbot - Building a GitHub App
126,MDU6SXNzdWUzMjU1Nzc1NjE=,3,"Remove ""Build a Twitter Bot in less than 30 minutes"""
113,MDU6SXNzdWUzMjQ3MjUzNjk=,3,"""mal"" in ""Programming languages"""
97,MDU6SXNzdWUzMjQ2MjUxNTI=,3,Add resources for AR development
94,MDU6SXNzdWUzMjQ0MzYxNDk=,3,Creating a simple todo application with Ruby on Rails
79,MDU6SXNzdWUzMjM0ODMyMDg=,3,maybe add physics engine.
465,MDU6SXNzdWU1OTk3ODcxODE=,2,Bit torrent client using Go
396,MDU6SXNzdWU1MTY5ODQ0ODI=,2,An Introduction to Convolutional Neural Networks
314,MDU6SXNzdWU0MTM3OTUwOTA=,2,Writing http-server using event-loops.
307,MDU6SXNzdWUzOTg2NTM1MTk=,2,"The first link in ""Build your own Visual Recognition System"" doesn't work."
303,MDU6SXNzdWUzOTQ1MDYzNTU=,2,Build your own Web Application
300,MDU6SXNzdWUzOTEyMDQyOTY=,2,Remove deadlink
290,MDU6SXNzdWUzODIyODI5ODk=,2,"Please Remove ""C++: How To Make Minecraft in C++/ OpenGL"""
287,MDU6SXNzdWUzNzU5NDk1NzQ=,2,Build your own Discord bot using Node.js
281,MDU6SXNzdWUzNzQxMTUzMTE=,2,Writing An Interpreter In Go
263,MDU6SXNzdWUzNTgyNjk1MTI=,2,Build a bot to play poker
254,MDU6SXNzdWUzNTQwODI5MzA=,2,Build a tiny package manager.
233,MDU6SXNzdWUzNDAwNzI1NzY=,2,Learn Redux  Introduction To State Management With React
232,MDU6SXNzdWUzNDAwMzU5NTY=,2,"How to build Snake using only JavaScript, HTML & CSS"
213,MDU6SXNzdWUzMzU5MzY1NzQ=,2,Contribution - Build your own Shopify App with Node.js and Express
212,MDU6SXNzdWUzMzU3MTgwMzA=,2,Build your own error-correction fountain code with Luby Transform Codes
194,MDU6SXNzdWUzMzI4NDE0NzA=,2,"Building Your Own HTML, CSS, and JavaScript Realtime Playground"
190,MDU6SXNzdWUzMzE4MDE3ODk=,2,Web Scraper
189,MDU6SXNzdWUzMzE3NDYzNjk=,2,Write your own blockchain and PoW algorithm using Crystal!
