Número da Issue,ID,Quant. comentários,Título
108,MDU6SXNzdWUzNDQwODMyMjU=,0,Trie - remove words
216,MDU6SXNzdWUzNjUwNzg3MTc=,0,Add Persistent Vector?
217,MDU6SXNzdWUzNjUxMDgzNzU=,0,There is a bug when  sloving unbounded Knapsack Problem
249,MDU6SXNzdWUzODE5Mjk0MjY=,0,How does this Infinity math work?
265,MDU6SXNzdWUzODkwNTM2MDA=,0,"QuickSort : Instead of taking pivot as 1st element, we should take the pivot as last element, due to time complexity"
297,MDU6SXNzdWU0MDIwMjAwMTc=,0,DisjointSet Optimization Suggestion
305,MDU6SXNzdWU0MTA1NDQwODA=,0,Infinite loop in interpolationSearch
306,MDU6SXNzdWU0MTA1NDUzMDU=,0,interpolationSearch may not return the first index with the value
307,MDU6SXNzdWU0MTA1NDc2MjE=,0,levenshteinDistance does not support unicode characters
308,MDU6SXNzdWU0MTA5MzgzNDE=,0,Infinite recursion in combinationSum
344,MDU6SXNzdWU0MzY0NzY5MTQ=,0,Pseudocode for Delete is wrong (LinkedList)
360,MDU6SXNzdWU0NTM1MTY0MTU=,0,error when run npm install 
369,MDU6SXNzdWU0NjI0ODY4NjI=,0,"replaceChild in BinaryTreeNode, the replacementNode's parent is incorrect"
374,MDU6SXNzdWU0NzAyOTA1MTQ=,0,Logo Design
376,MDU6SXNzdWU0NzM2MzE4MTE=,0,extra check
383,MDU6SXNzdWU0ODQ5MzY4Mzg=,0,Hamiltonian Path with a directed graph
391,MDU6SXNzdWU0OTM4Nzk2NzE=,0,Lack Boyer-Moore
394,MDU6SXNzdWU0OTg1MTM4MDg=,0,Counting sort stability
404,MDU6SXNzdWU1MDM0MDkyNjM=,0,Add contributor section
417,MDU6SXNzdWU1MTEzMTk0OTA=,0,Add missing contents on README.ko-KR.md
427,MDU6SXNzdWU1MjMyMTg2OTU=,0,AVL Tree rotation method is very confusing
428,MDU6SXNzdWU1MjM5NzYxMDU=,0,Red Black Tree nodeComparator TypeError
434,MDU6SXNzdWU1MzU4NTc1NTg=,0,"BFS image has a generic tree in it, but the algorithm only works with a binary trees"
436,MDU6SXNzdWU1Mzc4Nzc5MDk=,0,Trie.test.js contains wrong assertion
445,MDU6SXNzdWU1NDMwNjYyNjE=,0,Should we close this issues? Do you still have any problems?
450,MDU6SXNzdWU1NDgyMTEyNzc=,0,I have solved it. I have missed one line of code
472,MDU6SXNzdWU1ODYwMzAwOTY=,0,  
474,MDU6SXNzdWU1ODc5ODI1NTA=,0,S
475,MDU6SXNzdWU1ODk5OTc3NDc=,0,interview que
476,MDU6SXNzdWU1OTA0NTU2NTU=,0,Y
477,MDU6SXNzdWU1OTE1MTAwODY=,0,Arabic Tranlsation
478,MDU6SXNzdWU1OTM3MDUwOTQ=,0,.
484,MDU6SXNzdWU2MTExNTUwNDk=,0,BinaryTreeNode replaceChild didn't set parent current
485,MDU6SXNzdWU2MTEyMDg5Njc=,0,AVL remove need recursive from removeNode
488,MDU6SXNzdWU2MTc5ODM0OTc=,0,Sorting Visualization
6,MDU6SXNzdWUzMjU4OTAwMDg=,1,Duplicate Code in peek in Stack.js
19,MDU6SXNzdWUzMjYzOTA2NTk=,1,Quick sort should not allocate extra memory like left / right array.
34,MDU6SXNzdWUzMjc4ODM0NzU=,1,Sharing similar effort: algorithms-js
37,MDU6SXNzdWUzMjc5NzM1NzE=,1,bug in AVL tree rotateLeftRight and rotateRightLeft
41,MDU6SXNzdWUzMjgzNzIxNjU=,1,Implementing Binary Indexed Tree
43,MDU6SXNzdWUzMjg1NDg5ODc=,1,I'm not sure what this is called or if it belongs here
44,MDU6SXNzdWUzMjg3MTAwNDg=,1,Add B-Tree
48,MDU6SXNzdWUzMjg5MjY5MzU=,1,primality test failure
54,MDU6SXNzdWUzMjk3MjcwMzI=,1,Z -algorithm
56,MDU6SXNzdWUzMzA2MTE0Mjc=,1,Collision resolution in hash-table
58,MDU6SXNzdWUzMzA4MzUyMjY=,1,Combination without repetition algorithm difficult to understand
69,MDU6SXNzdWUzMzI0ODA3NTY=,1,removal from linkedlist
70,MDU6SXNzdWUzMzI5NDc3NDU=,1,Grouping algorithms for studying
78,MDU6SXNzdWUzMzUyNDkyNzI=,1,run repo's class? nodejs not support ES6 import
96,MDU6SXNzdWUzNDA1NTU1MzQ=,1,FloydWarshall algorithm
