Número da Issue,ID,Quant. comentários,Título
89,MDU6SXNzdWUzMzc5NTQyMTQ=,13,Translate to russian
327,MDU6SXNzdWU0MjI2NzI0MDM=,9,Proposal - we can rewrite everything in the Typescript?
196,MDU6SXNzdWUzNTYyNjI1MTY=,9,Suggestion: ship production ready build to npm
339,MDU6SXNzdWU0MzMzNjY1Mjg=,8,Cartesian product with an empty set should be an empty set
145,MDU6SXNzdWUzNDgxNDI1Nzk=,6,Add Max Heap? 
24,MDU6SXNzdWUzMjY3NDMyODg=,6,Workshopper
12,MDU6SXNzdWUzMjYwMTQxNTk=,6,A* algorithm?
102,MDU6SXNzdWUzNDMyNzk0ODY=,5,rabinKarp seems to miss some matches
87,MDU6SXNzdWUzMzc0ODI5MDc=,5,Add doubly linked list
13,MDU6SXNzdWUzMjYwMjkxNTk=,5,AVL tree does not rebalance after removal
406,MDU6SXNzdWU1MDQxNTQzODU=,4,Add more cryptography  
272,MDU6SXNzdWUzOTM2NjExNjM=,4,Provide use cases for the abstraction
197,MDU6SXNzdWUzNTY0NzIwMjQ=,4,Suggestion: using memoization for computation heavy functions
123,MDU6SXNzdWUzNDU3MjM3NTU=,4,Translate to Spanish
119,MDU6SXNzdWUzNDU1NjU3NDc=,4,My concern about no classification by Procedural/Imperative and Functional programming Paradigm
63,MDU6SXNzdWUzMzE0MzE2MjM=,4,knapsack item settings ignores itemsInStock
57,MDU6SXNzdWUzMzA2Nzc5ODQ=,4,What should be returned by the remove method of the BinarySearchTreeNode?
53,MDU6SXNzdWUzMjk0OTE0Mzc=,4,Fucking Awesome !
30,MDU6SXNzdWUzMjc0NTk3MDE=,4,Fibonacci sequences
483,MDU6SXNzdWU2MDA4MDk2ODQ=,3,1Flink 42 (141624)
361,MDU6SXNzdWU0NTM4NDI4Mzg=,3,Linear Sort Algorithm?
264,MDU6SXNzdWUzODkwMzUyMTY=,3,Images of `AVL Tree Rotations` not accessible
254,MDU6SXNzdWUzODgxNzUzNjY=,3,"There is a mistake, toString() is defined for linkedListNode"
252,MDU6SXNzdWUzODM2ODU4Njc=,3,detect-cycle-algorithms detect just one cycle
251,MDU6SXNzdWUzODI4NzkwODA=,3,Primm's algorithm and PrioirtyQueue test reference methods that don't exist
143,MDU6SXNzdWUzNDc5ODAxNTI=,3,Needs Pseudocode?
129,MDU6SXNzdWUzNDYxMzM3NTM=,3,Longest common substring does not handle unicode properly
111,MDU6SXNzdWUzNDQyNzk4Nzk=,3,Translate to Polish
49,MDU6SXNzdWUzMjg5MzczNjc=,3,Add Liu Hui's  algorithm
31,MDU6SXNzdWUzMjc0NjgyMjA=,3,Add another section
29,MDU6SXNzdWUzMjcxNzgzODI=,3,Add Red Black Tree
1,MDU6SXNzdWUzMjU1NDgwMDE=,3,Translation
378,MDU6SXNzdWU0NzcwMTk2Mjk=,2,Redundant condition
346,MDU6SXNzdWU0MzY5MzY0NjY=,2,Add fibonacci search algorithm
323,MDU6SXNzdWU0MjA0NDE5MTA=,2,Find cycles result is wrong!
314,MDU6SXNzdWU0MTE3NDcyNDc=,2,Could we have just one way of doing the swapping to have better consistency across the code 
311,MDU6SXNzdWU0MTExMDk4NTQ=,2,Spelling mistake in readme of levenshtein-distance 
295,MDU6SXNzdWU0MDE1NDkyMzE=,2,I can't require npm package in node application
287,MDU6SXNzdWUzOTYzMzg0ODU=,2,Possible mistake in README for Bit Manipulation section.
271,MDU6SXNzdWUzOTM0MTIwNTQ=,2,Add Splay Tree
248,MDU6SXNzdWUzODE0NjU5MzY=,2,Knapsack has error
234,MDU6SXNzdWUzNzM5MTYzMDI=,2,Add Bogosort
232,MDU6SXNzdWUzNzI1ODIzNzY=,2,Luhn algorithm
206,MDU6SXNzdWUzNTg4Nzg2NDM=,2,Add bucket sort
169,MDU6SXNzdWUzNTA5NjY3NTk=,2,Test suite failed to run on Ubuntu
144,MDU6SXNzdWUzNDc5ODA2MDE=,2,Big O Notation?
122,MDU6SXNzdWUzNDU3MjE5ODc=,2,Wrong description
107,MDU6SXNzdWUzNDM5MjAzMTM=,2,Translate to korean
90,MDU6SXNzdWUzMzgxODMyODc=,2,Fix errors in grammar and descriptions in README.md
40,MDU6SXNzdWUzMjgzNTE5OTg=,2,A suggestion about Factorial
