Número da Issue,ID,Quant. comentários,Título
7574,MDU6SXNzdWUxMDkwMzMxNTQ=,402,Icon request: icon-discord [will be available in Font Awesome 5]
6927,MDU6SXNzdWU5NDQ5NDY1Mg==,308,Icon request: free-code-camp
878,MDU6SXNzdWUxMjM3MDcyNA==,308,Icon request: icon-handshake
897,MDU6SXNzdWUxMjU4OTE4NQ==,284,"Icon request: icon-envelope-open, icon-envelope-open-o"
492,MDU6SXNzdWU3MjgwMDE5,256,Icon request: icon-hourglass set
1271,MDU6SXNzdWUxNTQ5MDI5MQ==,215,Icon request: icon-rouble (STOP +1ing!!! ICON WILL BE ADDED IN 4.0.0)
1647,MDU6SXNzdWUxNzIxMTI0NQ==,202,Icon request: icon-infinity (icon-infinite)
1725,MDU6SXNzdWUxNzY4Mzg2Mw==,201,Icon request: icon-bandcamp
8503,MDU6SXNzdWUxMzE5MzQ1MTM=,200,Icon request: icon-grav
991,MDU6SXNzdWUxMzg1NDIyMQ==,200,"Icon Request: Excel, PDF, Word, PPT and most common file types"
412,MDU6SXNzdWU2MzY5MTA0,196,Icon request: icon-tripadvisor
3455,MDU6SXNzdWUzMzczMjk1OQ==,195,Icon request: fa-modx
720,MDU6SXNzdWUxMDUwMTA1NA==,194,Icon request: icon-thermometer
1400,MDU6SXNzdWUxNTkyNjk0NQ==,183,Icon request: icon-coins
886,MDU6SXNzdWUxMjUxOTIwMQ==,180,Icon request: icon-viadeo
3034,MDU6SXNzdWUyODk0Nzk0Ng==,179,Icon Request: icon-telegram
1685,MDU6SXNzdWUxNzQ1MTkyOA==,179,Icon request: icon-ok / icon-ok-sign (icon-odnoklassniki)
6912,MDU6SXNzdWU5NDEwMjYxNw==,178,Icon request: fa-facebook-messenger [will be available in Font Awesome 5]
2631,MDU6SXNzdWUyNDY3NDgxNw==,178,Icon Request: icon-line (icon-line-messenger) [will be available in Font Awesome 5]
2272,MDU6SXNzdWUyMTcxMzY0Mg==,178,Icon Request: fa-google-play [will be available in Font Awesome 5]
1715,MDU6SXNzdWUxNzYwMjIzMg==,176,Icon Request: icon-goodreads [will be available in Font Awesome 5]
3906,MDU6SXNzdWUzNzg1Mjc1Mw==,170,Icon request: Snapchat
844,MDU6SXNzdWUxMTkxNjQ4Nw==,170,Icon request: icon-walk (man walking)
510,MDU6SXNzdWU3NTgwNDAw,170,Icon request: icon-quora
708,MDU6SXNzdWUxMDM1ODY1Nw==,169,"Icon request: icon-shower, icon-bath"
3313,MDU6SXNzdWUzMjI3MjczNg==,163,Icon Request: icon-strava [will be available in FA5]
715,MDU6SXNzdWUxMDQ2MDA5Ng==,163,Icon request: icon-t-shirt
388,MDU6SXNzdWU2MTE5MTky,162,"Icon request: icon-wikipedia, icon-wikimedia"
1088,MDU6SXNzdWUxNDM2NDY3OQ==,161,"Icon Request: icon-blogger, icon-blogger-square [will be available in Font Awesome 5]"
219,MDU6SXNzdWU0ODU1Mzk4,160,"Icon request: icon-chrome, icon-safari, icon-opera, icon-firefox, icon-internet-explorer"
825,MDU6SXNzdWUxMTYzMjYwNQ==,159,Icon Request: icon-id-card (icon-name-card/icon-name-tag/icon-contact)
1582,MDU6SXNzdWUxNjgwNTI2Ng==,158,"Icon Request: icon-minimize, icon-maximize, icon-restore"
1540,MDU6SXNzdWUxNjU3MzU4NA==,158,icon request: icon-thin-close (thinner icon-times / icon-close)
239,MDU6SXNzdWU0OTA5ODk3,158,Icon request: icon-clean (icon-broom / icon-brush)
1133,MDU6SXNzdWUxNDU0ODU2Ng==,156,Icon Request: Mathematical icons
541,MDU6SXNzdWU4MzE0MDI4,155,"Icon request: icon-mendeley, icon-google-scholar"
1009,MDU6SXNzdWUxNDA1NjYwMQ==,153,"Icon Request: Credit Cards (PayPal, Google Wallet, Visa, Master Card, Discover Card, Amex)"
477,MDU6SXNzdWU3MTA2Njgx,153,Icon request: icon-invoice (icon-receipt)
1840,MDU6SXNzdWUxODQ0MTcxOA==,152,Icon request: icon-computer-chip (or icon-chip)
368,MDU6SXNzdWU1OTA3MTYz,152,Icon request: icon-tv
1958,MDU6SXNzdWUxOTMwNDA1OA==,149,Icon Request: icon-shop (icon-store)
171,MDU6SXNzdWU0MzAwOTA1,148,"Icon request: icon-pie-chart, icon-line-chart, icon-area-chart"
1739,MDU6SXNzdWUxNzgxMTI3MA==,147,Icon request: Snowflake
1676,MDU6SXNzdWUxNzM5MTAwNQ==,146,"Icon request: icon-gas-pump (icon-fuel, icon-petrol)"
671,MDU6SXNzdWU5OTIwNzcz,146,Rendering issue: icon-spin fa-spin shake/wobble (chrome firefox)
962,MDU6SXNzdWUxMzI5NTYwNg==,145,Icons request: icon-shopping-basket
829,MDU6SXNzdWUxMTY1OTczMA==,145,Icon request: icon-shopping-bag
3239,MDU6SXNzdWUzMTM4NjAzMA==,143,Icon Request: icon-memory (icon-ram)
2088,MDU6SXNzdWUyMDQxNDUzOA==,142,Icon Request: icon-church
544,MDU6SXNzdWU4NDQ0OTQ5,143,Icon request: Creative Commons symbols
