Número da Issue,ID,Quant. comentários,Título
34,MDU6SXNzdWUxNDQwNjkwMzQ=,0,Python3 issue
46,MDU6SXNzdWUxNDgzNTk2MjQ=,0,Can you add license?
84,MDU6SXNzdWUxNTQ4NDU2MTc=,0,Syntaxnet README typo (?) on protobuf version
94,MDU6SXNzdWUxNTQ4ODUxMDk=,0,execute 0 out of 12 tests: 12 were skipped
214,MDU6SXNzdWUxNjA4MjEyMDA=,0,Can't resolve training syntaxnet with custom corpora.
222,MDU6SXNzdWUxNjA5OTQ4MTQ=,0,Getting started with SyntaxNet
262,MDU6SXNzdWUxNjQ2NjYxNzE=,0,How to train a Chinese dependency parser
426,MDU6SXNzdWUxNzc3MjM3MDc=,0,error of models/slim/datasets/download_and_convert_cifar10.py
430,MDU6SXNzdWUxNzc5MzQ4NjU=,0,the nightly binaries of TF is 404 error
447,MDU6SXNzdWUxNzkwMzIxMzM=,0,"Syntaxnet: Error running ""bazel test syntaxnet/... util/utf8/..."" on ubuntu"
513,MDU6SXNzdWUxODE1ODQ1NDM=,0,t
561,MDU6SXNzdWUxODM4NTAzMjc=,0,Atrous Conv2D and Transposed Convolution op
594,MDU6SXNzdWUxODU4NjEzNzQ=,0,"i can't build textsum,please help me "
624,MDU6SXNzdWUxODgxODE4NDM=,0,# textsum # beam_size must be equal to batch_size?
666,MDU6SXNzdWUxOTA1NDg2Mjg=,0,How to build and run inception model?
668,MDU6SXNzdWUxOTA1OTQ2MDA=,0,"Typo in slim's download and convert mnist, `Size` should be `size`"
691,MDU6SXNzdWUxOTE5NTgzNTA=,0,Training time
707,MDU6SXNzdWUxOTMyNjE1NjI=,0,"syntaxnet, some problem in evaluate the dependency parsing model"
720,MDU6SXNzdWUxOTQwNTI0NzU=,0,[im2txt]Error: Attempting to use uninitialized value global_step
724,MDU6SXNzdWUxOTQzNzA1MTk=,0,Tf.train.Saver() Failing with V2 Checkpoint
763,MDU6SXNzdWUxOTYwMjE1ODA=,0,Error installing tensorflow r0.10 from source.
765,MDU6SXNzdWUxOTYxMzA3NDQ=,0,Cannot downgrade from r0.12 to r0.10 version.
791,MDU6SXNzdWUxOTcwOTM2NDM=,0,textsum: training with cpu only? why not gpu?
798,MDU6SXNzdWUxOTcyMTk3ODE=,0,Unable to bazel build imagenet preprocessing
808,MDU6SXNzdWUxOTc0OTEyMzE=,0,Cifar10 24 byte width to 32 bit
879,MDU6SXNzdWUxOTk4NjkxODg=,0,Difference between old and slim inception v3 models
908,MDU6SXNzdWUyMDA5OTU5MDk=,0,Train new dataset with inception_v3 model  by use slim
931,MDU6SXNzdWUyMDIwNDM5MDg=,0,uselss code in  run_epoch() of ptb_word_lm.py??
993,MDU6SXNzdWUyMDYwMTY4MjA=,0,close accidentally opened issue
1014,MDU6SXNzdWUyMDc1ODA2MTA=,0,PTB example: concat_v2 -> concat for TF 1.0
1166,MDU6SXNzdWUyMTQwNDg2OTE=,0,"Is there a version of ""tutorials/image/cifar10"" compatibable with 0.11rc?"
1203,MDU6SXNzdWUyMTUyMDkwMDU=,0,finetune new data :Accuracy = 0
1212,MDU6SXNzdWUyMTUyNTIzMzc=,0,Inception v3: tensorflow slim prediction failed running: FaildePreconditionErrer: Attempting to use unitialized value Inceptionv3
1273,MDU6SXNzdWUyMTgwMzc4NTI=,0,GRU cell error- sequence to sequence models
1352,MDU6SXNzdWUyMjE5NTI3NTc=,0,error for run conll2017 baseline_eval.py 
1417,MDU6SXNzdWUyMjQ1OTg5NjY=,0,GPU out of memory when using Tensorflow Slim
1435,MDU6SXNzdWUyMjU5MTY1MTA=,0, A ValueError while using compression models
1453,MDU6SXNzdWUyMjY5NTA1NTA=,0,vidia-smi
1460,MDU6SXNzdWUyMjgwMDM0MTQ=,0,"How can i recognize age and gender, is there any model for that?"
1508,MDU6SXNzdWUyMzE2Mzk2NTk=,0,where to get the pre-trained models for Show and Tell: A Neural Image Caption Generator?
1539,MDU6SXNzdWUyMzQ2ODI0Mzk=,0,pretrained syntactic models are not found
1791,MDU6SXNzdWUyMzkwNDAyMDY=,0,fasterrcnn
1807,MDU6SXNzdWUyMzkzNzM3MTM=,0,minor typo
1847,MDU6SXNzdWUyNDAyOTMwMjE=,0,How to create Annotations?
2058,MDU6SXNzdWUyNDYyMTYzNzk=,0,How to eval model with Ubuntu system which do not have explorer?
2062,MDU6SXNzdWUyNDYyOTkzMzY=,0,"models/object_detection/, how to build tensor model on iOS platform with GRPC "
2070,MDU6SXNzdWUyNDY1NTkxMjE=,0,"How can I use jupyter to edit a file on jupyter server, such as ""~/.bashrc."
2077,MDU6SXNzdWUyNDY3MzYzODQ=,0,"resnet_v2_101/block1/unit_1/bottleneck_v2/conv1/biases does not exist, or was not created with tf.get_variable()"
2093,MDU6SXNzdWUyNDcyODE5NTA=,0,I want to train my model on Google Cloud
2108,MDU6SXNzdWUyNDc2NzA4MjY=,0,lfads: Where is train_modelvals defined?
