Número da Issue,ID,Quant. comentários,Título
26,MDU6SXNzdWUzNTQ0NzEy,0,icon request: email icon
135,MDU6SXNzdWUzOTc1MjI3,0,Font Awesome icons now available for jQuery Mobile
267,MDU6SXNzdWU1MDE2MTgy,0,Google web  fonts availability
337,MDU6SXNzdWU1NTQwNTUy,0,Icon Request - Wine Bottle and/or Glass
369,MDU6SXNzdWU1OTE0NTg1,0,Firefox 14 cannot load the icon-font
429,MDU6SXNzdWU2NTEyOTUx,0,Icon Request: Flickr
449,MDU6SXNzdWU2NzIwODc3,0,Hot Tip! Configure Font Awesome and Microsoft WebMatrix to work with IOS and Firefox browsers
480,MDU6SXNzdWU3MTI0MzQ2,0,Request: half-star-empty
615,MDU6SXNzdWU5NjQyNjc5,0,Icon request: icon-collection
725,MDU6SXNzdWUxMDUzOTEyMw==,0,"Icon request: 1/4 circle, 3/4 circle"
769,MDU6SXNzdWUxMTAxMTM1MQ==,0,Icon request: icon-mixing-console
814,MDU6SXNzdWUxMTU0NDUyNQ==,0,Animation speed
899,MDU6SXNzdWUxMjU4OTMyOA==,0,Icon request: icon-unshare
942,MDU6SXNzdWUxMzA2NDEzNQ==,0,-webkit-overflow-scrolling: touch
1037,MDU6SXNzdWUxNDIxMjM2Nw==,0,Icon request: Working out
1086,MDU6SXNzdWUxNDM2MTI3NQ==,0,SCSS files missing?
1097,MDU6SXNzdWUxNDQwODYxNA==,0,Icon Request: icon-jackpot
1193,MDU6SXNzdWUxNDg3NjU4OA==,0,Icon Request: read-later
1200,MDU6SXNzdWUxNDkxNzE3Mg==,0,package.json the dependencies are broken
1217,MDU6SXNzdWUxNTA4MTE4NQ==,0,Icon Request: icon-cube
1231,MDU6SXNzdWUxNTIzMDE0NQ==,0,Icon Request: icons for wordpress admin ui
1242,MDU6SXNzdWUxNTM3MTI3OA==,0,Icon Request: icon-bed
1288,MDU6SXNzdWUxNTUyMDQ0MQ==,0,Icon request: Google Fusion Tables
1332,MDU6SXNzdWUxNTYzMzk4OA==,0,Icon Request: icon-resize-topleft / icon-resize-topright / icon-resize-nw / ...
1339,MDU6SXNzdWUxNTY3OTY2Mw==,0,Icon request: group icon
1347,MDU6SXNzdWUxNTY5MzU5Ng==,0,Icon request: Decimal
1351,MDU6SXNzdWUxNTcwMDU2MA==,0,Icon Request: icon-deck
1371,MDU6SXNzdWUxNTgxNTUzNA==,0,Adding an icon to the font and further converting
1375,MDU6SXNzdWUxNTgzMDEyNA==,0,Icon request: icon-ok-empty
1418,MDU6SXNzdWUxNjAxMjk0Nw==,0,Icon request: icon-grumpy
1426,MDU6SXNzdWUxNjA1NzM0Mw==,0,Icon Request: icon-remove-sign-alt
1429,MDU6SXNzdWUxNjA2Nzg1Nw==,0,"Icon Request: icon-weibo, icon-renren, icon-yen (alias),  icon-android, icon-apple"
1433,MDU6SXNzdWUxNjA5Nzk2NA==,0,Icon Request: GovDelivery
1435,MDU6SXNzdWUxNjEwNjAzOQ==,0,Icon Request: icon-lifechurch
1458,MDU6SXNzdWUxNjE3NTI5NQ==,0,+1
1466,MDU6SXNzdWUxNjIxMDY0OA==,0,Request: sign-blank (outlined)
1508,MDU6SXNzdWUxNjQ0NTgxOQ==,0,Icon Request: vimeo-logo
1523,MDU6SXNzdWUxNjUwOTkyMQ==,0,[Suggestion] Make the docs easier to maintain from a developer side
1532,MDU6SXNzdWUxNjU1Mzc2Nw==,0,Icon request: icon-circle-half
1554,MDU6SXNzdWUxNjYxNjA3NQ==,0,Adding custom icon in font awesome
1583,MDU6SXNzdWUxNjgzMTMyOQ==,0,Icon-Request: icon-increase-volume
1584,MDU6SXNzdWUxNjgzMTM2NQ==,0,Icon-Request: icon-decrease-volume
1585,MDU6SXNzdWUxNjgzMTY5MQ==,0,Icon-Request: icon-mute-volume
1599,MDU6SXNzdWUxNjg5MTQ5Mw==,0,Icon request: vi.be
1614,MDU6SXNzdWUxNjk5NDU0OA==,0,Icon Request: icon-gamerscore
1626,MDU6SXNzdWUxNzAzMDM3Mg==,0,Icon Request: icon-snooze
1630,MDU6SXNzdWUxNzAzNzg1MQ==,0,Icon request: icon-metals
1635,MDU6SXNzdWUxNzA5OTU2Mg==,0,Icon Request : Reduce (invert of expand) icon
1638,MDU6SXNzdWUxNzEyMDc0Mg==,0,"icon request: icon-window-tile, icon-window-cascade"
1640,MDU6SXNzdWUxNzE1Nzc4MA==,0,Icon Request: icon-screenshot vs icon-crosshair
