Número da Issue,ID,Quant. comentários,Título
1,MDU6SXNzdWUyMzU5NDgyMTU=,0,"Drop setBlockedURLs, use request.abort instead"
4,MDU6SXNzdWUyMzU5NTA3NjU=,0,Add frames api
15,MDU6SXNzdWUyMzY2MzU4MTU=,0,Parallel calls to Page.screenshot interfere with each other 
20,MDU6SXNzdWUyMzcwNDUzNzI=,0,Do not allow sync callbacks into puppeteer
21,MDU6SXNzdWUyMzcwNDYxODc=,0,Detect browser running with the remote debug port opened based on file/system.out
33,MDU6SXNzdWUyMzczNzk3MjU=,0,Fix tests on Travis-Ci
42,MDU6SXNzdWUyMzg3MDk0MjY=,0,Add waitFor APIs
43,MDU6SXNzdWUyMzg3MTEyODA=,0,Add core input APIs
51,MDU6SXNzdWUyNDEwMzQwMTc=,0,Page.evaluate doesn't return NaN or Infinity
86,MDU6SXNzdWUyNDMzMzIzODU=,0,Exception while trying to handle non-serializable object
100,MDU6SXNzdWUyNDQ1MTQ1MjA=,0,UnitTests on Mac are timeouting
107,MDU6SXNzdWUyNDUyNDc4MzM=,0,"Add mouse.click(x,y)"
113,MDU6SXNzdWUyNDUyNTk3NDc=,0,Some methods need to be mirrored on frame
114,MDU6SXNzdWUyNDUyNTk5NDQ=,0,Options objects should be documented wherever they are used.
116,MDU6SXNzdWUyNDUyNjA5MzA=,0,Remove browser.closePage
117,MDU6SXNzdWUyNDUyNjExNTc=,0,Page.console should not add any overhead
119,MDU6SXNzdWUyNDUyNjE3Njg=,0,Proposal: rename page.evaluateOnInitialized
120,MDU6SXNzdWUyNDUyNjMxMzA=,0,remove frame.isMainFrame()
122,MDU6SXNzdWUyNDUyODU3MzA=,0,mouse.down() and mouse.up() should wait for raf
127,MDU6SXNzdWUyNDU0NzkxNjY=,0,Kill Page.getResourceTree usages
157,MDU6SXNzdWUyNDYxODU4ODQ=,0,Add repeat option to sendCharacter
179,MDU6SXNzdWUyNDcyMjQ4NTI=,0,Record a trace
258,MDU6SXNzdWUyNTAyMjE3NDg=,0,Request Interception doesn't work with urls that contain hashes
259,MDU6SXNzdWUyNTAyMjMxMDA=,0,Request interception works badly with dataURLs
262,MDU6SXNzdWUyNTAyMzE3Njc=,0,Puppeteer doesn't tell anything meaningful when the page crashes
360,MDU6SXNzdWUyNTEwODEyODg=,0,directory not empty error when running multiple puppeteer processes in parallel
396,MDU6SXNzdWUyNTE0NDQ4ODc=,0,doc: examples for .waitForSelector() fail
397,MDU6SXNzdWUyNTE0NDc3Nzg=,0,doc: some descriptions for the frame methods are missing
506,MDU6SXNzdWUyNTI0MjI0NTI=,0,Jonas Hora
568,MDU6SXNzdWUyNTMyNDM3MzE=,0,Can't click mobile version UI (touch event only)
591,MDU6SXNzdWUyNTM1NDE0MDQ=,0,Ads remove
625,MDU6SXNzdWUyNTQxMzYyNDI=,0,Introduce page.$eval and page.$$eval
690,MDU6SXNzdWUyNTU0MDk3Nzc=,0,Expose function doesn't add to frames the first time.
756,MDU6SXNzdWUyNTY4ODQ1NDU=,0,[CI] travis doesn't run tests for node6
914,MDU6SXNzdWUyNjE2ODE0MzA=,0,Large images fit to pages in PDF export in screen mode
918,MDU6SXNzdWUyNjE4MTA5ODQ=,0,userDataDir + headless  = browser and script (node) hang
1059,MDU6SXNzdWUyNjYwMzkxOTI=,0,"should be page.type('#lst-ib','puppeteer')"
1102,MDU6SXNzdWUyNjcwNDI0NzU=,0,301 Redirects throwing errors
1119,MDU6SXNzdWUyNjczNDMwMjY=,0,networkidle not working when there are requests ongoing
1128,MDU6SXNzdWUyNjc0OTEzOTk=,0,Fonts used in non-displayed elements are not included in the generated PDF
1144,MDU6SXNzdWUyNjc4ODg2NzM=,0,Content(map) overflow to next page when generate pdf
1163,MDU6SXNzdWUyNjg1NTYxMDA=,0,"Test ""Puppeteer.launch should support ignoreHTTPSErrors option"" is flaky"
1185,MDU6SXNzdWUyNjkwNDE4NTM=,0,Error when running on Jenkins( Ubuntu 14.04.4 LTS (GNU/Linux 3.13.0-32-generic x86_64))
1195,MDU6SXNzdWUyNjkyNDA5NzU=,0,Test `Page.goto should fail when navigating to bad SSL` is flaky
1218,MDU6SXNzdWUyNjk4MTI4ODI=,0,`page.goto` is littered with races 
1360,MDU6SXNzdWUyNzMxNTM3OTU=,0,evaluateFunction pageFunction parameter (docs)
1371,MDU6SXNzdWUyNzM0Mzc0MzU=,0,Support for both HTTPS and HTTP in downloader
1373,MDU6SXNzdWUyNzM0Njc4MDY=,0,Page crash when HTTPS referer is set
1387,MDU6SXNzdWUyNzM5MjA4ODA=,0,start
1557,MDU6SXNzdWUyODA1ODEyMDU=,0,Example: search.js should demo something other than google.com
