Número da Issue,ID,Quant. comentários,Título
24,MDU6SXNzdWUyNTMzOTI1OTA=,0,List parser formats supported in console output
35,MDU6SXNzdWUyNjkzNDI1OTE=,0,ColorTool: Add modified campbell.ini with black fully black and bright white full white
73,MDU6SXNzdWUyOTc2NTAyMDY=,0,Copy and paste no longer works in WSL -  as of 11/9
118,MDU6SXNzdWUyOTc5NDg1MjI=,0,Japanese character output in Integrated Terminal of Visual Studio Code causes the next prompt out of position after upgrading to Creators Update
153,MDU6SXNzdWUzMTQxOTQwNjY=,0,Add an option to toggle the width of ambiguous-weight characters
160,MDU6SXNzdWUzMTc3OTY5NDc=,0,Create exporting interface to allow more formats than just .ini
178,MDU6SXNzdWUzMjMyNTA2Nzc=,0,NonASCII Chars preventing seeing more text since 1803 release
202,MDU6SXNzdWUzMjg1NjA4NjM=,0,Secondary buffer window restore glitch
206,MDU6SXNzdWUzMzE4MDk3Njk=,0,Backspace ctrl-h
230,MDU6SXNzdWUzNDcxNzcxMzU=,0,new lines created below tmux after reducing the bash window
291,MDU6SXNzdWUzNzIyMDc1MjA=,0,MiniTerm sample should specify long-running task
297,MDU6SXNzdWUzNzYyMTE4OTY=,0,Support running elevated process from cmd/ps without opening a new console window
303,MDU6SXNzdWUzNzkxNzYxMzc=,0,Three problems displaying End User Defined Characters in Windows Console
309,MDU6SXNzdWUzODI0NzkxNjA=,0,cmd: rd /s for recursive directory removal fails intermittently and is asynchronous
330,MDU6SXNzdWUzOTE4NTQzMjY=,0,A way to read (from a console) a mix of bindable keypresses and Unicode?
337,MDU6SXNzdWUzOTQ5MDc3MTU=,0,Recognise Left and Right Shift in KEY_EVENT_RECORD.dwControlKeyState
368,MDU6SXNzdWU0MDcyNDM2MTM=,0,cmd execution and GCC compilation scripts slow
373,MDU6SXNzdWU0MDk5OTM0Nzk=,0,Cell-edge issues rendering box-drawing characters and colored backgrounds
374,MDU6SXNzdWU0MTA3MzMwMTU=,0,ColorTool: support parsing foreground and background colors in concfg parser
415,MDU6SXNzdWU0MzU2MDczMDk=,0,Enter tmux would reset console font .
424,MDU6SXNzdWU0Mzg5NjM2MjI=,0,Console window cannot be closed when in selection mode before WSL tty is ready
446,MDU6SXNzdWU0NDA5NDc0NjY=,0,Feature request: Add fluent design reveal highlight to tabs and buttons
488,MDU6SXNzdWU0NDExNjEyNzY=,0,Instruction for build new Terminal
556,MDU6SXNzdWU0NDE1Mjk1MDM=,0,"Developer builds overwrite store builds, there's no SxS story"
645,MDU6SXNzdWU0NDI0NDkzMTU=,0,Guidance: Language Policy
670,MDU6SXNzdWU0NDI4MDg2OTA=,0,Terminal selects a char when bringing window to foreground
722,MDU6SXNzdWU0NDMxMzEzMDY=,0,Re-enable ARM64 in CI
740,MDU6SXNzdWU0NDM0MzU2NDg=,0,Query the user's default shell when creating the default profiles
750,MDU6SXNzdWU0NDM2MDMyMzQ=,0,Guidance: Unexpected/undiscussed pull requests and duplicate work
752,MDU6SXNzdWU0NDM2MDQyNzg=,0,Add a pull request template
757,MDU6SXNzdWU0NDM2NDIzODE=,0,Investigate using ZWNJ at the beginning of COOKED_READ_DATA line 
773,MDU6SXNzdWU0NDM5OTQ5ODY=,0,Fix AuditMode for BufferOut project
774,MDU6SXNzdWU0NDM5OTU2Mzc=,0,"Implement ""Nightly"" build"
775,MDU6SXNzdWU0NDM5OTcwMjI=,0,Tests aren't executing in CI
779,MDU6SXNzdWU0NDQwMTM5OTc=,0,Get Performance Tests Working
782,MDU6SXNzdWU0NDQwMjQ4NjY=,0,CustomTextLayout/CustomTextRenderer performance tweaks
783,MDU6SXNzdWU0NDQwMjczNzQ=,0,Performance regression for Conhostv2 wrapped by ConEmu
787,MDU6SXNzdWU0NDQwNTU4MzM=,0,Move Feedback link to go to GitHub
797,MDU6SXNzdWU0NDQxNTE1ODc=,0,Resize with Reflow loses leading spaces on resize operation
799,MDU6SXNzdWU0NDQxNTI4Njc=,0,Command Prompt text becomes black when scrolling
801,MDU6SXNzdWU0NDQxNTQxNzg=,0,Create comprehensive word-by-word selection tests
803,MDU6SXNzdWU0NDQxNTU2MjA=,0,Lines are not drawn correctly during IME edit line operations
810,MDU6SXNzdWU0NDQxNzM3NDE=,0,Text Indicator Disappears When Using Chinese in Command Prompt
865,MDU6SXNzdWU0NDUxNzYxMTI=,0,Guidance: Documentation on taking issues from somebody
877,MDU6SXNzdWU0NDU0MzYwNzQ=,0,KeyChord should just use the existing WinRT types instead of defining our own
882,MDU6SXNzdWU0NDU1NDc1MDA=,0,Document Bot
908,MDU6SXNzdWU0NDYzMTU0Mzc=,0,Feature Request: Enable BinSkim for making sure our binaries are good
921,MDU6SXNzdWU0NDY3OTY3MTY=,0,Code Health: Follow ES.9: Avoid ALL_CAPS names per ISO C++ guidelines
923,MDU6SXNzdWU0NDY3OTc5NDM=,0,Make all test binaries consistent in Target and Project name
933,MDU6SXNzdWU0NDY4OTI0OTk=,0,Include default icons for the default profiles (where we can)
