Número da Issue,ID,Quant. comentários,Título
1375,MDU6SXNzdWU0NTk0MjEzMTA=,264,"MEGA THREAD: Design is not complete, UI is not polished"
489,MDU6SXNzdWU0NDExNjEzOTA=,262,Guide for build and installation
1060,MDU6SXNzdWU0NTAxMTc4OTU=,209,"Add ""open Windows terminal here"" into right-click context menu"
632,MDU6SXNzdWU0NDIzODM4NzE=,165,[Question] Configuring Windows Terminal profile to always launch elevated
521,MDU6SXNzdWU0NDEzMTk1MDM=,143,AltGR SEQUENCES DO NOT WORK -- Can't type any AltGr combinations in Windows Terminal
1386,MDU6SXNzdWU0NTk0NDExMTg=,87,Investigate alternative deployment mechanisms for Windows Terminal
280,MDU6SXNzdWUzNjkyNjY0Mjk=,84,Windows 10 1809/19H1/20H1 breaks Powershell's console settings. Keeps opening with raster fonts.
653,MDU6SXNzdWU0NDI1MzkxMzk=,75,Feature request: hot key drop down ala quake/guake/tilda
979,MDU6SXNzdWU0NDgyMDkzMTA=,71,Touchpad scrolling not possible
57,MDU6SXNzdWUyOTM2NTk4Mjk=,69,Official API to create a third-party console host (like pty in Unix)
5458,MDU6SXNzdWU2MDQ0NTk1NTE=,65,MEGATHREAD: Breaking settings changes in version 0.11!
1073,MDU6SXNzdWU0NTA1MjQ3MTg=,62,Copy and paste from the Windows Terminal doesn't include line breaks
190,MDU6SXNzdWUzMjU2ODA1MTE=,62,Add emoji support to Windows Console
1364,MDU6SXNzdWU0NTkwNjk4ODQ=,56,Terminal shows an empty window and then crashes
547,MDU6SXNzdWU0NDE1MDkxOTE=,55,
465,MDU6SXNzdWU0NDEwNDU1MTI=,54,
968,MDU6SXNzdWU0NDc4OTcyNDQ=,54,Copy & Paste Keybindings
461,MDU6SXNzdWU0NDEwMzE5ODM=,53,How Do I Build it to Begin With?
2213,MDU6SXNzdWU0NzY0MzQ3ODU=,51,"All IME's don't work (Chinese/Japanese/Korean input, Emoji Picker, etc.)"
3097,MDU6SXNzdWU1MDMxMDQxNDQ=,49,It is hard to find Microsoft.VCLibs.140.00.UWPDesktop 
878,MDU6SXNzdWU0NDU0ODQ0OTE=,49,Starting directory no longer respected
649,MDU6SXNzdWU0NDI0ODM4MTA=,48,GSync/Freesync refresh rate / FPS drops when using Terminal
608,MDU6SXNzdWU0NDIwNDMxOTE=,48,Feature request: suppress VT title and prefer profile name (or something else)
3303,MDU6SXNzdWU1MTE2MjkzNzY=,47,Terminal crashes when dragged to another monitor
146,MDU6SXNzdWUzMTA2NTkzMDA=,47,Sudo/command line only elevation?
4448,MDU6SXNzdWU1NTkxNDcxMTg=,45,No keyboard input
217,MDU6SXNzdWUzMzkxMjgzMTI=,44,cmd: add environment variable to disable/enable 'Terminate batch job (Y/N)?' confirmation
1079,MDU6SXNzdWU0NTA4MzI3MTg=,43,Ability to rename Tab title at runtime
283,MDU6SXNzdWUzNjk1OTgyNjU=,43,erratic cursor and display in emacs
2661,MDU6SXNzdWU0ODk0Nzk4NjI=,42,render: defer conversion of TextColor into COLORREF until actual rendering time (avoid ConPTY narrowing bugs)
1769,MDU6SXNzdWU0NjI5NzAwMDA=,42,bug report srsly
1564,MDU6SXNzdWU0NjAxMDg4NjI=,42,Feature Request - Implement Settings UI
1173,MDU6SXNzdWU0NTM3ODcwMzY=,42,ConPTY Passthrough mode 
524,MDU6SXNzdWU0NDEzMzE5ODU=,42,Feature: add copy on select (per Unix terminals) 
143,MDU6SXNzdWUzMTAwMzQ1NDI=,42,Weird slowness scolling text in the console
4345,MDU6SXNzdWU1NTQyMDQ3NDk=,41,Incorrect display of characters written on top of the wide emojis
1810,MDU6SXNzdWU0NjM5NzI0NDU=,41,ClosePseudoConsole API hanging
455,MDU6SXNzdWU0NDEwMDk4MjU=,41,Remember to have block and line drawing characters fill their cells properly
755,MDU6SXNzdWU0NDM2MTU5NDM=,39,Ctrl-backspace does not delete back to the previous wordbreak
610,MDU6SXNzdWU0NDIwNTY2MTY=,39,Font rendering issues in Terminal
576,MDU6SXNzdWU0NDE2NzI4MTc=,39,Feature Request: Task Bar jumplist should show items from profile
1091,MDU6SXNzdWU0NTEwMjk4NTM=,38,Pasted text includes CRLF pairs where unneeded
1000,MDU6SXNzdWU0NDgzMTM2MjY=,38,Scenario: Add support for panes 
545,MDU6SXNzdWU0NDE0OTQ3MDM=,38,[Terminal] VT Mouse Support
540,MDU6SXNzdWU0NDE0NjQ3NjE=,38,[Build Error] Unresolved Settings.KeyChord &.Settings.IKeyBindings
3325,MDU6SXNzdWU1MTI1NjY5NTU=,37,Title bar buttons aren't working
565,MDU6SXNzdWU0NDE1NzQ2NTI=,36,Move the solution to VS2019 and v142 toolset
4974,MDU6SXNzdWU1ODM0NTAyNjY=,35,"[v0.10] When two characters are ligatured, the first one becomes invisible"
508,MDU6SXNzdWU0NDEyNjEyNDE=,34,VS failed to build with many errors
386,MDU6SXNzdWU0MTk4NzcyMzE=,34,Bad characters occasionally displayed when writing lots of identical UTF-8 lines
