Número da Issue,ID,Quant. comentários,Título
290,MDU6SXNzdWUyNTA2ODk3NDU=,186,Chrome Headless doesn't launch on Debian
299,MDU6SXNzdWUyNTA3MjAzNDE=,145,Question: How do I get puppeteer to download a file?
1325,MDU6SXNzdWUyNzIzODgwNzE=,103,"When would an error ""Cannot find context with specified id undefined"" happen?"
85,MDU6SXNzdWUyNDMzMzAzNDU=,77,Support browser contexts to launch different sessions
478,MDU6SXNzdWUyNTIwNzI1OTY=,76,startScreencast feature?
391,MDU6SXNzdWUyNTE0MzA0NTE=,74,can't run puppeteer in centos7
678,MDU6SXNzdWUyNTUwMzk0ODI=,72,Proxy for page
550,MDU6SXNzdWUyNTMwMjYxMTU=,71,raspberry pi Chromium revision is not downloaded
3120,MDU6SXNzdWUzNTI4NTQ2NjA=,62,Puppeteer slow execution on Cloud Functions
921,MDU6SXNzdWUyNjE4NDQyMDc=,57,userDataDir + headless = lost authorization
1183,MDU6SXNzdWUyNjkwMjk2OTk=,53,window inner size not equal to viewport size
1648,MDU6SXNzdWUyODQyMDY2OTc=,49,Having trouble with page.type not typing all characters
373,MDU6SXNzdWUyNTEyMjA0MTg=,49,Possibility for page numbers in PDF?
323,MDU6SXNzdWUyNTA4MjkxNDk=,49,Deploying on AWS Lambda
3471,MDU6SXNzdWUzNzU3MTM2MTA=,48,[umbrella] Fix Request Interception 
665,MDU6SXNzdWUyNTQ4MzE3Njc=,48,Different behavior between { headless: false } and { headless: true }
583,MDU6SXNzdWUyNTM0ODg1NDg=,45,Chromium crashes on barneys.com with different UA
3339,MDU6SXNzdWUzNjY0MTI3MTA=,44,Puppeteer not working when is not focused
982,MDU6SXNzdWUyNjM3NDQzMjc=,44,allow to pass a parameterized funciton as a string to page.evaluate
765,MDU6SXNzdWUyNTczMTI4MjI=,44,Headless Chromium with Puppeteer doesn't work on Amazon Linux AMI
1409,MDU6SXNzdWUyNzQ4NjA0NjA=,43,browser.newPage freezes
2946,MDU6SXNzdWUzNDM5NDU5MzQ=,40,Handling File Input Dialogs
537,MDU6SXNzdWUyNTI4MjkzNjU=,40,Handle XPath selectors
1837,MDU6SXNzdWUyODk1MjEyNTE=,39,Puppeteer doesn't run under WSL (Windows subsystem for Linux)
1825,MDU6SXNzdWUyODkyNDA2NTE=,38,Zombie Process problem.
728,MDU6SXNzdWUyNTY0MTMzNTI=,38,Page.setContent should wait for resources to be loaded
623,MDU6SXNzdWUyNTQwOTYwMzA=,37,"Seeing ""Error: not opened at WebSocket.send"" during simple usage"
2070,MDU6SXNzdWUyOTkxMDA1MTY=,36,--disable-infobars arg not working
1925,MDU6SXNzdWUyOTI4NjczNTA=,35,Lost UI Shared Context
1159,MDU6SXNzdWUyNjgzODg2NzM=,35,ignoreHTTPSErrors is not working when request interception is on
3238,MDU6SXNzdWUzNTk4NzAzNzY=,34,[Feature] Stop loading of page
858,MDU6SXNzdWUyNTk5Njg5NzM=,33,Query nodes within shadow roots
1054,MDU6SXNzdWUyNjU5Mzk5OTU=,32,Integrating coverage reports
477,MDU6SXNzdWUyNTIwNjEyMTg=,32,Incomplete screenshots for large pages (6000x6000px or more)
80,MDU6SXNzdWUyNDMwODIwNzM=,32,New project name
4390,MDU6SXNzdWU0NDA0Mjg1MDQ=,31,Page timeout due to script loading error/timeout
807,MDU6SXNzdWUyNTgzMDkyNTA=,31,Failed to launch chrome
4011,MDU6SXNzdWU0MTAzMDQxMTc=,30,Page.Content freezes without error after running 101 times
3463,MDU6SXNzdWUzNzUyMTMzNDc=,30,Blob URLs broken on Chrome 71 in headless mode
3422,MDU6SXNzdWUzNzExMzI3NDQ=,30,Failed to launch chrome
2119,MDU6SXNzdWUzMDEwMzQwNzg=,30,Feature request: run puppeteer in the browser
1229,MDU6SXNzdWUyNzAwNTM1NTQ=,30,Page with CSP breaks puppeteer
1047,MDU6SXNzdWUyNjU4MzQ4OTU=,30,Puppeteer spawns a runaway amount of Chromium instances
758,MDU6SXNzdWUyNTY5MTA3NjQ=,30,Issue with deploying puppeteer on heroku (with resolution)
659,MDU6SXNzdWUyNTQ4MjA2NzI=,30,Chrome extension is not loaded on headless browser
603,MDU6SXNzdWUyNTM4MTg4NzA=,30,Unable to deploy Puppeteer - Unzipped size must be smaller than 262144000 bytes. - AWS Lambda
2173,MDU6SXNzdWUzMDM5MzI0NDI=,29,"Failed to download Chromium r536395! Set ""PUPPETEER_SKIP_CHROMIUM_DOWNLOAD"" env variable to skip download."
1718,MDU6SXNzdWUyODU5MjAxMzA=,29,Puppeteer with headless:true is extremely slow
1478,MDU6SXNzdWUyNzcwOTcwODY=,29,Puppeteer to download file with Page.setDownloadBehavior
1345,MDU6SXNzdWUyNzI4NDI4OTI=,29,Puppeteer on docker crashes when loading pages in parallel
