Número da Issue,ID,Quant. comentários,Título
202,MDU6SXNzdWUzODQ2NzQzNQ==,386,Support some non-structural (nominal) type matching
185,MDU6SXNzdWUzODM3MTQzOA==,358,Suggestion: non-nullable type
33716,MDU6SXNzdWU1MDExNDcwMDc=,250,CI Status Thread
5453,MDU6SXNzdWUxMTQxMDA4MDg=,241,Proposal: Variadic Kinds -- Give specific types to variadic functions
4881,MDU6SXNzdWUxMDczNzU1NTE=,231,Request: Class Decorator Mutation
563,MDU6SXNzdWU0MTQ3OTIxNA==,224,Partial classes 
16,MDU6SXNzdWUzNzkwNjM1MQ==,205,"Suggestion: ""safe navigation operator"", i.e. x?.y"
16577,MDU6SXNzdWUyMzY0NjQ2MjY=,201,Provide a way to add the '.js' file extension to the end of module specifiers
1664,MDU6SXNzdWU1NDI3NjU0Mg==,188,Proposal: Async Functions
2000,MDU6SXNzdWU1NzE2MzcwMQ==,183,Support override keyword on class methods
13778,MDU6SXNzdWUyMDQyNzM4MzE=,175,Suggestion: option to include undefined in index signatures
1579,MDU6SXNzdWU1MzE1MTkyOA==,174,Suggestion: Add the nameof compile-time operator to convert property and function names into strings
9,MDU6SXNzdWUzNzkwMzM4Mw==,164,Suggestion: Extension methods
7426,MDU6SXNzdWUxMzkwOTc0NTk=,162,"[Request for feedback] Nullable types, `null` and `undefined`"
12936,MDU6SXNzdWUxOTU3MTY3MDI=,153,Exact Types
8,MDU6SXNzdWUzNzkwMzE0OA==,151,Suggestion: minification
9448,MDU6SXNzdWUxNjMyMjM4NjQ=,150,Ability to over power TS and ignore specific error by developer
6496,MDU6SXNzdWUxMjY4MDA1MjM=,147,Duplicate type declarations with npm link
3469,MDU6SXNzdWU4NzAzMTg0MQ==,147,"Support ""medium-sized"" projects"
6606,MDU6SXNzdWUxMjg0ODY4MDg=,146,Proposal: Get the type of any expression with typeof
5863,MDU6SXNzdWUxMTk4MDAwNDc=,142,"Polymorphic ""this"" for static members"
2249,MDU6SXNzdWU2MDE4NzYzNQ==,139,Decorators
247,MDU6SXNzdWUzODczNTIzNQ==,138,Support looking for modules under node_modules when importing
10844,MDU6SXNzdWUxNzYyMDkyMzY=,136,the typeclass model offers superior extensibility
5039,MDU6SXNzdWUxMDkxNDMzMjQ=,133,Path mappings based module resolution
12,MDU6SXNzdWUzNzkwNDYwNQ==,132,Suggestion: read-only modifier
9950,MDU6SXNzdWUxNjc1ODcxMzc=,129,Implement private fields proposal
1213,MDU6SXNzdWU0OTQzNjc0Mw==,129,Allow classes to be parametric in other parametric classes
13219,MDU6SXNzdWUxOTgwNDcxODg=,127,Suggestion: `throws` clause and typed catch clause
1206,MDU6SXNzdWU0OTMyMTE5NQ==,123,Allow enums of types other than number
296,MDU6SXNzdWUzODk3NjQ1Ng==,122,Alternative syntax for type assertions to allow XML-like syntax extensions
9999,MDU6SXNzdWUxNjc5OTUzNjM=,120,allow narrowing from any
8306,MDU6SXNzdWUxNTExMzM0MjM=,119,Support final classes (non-subclassable)
6579,MDU6SXNzdWUxMjgyNjQ5MDY=,117,Suggestion: Regex-validated string type
8518,MDU6SXNzdWUxNTM2NzM5MzY=,114,Invalid module name in augmentation
7204,MDU6SXNzdWUxMzU5MTE2NzI=,113,Can't edit files in Visual Studio after installing 1.8.4 On Update 2 CTP
1927,MDU6SXNzdWU1NjU2MzY1MQ==,108,support globs in tsconfig.json files property (or just file/directory exclusions)
2873,MDU6SXNzdWU3MDIyMTYwNQ==,107,Proposal for generators design
2338,MDU6SXNzdWU2MDk5MTU0MQ==,107,External module resolution logic
2521,MDU6SXNzdWU2NDY0OTQwMQ==,104,Suggestion: allow get/set accessors to be of different types
18442,MDU6SXNzdWUyNTc0NTQxMzI=,103,Support `.mjs` output
29288,MDU6SXNzdWUzOTY2MDEyMzI=,102,TypeScript Roadmap: January - June 2019
10195,MDU6SXNzdWUxNjk4MDY3Mjc=,102,Syntax for hinting literal type inference
14600,MDU6SXNzdWUyMTM1NjY0NjI=,98,Suggestion: Add abstract static methods in classes and static methods in interfaces
6012,MDU6SXNzdWUxMjEyMTA3NjY=,96,automatic module resolution for JPSM packages
2103,MDU6SXNzdWU1ODQ3NTg2Mw==,96,Support proposed ES Rest/Spread properties
25600,MDU6SXNzdWUzNDA1MzA1MTQ=,95,tsc --build / Project References Feedback & Discussion
14565,MDU6SXNzdWUyMTMxNjg0NzE=,95,Duplicate identifier error for d.ts files in Visual Studio 2017
14538,MDU6SXNzdWUyMTI3MjA5NTI=,93,"Error ""Cannot write file ... because it would overwrite input file."""
1573,MDU6SXNzdWU1MzA5NTA3Mw==,93,Runtime type checking
