Número da Issue,ID,Quant. comentários,Título
34,MDU6SXNzdWUxMDk3MTU0MDc=,0,Student Profile
42,MDU6SXNzdWUxMDk3MjM0NDE=,0,blank
49,MDU6SXNzdWUxMDk3MzM2NTQ=,0,OSS Computer Science Student
66,MDU6SXNzdWUxMDk3OTE0NzY=,0,Rob
73,MDU6SXNzdWUxMDk4MTM5NDg=,0,me
74,MDU6SXNzdWUxMDk4MTg5NjE=,0,djraimondi
75,MDU6SXNzdWUxMDk4MTkxMDk=,0,David Wong
78,MDU6SXNzdWUxMDk4MjQzOTQ=,0,title  
80,MDU6SXNzdWUxMDk4NDQyMzU=,0,c
82,MDU6SXNzdWUxMDk4NjA1MTE=,0,Student
83,MDU6SXNzdWUxMDk4NzQxNjI=,0,Student Profile
91,MDU6SXNzdWUxMTAwMDY2ODE=,0,OSS Student
102,MDU6SXNzdWUxMTAxOTk5MDc=,0,ngangatimothy
115,MDU6SXNzdWUxMTAzNzU2ODA=,0,ngangatimothy
116,MDU6SXNzdWUxMTAzNzU4Nzc=,0,ngangatimothy
117,MDU6SXNzdWUxMTAzNzYxNDQ=,0,ngangatimothy
123,MDU6SXNzdWUxMTA1NzQ4MTQ=,0,Ignore
125,MDU6SXNzdWUxMTA3MjUzNzc=,0, .
136,MDU6SXNzdWUxMTA4NTY2NTU=,0,Enrollment
142,MDU6SXNzdWUxMTA4NzU0NDY=,0,computer-science
143,MDU6SXNzdWUxMTA4NzgzOTE=,0,Students Profile #2
144,MDU6SXNzdWUxMTA4Nzg1MzA=,0,Enroll 
146,MDU6SXNzdWUxMTA5Nzg3MzQ=,0,Profile
149,MDU6SXNzdWUxMTEwODgzMjY=,0,Lucy Xu
155,MDU6SXNzdWUxMTEyMjMxNjI=,0,Becoming an OSS student
156,MDU6SXNzdWUxMTEyNTI3MTA=,0,Registration
158,MDU6SXNzdWUxMTEyOTQ2NDU=,0,Chris Moon
160,MDU6SXNzdWUxMTEzMDI4MTc=,0,steelbear
162,MDU6SXNzdWUxMTEzMDk5ODE=,0,Kathy Park 
163,MDU6SXNzdWUxMTEzMTA1OTM=,0,join student
164,MDU6SXNzdWUxMTEzNTU1NjQ=,0,Kathy Park
168,MDU6SXNzdWUxMTE1ODM5NDY=,0,Min Thet Naing
170,MDU6SXNzdWUxMTE2NzkxNjA=,0,cs 
171,MDU6SXNzdWUxMTE4MzAyNzA=,0,In this for the long run !
185,MDU6SXNzdWUxMTI2ODMwODc=,0,Student Profile
191,MDU6SXNzdWUxMTMyODc0Njc=,0,Students Profiles #4
194,MDU6SXNzdWUxMTM1MDAxODI=,0,Zach Alsgaard
203,MDU6SXNzdWUxMTQ5NzM4MzY=,0,s
215,MDU6SXNzdWUxMTY2ODQ2NDg=,0,profile
218,MDU6SXNzdWUxMTc2NDEwMTc=,0,David Norman Registration
220,MDU6SXNzdWUxMTgyMDQ4MTU=,0,Students Profiles
221,MDU6SXNzdWUxMTgyOTg0Nzg=,0,Add extra resources
235,MDU6SXNzdWUxMjI5OTgyODA=,0,Validate pull requests with Travis
236,MDU6SXNzdWUxMjMwNzI5NjU=,0,KEY-UNG KIM
237,MDU6SXNzdWUxMjMxNzk5OTE=,0,Ben V Profile
239,MDU6SXNzdWUxMjQxNDM0Mjc=,0,student profile
240,MDU6SXNzdWUxMjQyMDE0Nzc=,0,Profile
241,MDU6SXNzdWUxMjQ2Mzk1NjQ=,0,OSS
244,MDU6SXNzdWUxMjUwOTEyMzg=,0,Students Profiles #5 #206
248,MDU6SXNzdWUxMjU3NjUzMTY=,0,Enrolling Classes
