Número da Issue,ID,Quant. comentários,Título
31,MDU6SXNzdWUxMDk3MDU1MDU=,683,Students Profiles
206,MDU6SXNzdWUxMTU1NDMzMTI=,521,Students Profiles #5
145,MDU6SXNzdWUxMTA5MjcwOTk=,267,Students Profiles #3
180,MDU6SXNzdWUxMTI0MTI5ODE=,264,Students Profiles #4
109,MDU6SXNzdWUxMTAyODkwODg=,260,Students Profiles #2
259,MDU6SXNzdWUxMzM3MzEyNTI=,140,Students Profiles #6
81,MDU6SXNzdWUxMDk4NDUxNjg=,119,Profiles as files vs profile as comment in thread
253,MDU6SXNzdWUxMjc0NDY5MDA=,70,What happend to Eric Douglas?
418,MDU6SXNzdWUyNDY1NDc5MzU=,45,Suggestions for OSSU improvement
265,MDU6SXNzdWUxMzg3OTE0NTQ=,39,Suggestion: External website with curriculum and keeping track of MOOCs completed.
466,MDU6SXNzdWUzMDUxMzM0MTM=,38,Firebaseapp is outdated and causing confusion
664,MDU6SXNzdWU1NzUyNDA0Mzc=,32,Flesh Out Data Structures & Algorithms
589,MDU6SXNzdWU0ODM2Nzg2ODM=,30,Request for Comment: Intro to Programming Courses
540,MDU6SXNzdWUzODQ1MjczNTI=,30,Choosing the introductory course(s) and language
112,MDU6SXNzdWUxMTAzMjAyMDM=,28,Google Groups vs Forum Solutions
586,MDU6SXNzdWU0ODE4MTQzNTI=,27,edX change
495,MDU6SXNzdWUzNTIxMjE5NjI=,26,Discourse forum
387,MDU6SXNzdWUyMDY0NTg5MDM=,25,OSSU v7.0 - suggestions
480,MDU6SXNzdWUzMjQ2NDUzNDY=,24,UBCx: HtC2x How to Code: Complex Data - cost 9 dollars
569,MDU6SXNzdWU0MjMzNjQ2MTk=,23,Change of policy for edx.org
645,MDU6SXNzdWU1NTg2NzI0MDI=,22,Replace Courses: Lagunita Platform is closing.
99,MDU6SXNzdWUxMTAxNzA2Mzc=,22,Add difficulty/workload columnt to each course
465,MDU6SXNzdWUzMDExMjg0MjY=,20,OSU Calculus Courses to End in September 2018
336,MDU6SXNzdWUxNjM4ODcyNTc=,20,"Hi, OSSU participators, I've ever made a Chinese version of our guide"
553,MDU6SXNzdWUzOTQ1NTYwNjE=,17,Software Construction in v9 draft
440,MDU6SXNzdWUyODAwMTIzNTE=,17,Introductory Courses
588,MDU6SXNzdWU0ODMxODk2NjE=,15,Request for Comment: Replacing How to Code
581,MDU6SXNzdWU0NjU3ODc3MDg=,15,"How to Code series, audit course will be no longer existing!"
531,MDU6SXNzdWUzNzc5Nzk5ODM=,15,"Create new top-level section ""Foundations"" for housing non-CS prerequisites?"
690,MDU6SXNzdWU1OTQ0NjA1ODI=,14,RFC: Hack The Kernel
488,MDU6SXNzdWUzNDIxMDg3MzM=,14,"""Reliable Distributed Systems, Part 1"" Not disponible"
313,MDU6SXNzdWUxNTAyMzIwMzI=,14,Paid Coursera Courses
544,MDU6SXNzdWUzODg5MzY5NDk=,13,How To Code: Simple Data thoughts and observations
463,MDU6SXNzdWUzMDAxNTgxMDI=,13,CS50 2018 - Dynamic Programming - should it be optional?
437,MDU6SXNzdWUyNzMxMzQyMjQ=,13,Discrete mathematics and calculus from Core math section.
385,MDU6SXNzdWUyMDI1ODY3NTQ=,13,Problems/suggestions with some courses
148,MDU6SXNzdWUxMTEwODQ1NTA=,13,Community Building Ideas and Discussions
487,MDU6SXNzdWUzNDEyNTk5Mjk=,12,"""Introduction to Computer Science and Programming using Python"" unavailable"
449,MDU6SXNzdWUyODY4MTAxOTE=,12,"Replacement for ""Intro to Parallel Programming"""
637,MDU6SXNzdWU1NTUyMDU2Njk=,11,Request For Comment: Reduce Math Requirements
636,MDU6SXNzdWU1NTQxNzQ2Mzg=,11,Request for Comment: Removing/Replacing Software Construction
520,MDU6SXNzdWUzNzQ3NTE1MjE=,11,Alternative to Introduction to Computer Networking on Langunita
438,MDU6SXNzdWUyNzM2NTc3NzQ=,11,Math prerequisites
407,MDU6SXNzdWUyMjkyMTc5MTc=,11,Algorithms courses appear to be trial only
271,MDU6SXNzdWUxNDE1NDMzODI=,11,OSSU 2.0
104,MDU6SXNzdWUxMTAyMDU4MjI=,11,Mathematics for Computer Science
684,MDU6SXNzdWU1ODk3OTg3MDE=,10,Software Engineering requires Software Construction
552,MDU6SXNzdWUzOTE4NTM2Mjc=,10,All EdX courses are now limited
549,MDU6SXNzdWUzOTA5MDg1NzI=,10,Alternative needed ! Software Engineering :Introduction 
530,MDU6SXNzdWUzNzc2MDI5MzI=,10,Add Stanford CS101?
