Número da Issue,ID,Quant. comentários,Título
2182,MDU6SXNzdWUxNjIzNzk0NjA=,0,antd1.6.1DatePicker 
6135,MDU6SXNzdWUyMjg2MTc1MzU=,0,Mentionfocus
6449,MDU6SXNzdWUyMzUyMTc1MjY=,0,Default Table sort order
6484,MDU6SXNzdWUyMzYwOTc1NDc=,0,Tooltip on collapse sider menu
6548,MDU6SXNzdWUyMzcxNzkyMTg=,0,fix disabled dropdown submenu style error
6575,MDU6SXNzdWUyMzc3MzY4NTY=,0,Warning: Unknown prop `prefixCls` on XXXX tag
6618,MDU6SXNzdWUyMzg2MjEzNDE=,0,Form Item `extra` and `help` have inconsistent line height
6641,MDU6SXNzdWUyMzkwNzQzODE=,0,IE10 TreeSelect.TreeNode is undefined.
6709,MDU6SXNzdWUyNDAyMjE4MzY=,0,Support thai language
6812,MDU6SXNzdWUyNDI1Njc2Nzg=,0,New Component Divider
6842,MDU6SXNzdWUyNDMwMTg4NTU=,0,Add Less variable for Sider trigger background
6918,MDU6SXNzdWUyNDQ4MTYyNzc=,0,Inconsistent style for disabled TimePicker
6926,MDU6SXNzdWUyNDQ4NDg3Mzk=,0,`getDefaultTarget()` may throw Error
6934,MDU6SXNzdWUyNDQ5NTEyMjU=,0,Clarify the documentation about the recommended value for `gutter` of Row
6988,MDU6SXNzdWUyNDYyODMyNTI=,0,Invalid prop `multiple` supplied to `Tree` in TreeSelect
7001,MDU6SXNzdWUyNDY1MTU4MTI=,0,Change to standard font-size (14px) caused padding to not aligned
7020,MDU6SXNzdWUyNDY2MzEwNzU=,0,missing spinning style when load data in TreeSelect
7117,MDU6SXNzdWUyNDgzMTU0Njg=,0,InputNumber border bottom not showing
7135,MDU6SXNzdWUyNDg2Njg5ODU=,0,Broken Password input with 2.12.4  in Safari
7316,MDU6SXNzdWUyNTI1Mzk3NjA=,0,[Bug Report] Table: when delete a row in editable table with pagination
7320,MDU6SXNzdWUyNTI2NTg0Mjk=,0,RangePicker with defaultValues in same month
7409,MDU6SXNzdWUyNTQzODQ1NzE=,0,The title won't hidden when i fold the Sider
7495,MDU6SXNzdWUyNTU1MTY0ODE=,0,Pagination - size changer - invalid markup
7531,MDU6SXNzdWUyNTYzNzMwNzM=,0,LESS Modify Vars for @link-hover-decoration not working
7532,MDU6SXNzdWUyNTY0MTE3NTg=,0,"Typings should support attributes like ""className"", ""id""... in index.d.ts"
7552,MDU6SXNzdWUyNTY1Mjg2MzM=,0,"TypeScript interface GetFieldDecoratorOptions has not property normalize, described in docs."
7585,MDU6SXNzdWUyNTc0NTc3MDI=,0,"No way to specify <a download=""newName""/> attribute in Upload List?"
7604,MDU6SXNzdWUyNTc4MTkyNTU=,0,Broken style for Card extra
7751,MDU6SXNzdWUyNjA5MDA1NDQ=,0,type cap Tabs
7820,MDU6SXNzdWUyNjMzNzg2NTQ=,0,onRowContextMenu prop
7821,MDU6SXNzdWUyNjM1MjM4NDU=,0,@link-hover-decoration not applied to <a> tag on hover or active
7832,MDU6SXNzdWUyNjM4MzkyODg=,0,Wrong typing of notification component ArgsProps type
7833,MDU6SXNzdWUyNjM4NTgzMzg=,0,"Upload Component , data wasn't correct called when prop beforeUpload returned a Promise"
7854,MDU6SXNzdWUyNjQ0Mzc3ODY=,0,Search input icon and hasFeedback Icon
7930,MDU6SXNzdWUyNjY1MzYxMjM=,0,Typo erros
7969,MDU6SXNzdWUyNjc0NDI0MTE=,0,Table row checkbox and radio have different position
8071,MDU6SXNzdWUyNjk4NjU3NTg=,0,"In the table component using the default filter, change the selected, click on the blank and click [OK] button, both can trigger the table onChange event, can not distinguish"
8088,MDU6SXNzdWUyNzAzNDcyMzc=,0,Programatically show Cascader popup with `popupVisible`
8158,MDU6SXNzdWUyNzI3MDE2NTU=,0,Missing Pattern Form page in English version web site
8164,MDU6SXNzdWUyNzMwMDU0OTU=,0,Allow to set [status] of Badge with Children
8168,MDU6SXNzdWUyNzMxNTA5MzU=,0,Add Ukrainian localization
8184,MDU6SXNzdWUyNzMzNDQyMjc=,0,Why not MonthPicker renderExtraFooter
8245,MDU6SXNzdWUyNzUyOTg0ODk=,0,Table's pagination style is covered in antd@3.0.0-rc.1 by babel-plugin-import
8248,MDU6SXNzdWUyNzUzNDUwNDU=,0,[3.0.0] Dropdown/Submenu is currently broken
8279,MDU6SXNzdWUyNzU5NTcwNjA=,0,"spin components need to add  the ""style"" property?"
8338,MDU6SXNzdWUyNzcwNTQyNTA=,0,v2-compatible-reset.less wasn't found when running npm start in antd-3.0
8420,MDU6SXNzdWUyNzg4NjI4MTA=,0,confirm asynchronous with render
8512,MDU6SXNzdWUyODAzNzQ0NDU=,0,The Palette Generation Tool provided different colors from Color Palettes above
8606,MDU6SXNzdWUyODE5NjYyNzQ=,0,Unexpected scrollbar in Affix
8620,MDU6SXNzdWUyODIyNzEyNzM=,0,Breakpoints in Layout are incorrect
