Número da Issue,ID,Quant. comentários,Título
13848,MDU6SXNzdWUzOTM5NTc5MDc=,1097,  Ant Design 
477,MDU6SXNzdWUxMTUwNDI3NjA=,254,Ant Design Users 
12011,MDU6SXNzdWUzNTYzNDgyNjc=,220,Svg icons make bunlde size too large
13098,MDU6SXNzdWUzNzk3NzkwMzU=,187, Christmas easter egg 
16911,MDU6SXNzdWU0NTA4MjUwMjk=,181, Ant Design 4.0 is in progress!
13830,MDU6SXNzdWUzOTM5NTA2NjA=,176,Remove Festival themes Please
1471,MDU6SXNzdWUxNDk5ODE3NTc=,138,Document Translation
13819,MDU6SXNzdWUzOTM5NDI4NTM=,121,
9792,MDU6SXNzdWUzMDgyMzU5OTk=,103,Migrate to new lifecycle methods
129,MDU6SXNzdWUxMDA5NDY2Nzc=,90, Demo and Scaffold from communication
4331,MDU6SXNzdWUxOTcwNDU4Nzg=,89,Global CSS included with component CSS import
2423,MDU6SXNzdWUxNjYwODczMTk=,84,Upload file.status is always being uploading
13871,MDU6SXNzdWUzOTM5ODEzOTM=,80,
3789,MDU6SXNzdWUxODg0NjUzMDU=,80,Long list optimization
5710,MDU6SXNzdWUyMjA4Nzk3NDk=,78,No way to show aggregation statistics data in table
13857,MDU6SXNzdWUzOTM5Njc2NjU=,74,Ant Design 
21656,MDU6SXNzdWU1NzI0NTU1NjM=,72, Ant Design 4.0 is out!
5570,MDU6SXNzdWUyMTgxNDcwNDk=,65,antd@3.0
13849,MDU6SXNzdWUzOTM5NTkxNjY=,63, About the Christmas egg and workaround
5910,MDU6SXNzdWUyMjQzNTQ3OTc=,63,
13895,MDU6SXNzdWUzOTQwMTQzMDk=,62,code review 
4853,MDU6SXNzdWUyMDczOTg1OTg=,61,A List of `antd`'s components that cannot work with HOC
20661,MDU6SXNzdWU1NDUyMzg2ODI=,60,Ant Design 4.0 RC released!
10431,MDU6SXNzdWUzMjE0MTEyOTY=,53,table/select/checkbox   
21543,MDU6SXNzdWU1Njk0OTgyMzE=,49,Instance created by `useForm` is not connect to any Form element. Forget to pass `form` prop? 
5186,MDU6SXNzdWUyMTIwNjc2ODU=,48,ant design tree nodetree
8880,MDU6SXNzdWUyODY5NjU5MjA=,47,You cannot set field before registering it when set the value to  dynamic form item
8662,MDU6SXNzdWUyODMxNTY2ODI=,47,DatePicker 
1846,MDU6SXNzdWUxNTY2OTk2Mzg=,47,rewrite in typescript
650,MDU6SXNzdWUxMjE0MTc5ODY=,47,npm run dev
7895,MDU6SXNzdWUyNjU2Mzg5NDM=,46,The official site can not be reached.
3222,MDU6SXNzdWUxODAwMDM2OTk=,46,Add Collaborator permission for some active contributors?
4051,MDU6SXNzdWUxOTIyMDg3NDQ=,43,RTL support all pages and components?
13972,MDU6SXNzdWUzOTQzNjk0Nzg=,41,UploadbeforeUploadfalse
13825,MDU6SXNzdWUzOTM5NDU3Mzc=,41, Table align broken when cell contains long number or long word after 3.11.3
9807,MDU6SXNzdWUzMDg0MzI3ODE=,41,TreeSelect checked
9,MDU6SXNzdWU4NjAyNDI5MQ==,41,
5678,MDU6SXNzdWUyMjA0NDM0MTY=,40,Component deprecation warning due to React upgrading to v15.5.0
4941,MDU6SXNzdWUyMDg3MTc5NTQ=,40,Git commit very slow
2857,MDU6SXNzdWUxNzM0MzY2OTM=,40,select optionnumber/integer
13448,MDU6SXNzdWUzODc1ODE0MzA=,39,dropdownRender render
22493,MDU6SXNzdWU1ODU3MTE3Mjg=,38,"Using <Button> results in ""findDOMNode is deprecated in StrictMode"" warning"
20481,MDU6SXNzdWU1NDI3MTc2MzE=,38,4.0 Form.Item chilren 
17051,MDU6SXNzdWU0NTQ2NzIzMjA=,37,bordered  #16950  
7927,MDU6SXNzdWUyNjY0NDMzMzQ=,37,"import the antd theme, webpack build show .bezierEasingMixin error ?"
5377,MDU6SXNzdWUyMTUxNzcwNTA=,37,Support React 16
4905,MDU6SXNzdWUyMDgwNTgzOTM=,36,List Component
1083,MDU6SXNzdWUxMzY2MDQ4OTE=,36,Editor
5171,MDU6SXNzdWUyMTE5NTc4Mjg=,35, react-starter-kit 
5155,MDU6SXNzdWUyMTE2MjE0ODU=,35,why we always need `callback()` in validator function at Form component?  rules  validator  callback()
