Número da Issue,ID,Quant. comentários,Título
190,MDU6SXNzdWU5OTUxMDI1NA==,36,The tool to make the class diagrams should be IDE independent
1021,MDU6SXNzdWU1MDk0NzA4MzM=,28,Checkstyle reports warnings
197,MDU6SXNzdWU5OTk2Nzk1Mg==,26,Accepting presentations for the design patterns
508,MDU6SXNzdWUxODQyNDI1ODA=,23,SonarQube reports code smells
984,MDU6SXNzdWU1MDYxOTM1NjQ=,22,Java 11 support: Start using var
56,MDU6SXNzdWU4MTk0NjUwOA==,22,Better View/Navigation ?
987,MDU6SXNzdWU1MDYxOTg1OTM=,20,Java 11 support: Utilize new methods
224,MDU6SXNzdWUxMDIzNzM5MjA=,20,Reformat existing code using Google Style Guide
562,MDU6SXNzdWUyMTg2ODE4ODI=,18,Spatial Partition pattern
34,MDU6SXNzdWU2MzQwODcyNw==,18,Data Mapper Pattern
496,MDU6SXNzdWUxNzkxMDM0NTk=,17,Pipeline pattern
338,MDU6SXNzdWUxMjQ2MTQ1NDg=,17,Website Improvements
184,MDU6SXNzdWU5ODQ3MTA1Mw==,17,Fluent Interface pattern
450,MDU6SXNzdWUxNjM1Mjc1MTU=,16,Queue-Based Load Leveling pattern
255,MDU6SXNzdWUxMDg0NTIzMTU=,16,Setup Travis to deploy site to S3 after each successful build
574,MDU6SXNzdWUyMjY1OTQ4MDU=,15,Translate to PT-BR
552,MDU6SXNzdWUyMTg2ODE2NDI=,15,Update Method pattern
466,MDU6SXNzdWUxNjYyNzc5MTI=,15,Monitor Object pattern
348,MDU6SXNzdWUxMjcwMTYwOTg=,15,Data Transfer Object pattern
226,MDU6SXNzdWUxMDIzNzcyMDk=,15,Move pattern specific references to respective pattern page
179,MDU6SXNzdWU5NzkzNzI3MQ==,14,Leader/Followers pattern
105,MDU6SXNzdWU5NjU0MDQxMg==,14,CQRS pattern
596,MDU6SXNzdWUyNDAwOTI5MzE=,13,Maven hangs during `mvn clean install` for reactor pattern
592,MDU6SXNzdWUyMzUxMTg5ODM=,13,Effective Dating
591,MDU6SXNzdWUyMzUwNzIxNzA=,13,Java 9 support
296,MDU6SXNzdWUxMTgyNDg3MDg=,13,Microservices architectural pattern
892,MDU6SXNzdWU0NjI2ODQwNzQ=,12,Kappa Architecture - Where Everything Is A Stream
602,MDU6SXNzdWUyNDUzNTI4MDE=,12,Simplify Multiton implementation
551,MDU6SXNzdWUyMTg2ODE2MTE=,12,Game Loop pattern
525,MDU6SXNzdWUxOTI4ODk0NTk=,12,Attach tutorial links to patterns
449,MDU6SXNzdWUxNjM1Mjc0ODQ=,12,Priority Queue pattern
351,MDU6SXNzdWUxMjcwMTcxNTk=,12,Plugin pattern
564,MDU6SXNzdWUyMjA0NTQzNDI=,11,Collection Pipeline pattern
556,MDU6SXNzdWUyMTg2ODE3NDI=,11,Component pattern
549,MDU6SXNzdWUyMTcwNzIwNTM=,11,"""Aggregator microservices""  design pattern doesn't show exception handling "
451,MDU6SXNzdWUxNjM1Mjc1Mzg=,11,Retry pattern
418,MDU6SXNzdWUxNDYzODIxMTI=,11,Thread-local singleton
248,MDU6SXNzdWUxMDYxNTUwMzE=,11,Setup domain name and attach it to Github pages
203,MDU6SXNzdWUxMDA0NDM3ODE=,11,Finite State Machine pattern
187,MDU6SXNzdWU5OTAwNjkzNA==,11,More Singleton wisdom
761,MDU6SXNzdWUzMzUxNTY0ODk=,10,ThreadSafeDoubleCheckLocking.java: Instantiating by Reflection call will be successful if you do that firstly
560,MDU6SXNzdWUyMTg2ODE4MjQ=,10,Dirty Flag pattern
511,MDU6SXNzdWUxODQ2OTg1NDA=,10,SAM pattern
481,MDU6SXNzdWUxNjk3NjY3OTM=,10,Change landing page directly to /patterns/
413,MDU6SXNzdWUxNDQ4NTYzMzE=,10,Circuit Breaker pattern
403,MDU6SXNzdWUxNDEyNTg3MTA=,10,Promises
352,MDU6SXNzdWUxMjcwMTc0OTM=,10,Unit of Work pattern
298,MDU6SXNzdWUxMTgyNjA0NDI=,10,Java Design Patterns blog
208,MDU6SXNzdWUxMDA5ODkyMDY=,10,Document design principles | SOLID | YAGNI
82,MDU6SXNzdWU5MDQ2ODQxMw==,10,Pipes And Filters (EIP)
