Número da Issue,ID,Quant. comentários,Título
955,MDU6SXNzdWU0MzI4NDk4NDY=,0,free money
1025,MDU6SXNzdWU1MDQ3Mjk0OTI=,0,I am not being able to use the dropdown function in Bootstrap HTML 4 in Brackets
1039,MDU6SXNzdWU1MTQzNzI1Mzg=,0,The judgment that equals should add NaN is perfect
1082,MDU6SXNzdWU1NTg1MzE5MDU=,0,30 seconds of code User Demographics survey
1084,MDU6SXNzdWU1NjE4NzUzNjI=,0,luhnCheck is incorrect
1104,MDU6SXNzdWU1Nzk1NjcwMTI=,0,I throwing your discussion on every aspect of cyberspace and information technology
1105,MDU6SXNzdWU1Nzk2NDEyMDk=,0,Beginner but want to learn
1116,MDU6SXNzdWU1OTI0MTI2MTE=,0,javaScript nest method bug - ( has example demo )
1125,MDU6SXNzdWU1OTcyNTE0NjY=,0,Deprecate archive
1128,MDU6SXNzdWU1OTgwMjc4NzI=,0,#Disat Aku Tersakiti
1129,MDU6SXNzdWU1OTgwNjcyMDA=,0,#Tak kan pisah
1139,MDU6SXNzdWU2MDI5Nzg1NDg=,0,https://www.30secondsofcode.org/js/s/deep-map-keys/
1141,MDU6SXNzdWU2MTExMTY2MzE=,0,Created an app with JSONs available 
76,MDU6SXNzdWUyODE4MTM3Mjg=,1,Quicksort
185,MDU6SXNzdWUyODI2MTY5MjY=,1,Update filter-out-non-unique-values-in-an-array.md to be more performant
223,MDU6SXNzdWUyODI3MDg3NTc=,1,extendHex not working properly
327,MDU6SXNzdWUyODQyNzE4MzM=,1,[BUG][WEB] Last category doesn't disappear if empty
626,MDU6SXNzdWUzMDIxNzA1NDg=,1,[BUG] `sortedIndex `
760,MDU6SXNzdWUzNjUyMDAyMzA=,1,[BUG] `deepClone` should deal with `null`
769,MDU6SXNzdWUzNjU3NjczODc=,1,Add demo gif to README
799,MDU6SXNzdWUzNjY1MzIyOTU=,1,Warnings caused by deprecated calls in atob and btoa
804,MDU6SXNzdWUzNjY5MjU4MTA=,1,"allEqual.test.js should test for arrays with different type items such as [1, '1', true]"
854,MDU6SXNzdWUzNzE3NDA2MjE=,1,Da
856,MDU6SXNzdWUzNzE4MjM2Njc=,1,5 d
872,MDU6SXNzdWUzNzcxNjM1NjY=,1,bankimg
895,MDU6SXNzdWUzOTA5ODA2NTM=,1,...
896,MDU6SXNzdWUzOTA5ODA3ODY=,1,....
897,MDU6SXNzdWUzOTA5ODA4ODI=,1,Mmm
965,MDU6SXNzdWU0NDg1MjUzNTE=,1,I want to learn to code but do not know where to begin.
984,MDU6SXNzdWU0NTUzNjE1NDU=,1,Simplifying maxDate and minDate functions
1038,MDU6SXNzdWU1MTIzMjAxNTU=,1,[Suggestion] Revert example &  snippet
1044,MDU6SXNzdWU1MjM1Mzg1NDI=,1,I need an offline USSD code
1071,MDU6SXNzdWU1NDc1NzAwNzg=,1,"""remove"" (for JS arrays) updated version"
1076,MDU6SXNzdWU1NTE5NTU2ODU=,1,Joining Organisation
1094,MDU6SXNzdWU1NzMwMDI4Mjc=,1,Improvements in the efficiency of the GCD algorithm for javascript
1097,MDU6SXNzdWU1NzQ4NDE5ODg=,1,Add Data Structure and Algorithms 
1098,MDU6SXNzdWU1NzU2MzQ0OTE=,1,AutoComplete Algorithm for Search Bar
1100,MDU6SXNzdWU1NzcyNjY3MDI=,1,support typescript
1103,MDU6SXNzdWU1NzczODcxMzQ=,1,Looks like `p-side_a` and `p-side_c` is not defined in heronArea.md file
1107,MDU6SXNzdWU1ODEzNDczNDk=,1,Why md files are rendered as html in React applications
1127,MDU6SXNzdWU1OTc2NzM0NjU=,1,Web accessibility development
1130,MDU6SXNzdWU1OTgwNzE4MzQ=,1,#suka sama kamu
1137,MDU6SXNzdWU2MDE2NTk3NTQ=,1,VSCode PluginAny idea about TypeScript support?
1140,MDU6SXNzdWU2MTEwMDU0NTg=,1,Created an app with JSONs available
57,MDU6SXNzdWUyODE2NjU5NDE=,2,Promisify snippet
58,MDU6SXNzdWUyODE2NzcxNjk=,2,Tail
111,MDU6SXNzdWUyODIwNjUwNzE=,2,New `is*` snippets need to convert to boolean
163,MDU6SXNzdWUyODI0MzA3MzU=,2,Deep flatten array
179,MDU6SXNzdWUyODI2MTE4NzQ=,2,Why Array.reduce() is needed in Array remove when we can get the same result using just Array.filter()? 
195,MDU6SXNzdWUyODI2NDQyNTM=,2,Array#remove is slow and description is not very clear.
