Número da Issue,ID,Quant. comentários,Título
78,MDU6SXNzdWUyODE4MzE3OTQ=,51,Snippet tests
295,MDU6SXNzdWUyODM5MjY2NDQ=,37,"[SUGGESTION] Array, xValues Generalizations "
538,MDU6SXNzdWUyODgyMjU4ODI=,34,Date Manipulating/Formatting Functions
100,MDU6SXNzdWUyODIwMDk4MDc=,33,Elect Lodash Methods To Demystify ~ Log
473,MDU6SXNzdWUyODU2NjM2MzI=,32,To Binary Tree or Not to Tree
233,MDU6SXNzdWUyODI3OTM4MjU=,31,Snippet restructuring
690,MDU6SXNzdWUzNDE2MzMwMjU=,30,[MAJOR FEATURE] Glossary
829,MDU6SXNzdWUzNjkyNjM1NDQ=,25,arrayToHtmlList update
15,MDU6SXNzdWUyODEyOTIxMzg=,25,Enforcing a coding standard
526,MDU6SXNzdWUyODc1Mjk0ODc=,23,Test ~ Log
159,MDU6SXNzdWUyODI0MTAyOTI=,22,Categorization
745,MDU6SXNzdWUzNjE3MzA1NTg=,21,[BUG] Navigation by menu
947,MDU6SXNzdWU0MzAwMjkwNDc=,20,objectToPairs
41,MDU6SXNzdWUyODE0NjAxODk=,19,Validate number: use only isFinite?
640,MDU6SXNzdWUzMTAzNDI3MzI=,17,[FEATURE] Add beginner category
747,MDU6SXNzdWUzNjI5MjcwNDg=,16,[FEATURE] Random snippet of the day
525,MDU6SXNzdWUyODc1MjAxNjQ=,16,Testing
901,MDU6SXNzdWUzOTM4NTQ4NzM=,15,isEmpty will be invalid for Set and Map
647,MDU6SXNzdWUzMTMxMDg5NDI=,15,[GUIDELINES] Order of Decleration Change to Contribution Guidelines
145,MDU6SXNzdWUyODIyOTI1ODY=,15,Value or default
816,MDU6SXNzdWUzNjc5MDExMzE=,14,[SCRIPTS] Major changes coming to all scripts
228,MDU6SXNzdWUyODI3MjE1MTQ=,14,Website functionality
191,MDU6SXNzdWUyODI2NDA2Mjk=,14,JSON to Date
1056,MDU6SXNzdWU1MzcwMTYwMjA=,13,Add 30-seconds-of-Julia
665,MDU6SXNzdWUzMjI2NDU4NTM=,12,deepClone don't clone Array correctly
146,MDU6SXNzdWUyODIzMTM0NjI=,12,Shallow clone
139,MDU6SXNzdWUyODIyNTE0MTY=,12,Naming Convention or Naming Guide 
108,MDU6SXNzdWUyODIwNTA0NDA=,12,Array Concatenation
722,MDU6SXNzdWUzNTQ0MDgwNzk=,11,[FEATURE] Integration for VS Code
374,MDU6SXNzdWUyODQ5MTI5NzU=,11,[BUG] Copy to clipboard
247,MDU6SXNzdWUyODMwODE1OTM=,11,Translations (Chinese)
907,MDU6SXNzdWUzOTc4OTY1NTA=,10,Why hashNode return sha256 hex in next tick?
739,MDU6SXNzdWUzNTg3ODUwMDM=,10,[FEATURE] 30 seconds of code - React snippets
523,MDU6SXNzdWUyODczOTk2MDQ=,10,[BUG] toEnglishDate not working
156,MDU6SXNzdWUyODIzNjIwMzg=,10,Factorial of negative numbers
935,MDU6SXNzdWU0MjA4Njk5OTg=,9,isNumber is wrong for NaN
915,MDU6SXNzdWU0MDU2NzIxMTU=,9,getURLParameters can be wrote in this way
593,MDU6SXNzdWUyOTUwMDk0MDI=,9,why mapObject function use closure
352,MDU6SXNzdWUyODQ0MDA2MjA=,9,[FEATURE] Array sort function 
269,MDU6SXNzdWUyODM0NjkwMTA=,9,[DECISION] Should we allow Anonymous Closures in Lambdas?
160,MDU6SXNzdWUyODI0MTI0NDQ=,9,Digitize (variadic)
72,MDU6SXNzdWUyODE3Njg3NjE=,9,Curry
866,MDU6SXNzdWUzNzU1NDQ3NDE=,8,Failed to minify the code from this file ./node_modules/30-seconds-of-code/dist/_30s.esm.js:2
795,MDU6SXNzdWUzNjY0MDI4Nzc=,8,alternative getType
759,MDU6SXNzdWUzNjUxNzIyMDc=,8,Snippets in UltiSnips format
686,MDU6SXNzdWUzMzYzMzgwMjI=,8,[FEATURE] JSONToCSV snippet
608,MDU6SXNzdWUyOTc2NzI5MzI=,8,[FEATURE] Super simple app to browse snippets
601,MDU6SXNzdWUyOTU3OTc3MDI=,8,advanced zipWith
569,MDU6SXNzdWUyOTE1NDExOTM=,8,[FEATURE] Internationalization
346,MDU6SXNzdWUyODQzNjg0MTM=,8,[SUGGESTION] Use Prettier?
