Número da Issue,ID,Quant. comentários,Título
1,MDU6SXNzdWUzODkwMjk2MjM=,11, 
7,MDU6SXNzdWUzOTQ3NjI3MTM=,3,LeetCode
68,MDU6SXNzdWU2MDY4NDc1NjI=,2,How to make animations
32,MDU6SXNzdWU0OTI1OTQ0MDI=,2,
27,MDU6SXNzdWU0NTM5ODU3MjY=,2,146..
19,MDU6SXNzdWU0NDIwMTY5Njg=,2,19
5,MDU6SXNzdWUzOTIzOTQwODc=,2,145 
46,MDU6SXNzdWU1OTM4MjU1MTc=,1,
45,MDU6SXNzdWU1ODgyNDMxMDc=,1,",."
42,MDU6SXNzdWU1NjU3MjYyNDc=,1,LeetCode 19:NFori<ni<n+1
41,MDU6SXNzdWU1NDY2NjcyMzQ=,1,
40,MDU6SXNzdWU1NDU1MDUxMjU=,1,
38,MDU6SXNzdWU1NDA2ODgxMTM=,1,
36,MDU6SXNzdWU1MjIzMTQ3MzA=,1,203 
35,MDU6SXNzdWU1MTgxODIzMDE=,1,md 
33,MDU6SXNzdWU0OTYyNDkwNDg=,1,LeetCode  187  DNA 
30,MDU6SXNzdWU0Nzk1NTM3ODA=,1,
23,MDU6SXNzdWU0NDQ0NTA1NDE=,1,877
22,MDU6SXNzdWU0NDM5MjIxMjM=,1,121 123 markdown
21,MDU6SXNzdWU0NDI2NDczNTg=,1,leetcode
20,MDU6SXNzdWU0NDI1MTYwNjI=,1,LeetCode1
17,MDU6SXNzdWU0MzU5OTQ2MDM=,1,144. 
15,MDU6SXNzdWU0MTczNjQxNzY=,1,Any plan to develop an app?
14,MDU6SXNzdWU0MTMzMTMyMDg=,1,
13,MDU6SXNzdWU0MTIzNDA1ODg=,1,026-
12,MDU6SXNzdWU0MDE3OTg3OTE=,1,
6,MDU6SXNzdWUzOTQwNzIzNzI=,1,~
2,MDU6SXNzdWUzODk1Nzc2OTQ=,1,README  344 
44,MDU6SXNzdWU1Nzk3MzY5MzQ=,0,  while(gap < arr.length /3) 
43,MDU6SXNzdWU1Nzc3MzM4ODI=,0,//
39,MDU6SXNzdWU1NDQxMDE1NjA=,0,
4,MDU6SXNzdWUzOTIwNTUwNjU=,0,ee
