Número da Issue,ID,Quant. comentários,Título
75,MDU6SXNzdWUxMjg2Njg3ODk=,0,Submit it to the main awesome list?
293,MDU6SXNzdWUxNjMzMjY2NzE=,0,-
859,MDU6SXNzdWUyMDc4NzE5ODc=,0,merging bug
880,MDU6SXNzdWUyMDg3NjI5MTk=,0,Remove recommendation for VSCode's syntax highlighting plugin
1224,MDU6SXNzdWUyMzY5MTM3ODg=,0,Request: v-localize | Internationalization
1393,MDU6SXNzdWUyNTIxNTM3NTk=,0,need i commit the readme?or add my component to the list?
1411,MDU6SXNzdWUyNTM5MzQzODM=,0,router-link  bug
1657,MDU6SXNzdWUyNzM3MjIxOTE=,0,Add vue-mce
1779,MDU6SXNzdWUyODU2NzQxNjc=,0,
1862,MDU6SXNzdWUyOTM4Mjc5NzA=,0,Is it possible to integrate a nodeJS in an electron?
2287,MDU6SXNzdWUzNDIyMjE5MDg=,0,vuex
2366,MDU6SXNzdWUzNTQxODc4MTI=,0,
2584,MDU6SXNzdWUzODk1NTczMzQ=,0,@membersmembers
2706,MDU6SXNzdWU0MTQ0MTc4MTk=,0,Add vuex-declaration
2768,MDU6SXNzdWU0MjYzMTM2NTg=,0,"Hey guys, can anyone recommend lib rich editor for me which support drop multiple image in once? I find in vue-awesome but not proper... Many thanks"
2777,MDU6SXNzdWU0MjkwNjU3ODk=,0,"hi, Is there a plug-in to select a time zone?"
2813,MDU6SXNzdWU0Mzk3MjIxNzc=,0,add vue-visibility-trigger
2872,MDU6SXNzdWU0NTczMTAwOTI=,0,Add vue-tabs-chrome
2946,MDU6SXNzdWU0ODM3MDIxMzk=,0,vue-bootstrap-datetimepicker has been archived
3146,MDU6SXNzdWU1NTA3MzI0MzQ=,0,Add vuedts
3161,MDU6SXNzdWU1NjA2NTc2ODc=,0,Add vue-meeting-selector
3226,MDU6SXNzdWU1NzkyODE5NTQ=,0,added Mockup server
3252,MDU6SXNzdWU1ODY0OTU4Njc=,0,vue-pull-to is no longer supported
3294,MDU6SXNzdWU2MDI4MDkyOTM=,0,pseudo-element
3308,MDU6SXNzdWU2MDgwNDUxNjQ=,0,Showing all checks have failed even with same template structure
3,MDU6SXNzdWUxMTIzNjg2NzQ=,1,Vue russian's tutorials
74,MDU6SXNzdWUxMjg0Nzg0NTg=,1,Another Vue.js UI Components
85,MDU6SXNzdWUxMzEzODI4OTE=,1,Validate Links
86,MDU6SXNzdWUxMzEzODg0Mjg=,1,[Youtube Video Tutorial Series]One Page App With Drupal 8 and Vue.js
121,MDU6SXNzdWUxMzkzNzAyMzg=,1,"Add Screencasts in ""README.md"" for VueJS in Spanish ;-)"
161,MDU6SXNzdWUxNDc3Mjc5Mzg=,1,
163,MDU6SXNzdWUxNDgwMDQwOTM=,1,vue-dui
180,MDU6SXNzdWUxNTEzMjQwNTU=,1,visibility of component collections
300,MDU6SXNzdWUxNjQxMzQzNTQ=,1,Grid from parsing strings in examples (feature request)
320,MDU6SXNzdWUxNjU4MzczNTg=,1,Squash listings under same brand
431,MDU6SXNzdWUxNzYzMTY5MTQ=,1,A typo in vue-freeze description
562,MDU6SXNzdWUxODY0ODE5OTA=,1,About the components
600,MDU6SXNzdWUxODkzNTc1NTI=,1,Support for Google analytics
615,MDU6SXNzdWUxOTExNTUyOTE=,1,Change IntelliJ IDEA / WebStorm Syntax Highlighting Link
676,MDU6SXNzdWUxOTQ5MjEyMzY=,1,please change the colour of the sunglasses on the logo
756,MDU6SXNzdWUyMDA3Nzk2Nzk=,1,boilerplate for testing vue(1.x) and typescript
879,MDU6SXNzdWUyMDg3NDA2Nzc=,1,vue-ui no longer maintained since 0.x version
942,MDU6SXNzdWUyMTQyNzE1MzQ=,1,'vue-barcode' not added yet
976,MDU6SXNzdWUyMTY1NjgzNzE=,1,v-bar - A virtual scrollbar component for VueJS 2x 
1115,MDU6SXNzdWUyMjY0Nzc5NzM=,1,Vue scrumboard
1165,MDU6SXNzdWUyMzE4ODQ1NDM=,1,Utility vbuild no longer available project is updated
1288,MDU6SXNzdWUyNDMyMjgxOTQ=,1,Seperate file Readme.md to self categorized
1389,MDU6SXNzdWUyNTE1NzE3Nzg=,1,Can I use Chinese editor?
1462,MDU6SXNzdWUyNTgyMjM1MzE=,1,Vue 2 course in Spanish (Styde)
1477,MDU6SXNzdWUyNTg5MzY4MTc=,1,Is there a cleaner way to consume JWT API?
