Número da Issue,ID,Quant. comentários,Título
836,MDU6SXNzdWUyMDU5NjMzMzk=,33,Improving Awesome Vue.js
3080,MDU6SXNzdWU1Mjc2MjQyNjg=,29,Add more maintainers
2144,MDU6SXNzdWUzMjUwMTkwOTE=,19,Any good wysiwyg editor using vue guys?
387,MDU6SXNzdWUxNzM0MjY2MzA=,15,2.0 ready
936,MDU6SXNzdWUyMTM5MjE4MDk=,14,VueJS Version Badge
2149,MDU6SXNzdWUzMjU2MjQ0NzE=,10,GDPR Compliance Cookie Consent Manager
335,MDU6SXNzdWUxNjcyNjIxMzI=,9,quality differs wide
2586,MDU6SXNzdWUzODk2OTY1OTE=,6,Inaccessible component libraries
2564,MDU6SXNzdWUzODQ1NDU0MTQ=,6,"For better experience, add stars and date of last release or version"
2432,MDU6SXNzdWUzNjU5NjQ0NjA=,5,Refactoring awesome-vue structure?
1700,MDU6SXNzdWUyNzcxNjYwNTI=,5,webpack: Failed to compile. Does Vue need Python 2.7 to build?
1184,MDU6SXNzdWUyMzM4MTcwODU=,5,Question: Parse mBaaS Integration
261,MDU6SXNzdWUxNjAxMzAxMTE=,5,Link is dead.
3023,MDU6SXNzdWU1MDY0NzczMzI=,4,404
2469,MDU6SXNzdWUzNzAwODY0NjQ=,4,Is your website mining coins?
1769,MDU6SXNzdWUyODUwOTkyODg=,4,vue
1381,MDU6SXNzdWUyNTA5MzEzMDg=,4,Can we provide links for paid products?
598,MDU6SXNzdWUxODkxODUwODY=,4,Auto github stars bot?
3253,MDU6SXNzdWU1ODY4MTM1NTg=,3,
2466,MDU6SXNzdWUzNjk4MjU3Njk=,3,all Coligo.io links broken
2177,MDU6SXNzdWUzMjkyNTgwODU=,3,Any good social networks auth package other than vue-authenticate?
2156,MDU6SXNzdWUzMjc2NzQ3ODM=,3,Add vue-svgicon
1940,MDU6SXNzdWUzMDI1NzY5NzU=,3,Add a xdraggable as a drag and drop library
1884,MDU6SXNzdWUyOTYwMzQzNDE=,3,Add vue-moment ?
1853,MDU6SXNzdWUyOTIyMzU5NDY=,3,Add bages or even reformat list to table with availability sorting.
1647,MDU6SXNzdWUyNzIyMjQ2MDM=,3,Add getlessons.com
1322,MDU6SXNzdWUyNDU3NjgzNjg=,3,Add REAM
1244,MDU6SXNzdWUyMzk3ODkxMTY=,3,Plugin was removed ( require-vuejs )
1156,MDU6SXNzdWUyMzE1MjE0NTg=,3,vueslack link is not working
1098,MDU6SXNzdWUyMjUyNDU4MzI=,3,Suggestion: Add Vue-loop
704,MDU6SXNzdWUxOTc0NDg0MzI=,3,How to implement any awesome-vue in laravel 5.3?
662,MDU6SXNzdWUxOTM4NTc4ODI=,3,Anything related to interactive data visualizations to be found?
545,MDU6SXNzdWUxODU3MDIxNzQ=,3,Where to suggest new stuff to be shown on this repo's readme ?
439,MDU6SXNzdWUxNzc2NTE1NDk=,3,Add Quasar Framework to the list
3323,MDU6SXNzdWU2MTI4OTY1OTI=,2,GitHub Actions failing for awesome-vue since the beginning?
3245,MDU6SXNzdWU1ODQ5MDE4OTg=,2,Add vue-route-props
3104,MDU6SXNzdWU1MzY4ODcyODM=,2,Add Rapido
3102,MDU6SXNzdWU1MzYzODQxMDc=,2,Add vue-search-panel
2887,MDU6SXNzdWU0NjMwNTg5MTA=,2,Add vue-menu-aim
2820,MDU6SXNzdWU0NDExNDM5MzM=,2,Add bem-vue package
2725,MDU6SXNzdWU0MTc0MzI2MjA=,2,[ ADD ] LazyDrive Written in Vue.js and Node.js to manage media file with api endpoint. 
2619,MDU6SXNzdWUzOTQ3Njk5ODM=,2, optimize-vue-cli
2511,MDU6SXNzdWUzNzYyNjM2ODg=,2,add vue-wow
2359,MDU6SXNzdWUzNTM4NzM3ODI=,2,Is there a way to view by date added?
2292,MDU6SXNzdWUzNDI5MTY1ODk=,2,Link not work
2275,MDU6SXNzdWUzNDExOTUyODQ=,2,Make it clear what is for older versions of Vue
2135,MDU6SXNzdWUzMjQ0NDkxNjE=,2,Add vue-cloneya
2076,MDU6SXNzdWUzMTgzMzAyOTU=,2,Add vue-shared
1962,MDU6SXNzdWUzMDUwNDcyOTI=,2," Reclassify the list by VUE's version, now it classify by function.  VUE      "
1745,MDU6SXNzdWUyODMwMTQ1ODU=,2,Add AutoTube - the all in one youtube player that you never knew you needed
