Número da Issue,ID,Quant. comentários,Título
8658,MDU6SXNzdWUxMDQ3NTA3ODA=,0,"Windows ""Open with Atom"" context menu shortcut for files and directories is broken for paths with spaces"
13148,MDU6SXNzdWUxODc0NjI2MjA=,0,Failed to remove '/usr/local/bin/atom'
13444,MDU6SXNzdWUxOTU0Njk2Njk=,0,RPM build does not respect existing RPM setup with custom topdir
13491,MDU6SXNzdWUxOTcxNTI3NDI=,0,Replacing project folder from CLI in open atom editor window
13708,MDU6SXNzdWUyMDM4MjIyNTQ=,0,Key combination doesn't show up in the menu -> `alt-shift-n`
13969,MDU6SXNzdWUyMTMyMTA5MDc=,0,Should use name of symlink for determining file type (or have an option).
14465,MDU6SXNzdWUyMjk1MTM3OTM=,0,`Dock.destroy()` leaves part of the UI of the Dock behind and then exceptions happen
14864,MDU6SXNzdWUyMzc1Njc2MTQ=,0,Feature request: add select-current-paragraph
15248,MDU6SXNzdWUyNDk1MDY0Mzk=,0,WTF
15585,MDU6SXNzdWUyNTYwMTUxMzQ=,0,Scrollbar moves to the top when splitting panes
15793,MDU6SXNzdWUyNjIyMzU5MjQ=,0,Atom does not remember last-opened state if a spec window is closed last
15830,MDU6SXNzdWUyNjMyOTE4MTc=,0,[BUG] Fix resize behaviour when soft wrapping is enabled
17992,MDU6SXNzdWUzNTc3OTk0MTI=,0,Close icon re-appears after drag-dropping a tab
18141,MDU6SXNzdWUzNjQ5NjU2MjA=,0,Fails to report error when stacktrace includes core JavaScript API
18179,MDU6SXNzdWUzNjYwMjIyNzc=,0,"Dalek reports: ""<unknown> is deprecated"" issues"
18272,MDU6SXNzdWUzNzIwNTkwMzQ=,0,Migrate core package 'timecop' into Atom repo
18273,MDU6SXNzdWUzNzIxNDI3NDc=,0,Migrate core package 'bookmarks' into Atom repo
18274,MDU6SXNzdWUzNzIxNDI3NTE=,0,Migrate core package 'image-view' into Atom repo
18275,MDU6SXNzdWUzNzIxNDI3NTQ=,0,Migrate core package 'keybinding-resolver' into Atom repo
18276,MDU6SXNzdWUzNzIxNDI3NTg=,0,Migrate core package 'metrics' into Atom repo
18277,MDU6SXNzdWUzNzIxNDI3NjU=,0,Migrate core package 'notifications' into Atom repo
18278,MDU6SXNzdWUzNzIxNDI3NzI=,0,Migrate core package 'open-on-github' into Atom repo
18279,MDU6SXNzdWUzNzIxNDI3Nzc=,0,Migrate core package 'package-generator' into Atom repo
18282,MDU6SXNzdWUzNzIxNDI3ODc=,0,Migrate core package 'status-bar' into Atom repo
18283,MDU6SXNzdWUzNzIxNDI3OTA=,0,Migrate core package 'styleguide' into Atom repo
18286,MDU6SXNzdWUzNzIxNDI3OTk=,0,Migrate core package 'wrap-guide' into Atom repo
18604,MDU6SXNzdWUzOTI4NzYxNzY=,0,Merge with Visual Studio Code
19294,MDU6SXNzdWU0NDIyOTM1NTg=,0,Atom environment accessible from the main process
19310,MDU6SXNzdWU0NDMwNTc3NjI=,0,Reopen Project in safe/dev mode opens existing project in normal window
19326,MDU6SXNzdWU0NDM2MDQ4Mzc=,0,We should reuse the electron-link cache between builds on Azure DevOps
19474,MDU6SXNzdWU0NTM4NjAzNDc=,0,[Feature] Ctrl + Left / Right for CJK words / 
19499,MDU6SXNzdWU0NTUwMzY5Njg=,0,libdbus-1.so.3: no version information available
19860,MDU6SXNzdWU0ODc4MjkyNTM=,0,HTML Tree-sitter not being picked
19990,MDU6SXNzdWU1MDE2NjQ0NTI=,0,Solarized dark js files are off with the original solarized dark spec
20056,MDU6SXNzdWU1MTE4MjY2NDg=,0,Difference between being ready for usage and what timecop says
20059,MDU6SXNzdWU1MTIwNzY3NDQ=,0,Uncaught TypeError: Cannot read property 'text' of null
20063,MDU6SXNzdWU1MTIxODY3NzI=,0,Uncaught Error: The module '/usr/share/atom/resources/app.asar.unpacked/node_modules/@atom/fuzzy-...
20082,MDU6SXNzdWU1MTM3MTc3NDI=,0,"Uncaught Error: tunneling socket could not be established, cause=connect ETIMEDOUT 197.98.201.13:..."
20083,MDU6SXNzdWU1MTM5Njk2ODI=,0,Uncaught Error: dlopen(/private/var/folders/bw/56_pv5vn1rdchd9585kr4dmc0000gn/T/AppTranslocation/...
20111,MDU6SXNzdWU1MTY5MzUxMzI=,0,One part of the interface to avoid so much confusion and this repeated question.
20112,MDU6SXNzdWU1MTcwNTA2MzQ=,0,Uncaught Error: Cannot call function 'getPosition' on missing remote object 36
20117,MDU6SXNzdWU1MTc3NjQ3NTk=,0,no progress bar / status bar for 3rd party package installation
20135,MDU6SXNzdWU1MjA1NzI0MjQ=,0,Atom silently fails to start up when incorrect path given on command line
20147,MDU6SXNzdWU1MjI4MTAxMDk=,0,Append scopes instead of overriding them in tree-sitter grammars
20148,MDU6SXNzdWU1MjMzNjkyMjE=,0,Atom 1.41.0 does not open windows on macOS 10.14
20151,MDU6SXNzdWU1MjM5MDQ1MDI=,0,Uncaught Error: Cannot call function 'getPosition' on missing remote object 46
20168,MDU6SXNzdWU1MjU5ODUwNjE=,0,Atom 1.41 not showing images in Markdown Preview
20175,MDU6SXNzdWU1Mjc2MTIwMzk=,0,Uncaught Error: Cannot call function 'setTouchBar' on missing remote object 5916
20178,MDU6SXNzdWU1Mjg0MTM1ODE=,0,"Uncaught Error: ENOENT: no such file or directory, lstat '~/eclipse-workspace\COMP2140\src\CashLi..."
20183,MDU6SXNzdWU1Mjg5MDk4NjQ=,0,Uncaught Error: Cannot call function 'getPosition' on missing remote object 2475
