Número da Issue,ID,Quant. comentários,Título
25,MDU6SXNzdWUzMjgwMTQ5MTQ=,514,
2473,MDU6SXNzdWU0NTM2MzExODg=,78,1.0
203,MDU6SXNzdWUzMzA0MDIzOTE=,70,import with absolute path?
47,MDU6SXNzdWUzMjgwODk4ODI=,65,Maybe need a package management tool
1456,MDU6SXNzdWUzOTU3MDgyMjQ=,50,Wanted: serverless deno configuration
4069,MDU6SXNzdWU1NjkxMTM1Njc=,48,New cache layout broke VS code plugin
1047,MDU6SXNzdWUzNzIyNzA4NTQ=,47,help wanted: Web APIs' implementation
1639,MDU6SXNzdWU0MDU2NDIzMjM=,46,Sandbox mode for external scripts
1120,MDU6SXNzdWUzNzU1OTExMDk=,42,support chome devtools
4574,MDU6SXNzdWU1OTIyODU3MDQ=,41,"Module versioning, dependency management, and more ..."
3324,MDU6SXNzdWU1MjE4NDYyMTY=,38,User libraries should be strict by default if written in TypeScript
471,MDU6SXNzdWUzNDg0MDI0NDQ=,36,Support top-level await
986,MDU6SXNzdWUzNjk4NjIzNDE=,34,"""deno compile"" into executable"
650,MDU6SXNzdWUzNTYxMjQ4Nzc=,34,"Define the ""self"" global name"
3196,MDU6SXNzdWU1MTIxNzk0MTc=,33,"As a library author, how do I dual publish to both node and deno?"
195,MDU6SXNzdWUzMzAzMzUxNDc=,33,Load module directly from a URL is very cute
2475,MDU6SXNzdWU0NTM3NTQ4Mzk=,31,Bundling V2
205,MDU6SXNzdWUzMzA0NDQ2NjE=,31,Suggestion:  Look into porting to Rust and using Tokio
2123,MDU6SXNzdWU0MzM1MjM1Mjc=,30,Arguments array - should the program name be included?
1397,MDU6SXNzdWUzOTM2Mzg4OTE=,30,Discussion: Use of NPM modules within deno
200,MDU6SXNzdWUzMzAzNzcxMDY=,30,Subresource integrity for modules
4772,MDU6SXNzdWU2MDA3NzMzNDI=,28,Exiting the REPL should be `.exit` instead of `exit`
3179,MDU6SXNzdWU1MTAzNTExNDk=,28,proposal: support a comprehensive meta-data file
2057,MDU6SXNzdWU0Mjk1OTA4OTc=,28,Rewrite deno_dir.rs
199,MDU6SXNzdWUzMzAzNTY3NTU=,27,thoughts on http* API
2934,MDU6SXNzdWU0OTI5MDA3NjE=,26,Reconsider the API for declaration files
1432,MDU6SXNzdWUzOTQ5Mjk0NzE=,26,Support d.ts files
11,MDU6SXNzdWUzMjc0MzA4MjY=,26,Deno vs Node.js
5154,MDU6SXNzdWU2MTQ4MTIwNzQ=,25,[Discussion] Add a Code of Conduct for 1.0 release
4800,MDU6SXNzdWU2MDI0MDU3OTc=,25,q: how can this be a typescript runtime when typescript is first compiled to javascript ?
1205,MDU6SXNzdWUzODE3MjQ3OTM=,25,Update req/sec benchmark with actual comparisons
2490,MDU6SXNzdWU0NTQyMjM4NjA=,24,deno fmt is slow
1657,MDU6SXNzdWU0MDU5NzIwODI=,24,Implement localStorage
1286,MDU6SXNzdWUzODgwNzk1NDY=,24,"Add a variable or func to get the path of the current script, like __dirname in Node.js"
269,MDU6SXNzdWUzMzM1MTUwNDM=,24,Protobuf seems like a lot of overhead for this use case?
51,MDU6SXNzdWUzMjgxMTU1ODU=,24,Custom tsconfig.json
3401,MDU6SXNzdWU1Mjc3NTMwMTU=,23,Permissionless static relative imports are dangerous
3089,MDU6SXNzdWU1MDQxNjgzODk=,23,Compile error when code contains export declaration-like string
3998,MDU6SXNzdWU1NjUyMjk1MDk=,22,[Feature Request] worker with global `Deno` API 
2767,MDU6SXNzdWU0Nzk4MTk5Mzk=,22,Remove --no-prompt ... require users to explicitly prompt for permission
2301,MDU6SXNzdWU0NDEwMjE3NTM=,22,an error occurred trying to connect: invalid certificate: UnknownIssuer
1856,MDU6SXNzdWU0MTU2ODg0NDU=,22,FS glob pattern
5214,MDU6SXNzdWU2MTU0NjA2MjM=,21,Multiple Versions on a System
3160,MDU6SXNzdWU1MDk1Mzc4OTg=,21,dialTLS Conn.read() stops resolving after writing to connection from promise resolution
1486,MDU6SXNzdWUzOTcyNzEzNzc=,21,Install deno with homebrew
4501,MDU6SXNzdWU1ODkyMDM0MjM=,20,inspector should support source maps
3635,MDU6SXNzdWU1NDc1ODYwOTU=,20,snapshot testing
3550,MDU6SXNzdWU1NDIzMzM3MjE=,20,Deno should support gzipped and (or) git repo dependencies fetch
3153,MDU6SXNzdWU1MDk0OTExNzQ=,20,Can't build master
2069,MDU6SXNzdWU0MzAxNDUwMzQ=,20,Rename Deno into deno
