Número da Issue,ID,Quant. comentários,Título
571,MDU6SXNzdWU0ODU4MzI=,0,problem about getting field: _id
777,MDU6SXNzdWU2Njc5Nzc=,0,Conflicts in put mapping only reported for properties field
843,MDU6SXNzdWU3NDU3MDM=,0,"JMX: Don't use node id and name as part of the jmx registration, use static org.elasticsearch"
845,MDU6SXNzdWU3NTEwMzE=,0,Better handling of shard failures
846,MDU6SXNzdWU3NTEyOTI=,0,Optimize API: Don't execute concurrent optimize operations (shard level) on the same node
848,MDU6SXNzdWU3NTUzOTc=,0,Better handling when a shard hits OOM
850,MDU6SXNzdWU3NjA3NTg=,0,River: Failure to reallocate river to another node on rivers node failure
853,MDU6SXNzdWU3NjQwMzU=,0,Local Gateway: Listed active shards on each node does apply index deletion
854,MDU6SXNzdWU3NjY2NDI=,0,EC2 Zen Discovery: Automatically use the configured transport port to ping other nodes
855,MDU6SXNzdWU3NjY3MDE=,0,Unicast Discovery: Concurrently connect to nodes to improve cases where some listed nodes are not up
856,MDU6SXNzdWU3Njg0OTg=,0,Query DSL: Geo Distance Range filter
857,MDU6SXNzdWU3Njg1MTA=,0,Query DSL: Allow to directly wrap a query with a constant_score query
858,MDU6SXNzdWU3Njg2NDQ=,0,Shard Allocation: Closed indices are not properly taken into account when rebalancing
859,MDU6SXNzdWU3NzAwOTQ=,0,Allow to delete a closed index
862,MDU6SXNzdWU3NzgzMDM=,0,Versioning: Better handling of deletes - time based eviction
863,MDU6SXNzdWU3ODA5NTE=,0,Mapping: Allow to set index to `no` for _id and _type
864,MDU6SXNzdWU3ODc4Njk=,0,Weird error message on syntax error
866,MDU6SXNzdWU3OTExMTA=,0,"Better support with _type is marked as not indexed, allowing to filter by type"
868,MDU6SXNzdWU3OTEzOTU=,0,"Mapping: By default, don't index _id"
869,MDU6SXNzdWU3OTE2ODU=,0,Failure to recover a shard might cause loosing translog data (especially with no replicas)
871,MDU6SXNzdWU3OTY1ODg=,0,Simplify Filter Cache Eviction Settings
874,MDU6SXNzdWU3OTgzODc=,0,Update Settings: Allow to dynamically set filter cache settings
875,MDU6SXNzdWU3OTg5NDE=,0,Search request intermittent failures with has_child query/filter
878,MDU6SXNzdWU4MDUwNzA=,0,Unexpected failure to create a shard can lead to data loss if it has no replicas
880,MDU6SXNzdWU4MDk4MDI=,0,(Small) optimization to has_child filter
884,MDU6SXNzdWU4MTU2OTI=,0,Query DSL: Allow to set boost on has_child query
888,MDU6SXNzdWU4MjQyMjc=,0,Search API: filter element should not be applied to global facets
889,MDU6SXNzdWU4MjQ0ODU=,0,Search: Optimize (perf) execution of global facets
892,MDU6SXNzdWU4MzAyMTE=,0,And/Or Filter: Possible failure when inner filter does not match any docs
902,MDU6SXNzdWU4NDk1OTI=,0,Possible failure to start a river after cluster restart
903,MDU6SXNzdWU4NDk4MzU=,0,Failure when applying failed shards during local gateway allocation
906,MDU6SXNzdWU4NTI4OTA=,0,Simplified Disable Flush operation
907,MDU6SXNzdWU4NTMxOTc=,0,Query DSL: Fuzzy query support for numeric / date types
908,MDU6SXNzdWU4NTQ2MzM=,0,Analysis: Expose light and minimal language token filters
909,MDU6SXNzdWU4NTU5NTk=,0,Analysis: Stop words config to allow for automatic _lang_ expansion
919,MDU6SXNzdWU4Njg0NTA=,0,Analysis: All analysis components that accept stopwords to allow to load stopwords from a file
920,MDU6SXNzdWU4NzMxMDI=,0,Mapping: Document's Field level boosting 
923,MDU6SXNzdWU4NzkxNjc=,0,Possible failure when using TransportClient (with sniffing)
928,MDU6SXNzdWU4OTIwMjA=,0,Analysis: Pattern Tokenizer
929,MDU6SXNzdWU4OTQ0MzY=,0,Mapping: dynamic templates of object type do not initialize some mapping data structures (like analyzers lookup)
930,MDU6SXNzdWU4OTQ1MDA=,0,Analysis: Add elision token filter
932,MDU6SXNzdWU5MDI0MTA=,0,wrong type returned by date_histogram
937,MDU6SXNzdWU5MTU4NjQ=,0,"Analysis: Regression (0.16.1), Camel cased filters / tokenizers failed to load in custom analyzer"
938,MDU6SXNzdWU5MTYyNjQ=,0,Search: Empty facets element causes search failures
941,MDU6SXNzdWU5MjA4NjM=,0,Upgrade to jackson 1.8.1
942,MDU6SXNzdWU5MjExOTg=,0,Analysis: Phonetic filter to support `cologne` encoder
946,MDU6SXNzdWU5MjYzNjM=,0,Filter Cache: `soft` filter cache can cause bad memory behavior
950,MDU6SXNzdWU5MzE1OTk=,0,IBM J9 failure to serialize nodes info
952,MDU6SXNzdWU5MzI0MDA=,0,Scripting: Optimize to native script execution when using just `doc.score`
953,MDU6SXNzdWU5MzI4ODE=,0,"NPE when using ""not"" filter"
