Número da Issue,ID,Quant. comentários,Título
2366,MDU6SXNzdWU0NTEwNDc5NDM=,104,6PC
2756,MDU6SXNzdWU1NDUzNjY0MTQ=,94,Discuss infrastructure improvements for the next major release
32,MDU6SXNzdWU0ODE2ODM3OQ==,77,Data Corruption
293,MDU6SXNzdWUxMDE1MDY0MTc=,74,AppData & temp & 
247,MDU6SXNzdWU5ODA2MDk5Ng==,71, failed to recv data in handshakeReceive2Callback
1746,MDU6SXNzdWUzMDU2Mjg4NjM=,65,4.0.9 ReleaseWin10trojan:win32/critet.bs
244,MDU6SXNzdWU5Nzg2MDM2Nw==,60,2.5.1
1256,MDU6SXNzdWUyNDQ2ODA0NDc=,57,SS
814,MDU6SXNzdWUxODQ0OTMxMDE=,57,Windows101495x
2732,MDU6SXNzdWU1Mzc5OTc1NDE=,56,SS
1774,MDU6SXNzdWUzMDg4MDI0MDA=,50,Shadowsocks-4.0.9
1647,MDU6SXNzdWUyOTIxMDg2MTg=,50,ssr  
1502,MDU6SXNzdWUyNzA5MzE0MTc=,50,win10wifi
1577,MDU6SXNzdWUyODI2NzcwNjU=,49,ss_privoxy.exe CPU
2151,MDU6SXNzdWUzOTgxMzk3NDM=,46,windows
2279,MDU6SXNzdWU0MjIwNTMzNDY=,45,win10Edge
1791,MDU6SXNzdWUzMTA0MDM3Njc=,45,windows10 64bit 1709   IEchromeFirefox
2100,MDU6SXNzdWUzODg3MzkwMTQ=,44,
1679,MDU6SXNzdWUyOTc2NzQxMjk=,44,Shadowsocks-4.0.8 Win10  DLLlibcrypto-1_1.dll: 
1621,MDU6SXNzdWUyODY3MzAwMTA=,43,windows10 64bit 17094.0.7
2200,MDU6SXNzdWU0MDkxMTE1Nzg=,42,wifipc
234,MDU6SXNzdWU5NzIyNzQxNQ==,42,Win7 64ss
851,MDU6SXNzdWUxODY0NDEwNjI=,40,
461,MDU6SXNzdWUxMzc4MzA0MDQ=,39,win7 64shadowsocks 3.0Shadowsocks 
1979,MDU6SXNzdWUzNTIxMDM2ODQ=,38,Windows 10 RS5 PAC  pacjsworker.exe 
1943,MDU6SXNzdWUzNDU2ODYzNzg=,38,PCPC
1489,MDU6SXNzdWUyNjkzMDIyMTU=,38,windows
2841,MDU6SXNzdWU1OTE2MzYwMjg=,37,4.1.9.3 autostart issue
2766,MDU6SXNzdWU1NDc4ODk4NTY=,37,4.1.9.2
1297,MDU6SXNzdWUyNDgxNzM3OTI=,37,shadowsocks
419,MDU6SXNzdWUxMjYzMzg4NTk=,37,SS
2373,MDU6SXNzdWU0NTEzNjg1NDI=,36,wifiSSPC
2027,MDU6SXNzdWUzNjUzMDcwOTg=,36,Error query options: 12178 (null)
1650,MDU6SXNzdWUyOTIzMTkxOTc=,36,
2467,MDU6SXNzdWU0Njg2NTAwMDc=,34,
2294,MDU6SXNzdWU0MjYzODk0NDk=,34,win10PPPOEpac
2058,MDU6SXNzdWUzNzQ2NDYxMzI=,34,PC 
1997,MDU6SXNzdWUzNTcwNDc1MDE=,34,youtubequora
2408,MDU6SXNzdWU0NTYyMzc1ODg=,33,
2162,MDU6SXNzdWUzOTk3OTU2NDA=,33,
1898,MDU6SXNzdWUzMzQ0MDE3NzI=,33,System.Reflection.TargetInvocationException: 
942,MDU6SXNzdWUxOTU0MjM4NDg=,32,SS
1969,MDU6SXNzdWUzNTE3ODQ3OTM=,31,SIP003
1881,MDU6SXNzdWUzMzA5NTIxNzE=,31,shadowsocks-windows UDP
318,MDU6SXNzdWUxMDczMzM5MzQ=,31,2.5.7 ?
488,MDU6SXNzdWUxMzg4NzA4NDI=,30,XP3.0
439,MDU6SXNzdWUxMzE4NTU2Mzg=,30,PAC
2462,MDU6SXNzdWU0NjgyNDYyNzY=,29,proxifier
2117,MDU6SXNzdWUzODkxNzg1MzM=,29,android/openwrtwindows
1929,MDU6SXNzdWUzNDEyMTgxNjM=,29,win7
