Número da Issue,ID,Quant. comentários,Título
32,MDU6SXNzdWUxMjIwODQ5OQ==,0,license.txt missing
65,MDU6SXNzdWUxMjYzMzI0Mw==,0,"Hi, I ported it to node.js, https://github.com/cfddream/nchart"
124,MDU6SXNzdWUxNDk3MjAzNw==,0,how to change chart's background?
201,MDU6SXNzdWUxNzcxNDA4MA==,0,chartjs.org down
279,MDU6SXNzdWUyNDY5ODE2OA==,0,Update chart at every 1 second with some new values
353,MDU6SXNzdWUzMjEyMjcxMw==,0,js showlegend
403,MDU6SXNzdWUzNjg3MzI2MA==,0,Tooltip in the middle?
418,MDU6SXNzdWUzNzA2MTg0MQ==,0,Create a version bumping task in gulp
448,MDU6SXNzdWUzNzkwMjA2OQ==,0,closed
484,MDU6SXNzdWUzODY2ODMyOA==,0,Use same chart multiple times in a page
498,MDU6SXNzdWUzOTA4MjczMQ==,0,legend not working
532,MDU6SXNzdWU0MDA1Mjg0Ng==,0,Width of bars in bar chart
541,MDU6SXNzdWU0MDM1Nzk4NQ==,0,firefox and IE issue with latest versions
544,MDU6SXNzdWU0MDQ1NTUxNw==,0,ChartJS rendering support
663,MDU6SXNzdWU0NDM3NDYyNQ==,0,How to set the position of the tooltip?
664,MDU6SXNzdWU0NDM3NDcwNA==,0,How to change the YAxis text from left to right?
665,MDU6SXNzdWU0NDM3NDg0MA==,0,Error
724,MDU6SXNzdWU0Njg1OTE3MA==,0,Great plugin
794,MDU6SXNzdWU1MDU1MTI2Mw==,0,Stacked bar chart x-axis labels misaligned
907,MDU6SXNzdWU1NjEyOTYwNQ==,0,Display Y-axis only and changing its value?
919,MDU6SXNzdWU1NjU2MjQ4MQ==,0,"If responsive is enabled, errors happen when chart is removed from DOM."
990,MDU6SXNzdWU2MDg0NzIwMQ==,0,Auto computed dimensions breaks with hidden elements
995,MDU6SXNzdWU2MTk5NDUzMg==,0,#Need#Option# i want to show point values in y axis instead showing it inside tooltip dialog.
1035,MDU6SXNzdWU2NTQ5ODAyNg==,0,"helpers.generateLabels throws ""labelTemplateString is not defined"" exception"
1102,MDU6SXNzdWU3MzYyMjYwOA==,0,Update function for doughnut chart not working
1103,MDU6SXNzdWU3MzY3MTM1MQ==,0,Update function for doughnut chart not working
1307,MDU6SXNzdWU5NDg0MjM1NQ==,0,Small Documentation Error
1405,MDU6SXNzdWUxMDI1NjUwODg=,0,Combo bar and line charts have oddly sized bars
1507,MDU6SXNzdWUxMDk0NjMxNzc=,0,No document for tooltipEvents?
1574,MDU6SXNzdWUxMTM0MTMzODc=,0,File name typo in 2.0 documentation
1575,MDU6SXNzdWUxMTM0MTU2MDA=,0,[2.0.0-beta] Uncaught TypeError: easingFunction is not a function
1613,MDU6SXNzdWUxMTQ4MjcyOTk=,0,Stroke of the first scale line
1681,MDU6SXNzdWUxMTgzMzcyMTI=,0,No hook for max size
1813,MDU6SXNzdWUxMjMzNDI5NDI=,0,ticks.suggestedMin is ignored when set to 0.0
1847,MDU6SXNzdWUxMjQ1ODM4Mzc=,0,make optional moment with require js
2023,MDU6SXNzdWUxMzQyMzExMjg=,0,Tooltips with mode:'label' don't work for radar charts
2102,MDU6SXNzdWUxMzg4MzU5ODQ=,0,"generateLegend throws JavaScript error: ""this.data is undefined"""
2185,MDU6SXNzdWUxNDQyNTAwOTU=,0,Pie chart wont show the legend
2281,MDU6SXNzdWUxNDg5NDg3MDI=,0,Default on canvas legend callback should also get data from config
2324,MDU6SXNzdWUxNTAzNjA5NTA=,0,Update Doughnut documentation for V2 format
2334,MDU6SXNzdWUxNTA1MTU0NzM=,0,Pie chart not working for mobile browsers?
2406,MDU6SXNzdWUxNTE2NTc1ODQ=,0,Doughnut chart sample has incorrect color label
2410,MDU6SXNzdWUxNTE3NTU0OTY=,0,animation bug in Doughnut & Pie chart
2415,MDU6SXNzdWUxNTE4MTE1NTU=,0,Bars on time axes are poorly positioned and sized
2494,MDU6SXNzdWUxNTM2NzE0Nzc=,0,Update scale to use callback rather than userCallback
2519,MDU6SXNzdWUxNTQyMzgwNjA=,0,type: 'time' X-scale null bug
2580,MDU6SXNzdWUxNTUzODYwMjk=,0,Show Lines option should work per dataset
2613,MDU6SXNzdWUxNTYxOTczMDc=,0,Calling .destroy() on a animated graph does not stop the graph animation
2631,MDU6SXNzdWUxNTY3NDI0MjY=,0,[Doughnut Chart] Dataset with null value not allow in version 2.1.3.
2647,MDU6SXNzdWUxNTcwOTU2NjU=,0,"When line tension is 0, line does not animate in"
