Número da Issue,ID,Quant. comentários,Título
73,MDU6SXNzdWUxMjk4MTkyOQ==,200,Horizontal bar chart?
12,MDU6SXNzdWUxMjEzNTI1MQ==,96,Line Chart - Data series without label for each point
78,MDU6SXNzdWUxMzI4OTUwNQ==,81,Label inside donut chart
833,MDU6SXNzdWU1MzAwNjkzMQ==,79,Interested Collaborators
622,MDU6SXNzdWU0MjQ2NTM1MA==,75,Tool tip is cut off on rightmost point
56,MDU6SXNzdWUxMjQ0Mzg3MQ==,75,Responsive Chart 
17,MDU6SXNzdWUxMjEzOTYxMA==,59,Multiple axis [BOUNTY $100]
4303,MDU6SXNzdWUyMzE5OTM3Nzg=,53,Do not require moment.js
6598,MDU6SXNzdWU1MTIyMzQzODQ=,52,State of Chart.js & V3.0
10,MDU6SXNzdWUxMjEyODc2Nw==,50,Stacked bar chart
5179,MDU6SXNzdWUyOTEwMTk0MzE=,46,Chart.js does not import as es6 module
13,MDU6SXNzdWUxMjEzNTk1NQ==,40,Live data via APIs?
2141,MDU6SXNzdWUxNDEzMjMxOTI=,39,Charts flash quickly and then disappear when navigating back to a tab with charts
592,MDU6SXNzdWU0MTU4NTM4OQ==,39,Error if display property changed
3574,MDU6SXNzdWUxODgzMTU0NjQ=,38,Timeline Chart type
184,MDU6SXNzdWUxNjkzMDM0MQ==,37,Double y axis?
3706,MDU6SXNzdWUxOTU1NTc3NzI=,35,[FEATURE] Title alignment Left or Right options
815,MDU6SXNzdWU1MTc0NzkzNg==,34,Default Colors
1731,MDU6SXNzdWUxMTk5NDY3MzY=,33,v2 beta: tooltips are sometimes truncated
2299,MDU6SXNzdWUxNDk0NzQyODA=,31,Show tooltips based on cursors x position in line charts
4120,MDU6SXNzdWUyMjAwMDA5MzU=,30,Floating bar charts
3753,MDU6SXNzdWUxOTgyMzI4OTg=,30,[BUG] Cannot read property 'skip' of undefined when hover the chart
4515,MDU6SXNzdWUyNDMzMTE1NzQ=,29,OSX master branch unit test errors
4202,MDU6SXNzdWUyMjUzNjY2OTU=,29,Line Chart -  line on the edge get cut
2442,MDU6SXNzdWUxNTI3NDM4NjM=,29,Add possibility to change style for each of the ticks
729,MDU6SXNzdWU0NzA1MjI2MA==,29,y-axis labels are being cut off when many data values displayed
608,MDU6SXNzdWU0MjA1MzEyMQ==,29,Allow wrapping in axis labels
593,MDU6SXNzdWU0MTU5NjQxNw==,29,how to update labels? 
89,MDU6SXNzdWUxMzc1NTIzMw==,29,charts don't show up in IE 8
4991,MDU6SXNzdWUyNzY1NzY2MzQ=,28,[BUG] Tooltip hides when update is called
3175,MDU6SXNzdWUxNzIyOTU3NzA=,28,Pie Graph legend on left or right is not vertically centered.
2051,MDU6SXNzdWUxMzU5NzEzNTc=,28,Customize legend box height
1573,MDU6SXNzdWUxMTMzNzA2Nzk=,28,[2.0.0-beta] trying to call .clone() of null firstTick (scale.time.js)
4570,MDU6SXNzdWUyNDU5MzE1NTE=,26,Chart not showing in Android 8.0/Android O
3540,MDU6SXNzdWUxODY3Mjc0NDE=,26,Candlestick graph type
3033,MDU6SXNzdWUxNjc1NDE4Mjg=,26,Bower support and dist/* files
2539,MDU6SXNzdWUxNTQ3NjE3MTQ=,26,Using `stepSize` and `maxTicksLimit` together doesn't work.
1323,MDU6SXNzdWU5NjAxNjEyNw==,26,Configure background patterns to aid color vision deficient viewers
920,MDU6SXNzdWU1NjU4MjExOA==,26,Tooltip causing reverting to old chart when rendering different charts in same canvas
762,MDU6SXNzdWU0ODc5NjIxMQ==,26,Responsive in combination with bootstrap collapse
2951,MDU6SXNzdWUxNjQ3MTQxMjI=,25,"Error: Module name ""core/core.js"" has not been loaded yet for context"
2643,MDU6SXNzdWUxNTY5OTQ4MTI=,25,Possible to group a stacked bar chart?
327,MDU6SXNzdWUyOTAzMDEyNA==,25,How to add data point labels in Bar charts
58,MDU6SXNzdWUxMjQ2NTA3OA==,25,Display Y-axis labels as integers instead of floats (when no floats are in data)
4053,MDU6SXNzdWUyMTU3NTk0MDU=,24,[FEATURE] Data grouping for large datasets 
2808,MDU6SXNzdWUxNjEwNjk5MjM=,24,Ticks covered by bar when mirrored
2323,MDU6SXNzdWUxNTAzMzk4NzQ=,24,Time scale bar charts overlap
1997,MDU6SXNzdWUxMzI2NDkwMTI=,24,Adding and removing data in v2
1882,MDU6SXNzdWUxMjU4NTIxMTk=,24,High CPU load for streaming data
1305,MDU6SXNzdWU5NDYzODcxMA==,24,Add support for zoom / scroll / pan options?
