Número da Issue,ID,Quant. comentários,Título
15,MDU6SXNzdWUzMjc2OTY1ODU=,0,Other amusing permutations for your consideration
18,MDU6SXNzdWUzMjc3OTc5Njg=,0,"import * as ts from ""typescript"" should work out of the box (use the included TS)"
43,MDU6SXNzdWUzMjgwODE4MzE=,0,
52,MDU6SXNzdWUzMjgxMTY5ODE=,0,dfdfee
75,MDU6SXNzdWUzMjg0NDgxODM=,0,
76,MDU6SXNzdWUzMjg0NTYwOTQ=,0,Github doesn't recognise MIT license for the repo
94,MDU6SXNzdWUzMjg2MjM2OTU=,0,Too Much Noise
103,MDU6SXNzdWUzMjg3MzM4ODA=,0,I can not learn anymore
239,MDU6SXNzdWUzMzEwODk5NjE=,0,edon
315,MDU6SXNzdWUzMzcyOTkyMTA=,0,add tslint to tools/lint.sh
316,MDU6SXNzdWUzMzczMDEwMzA=,0,GN: Fix depfile for rust_executable 
321,MDU6SXNzdWUzMzc0OTMyNzM=,0,test
332,MDU6SXNzdWUzMzg2NTA0MTc=,0,Move js/node_modules
333,MDU6SXNzdWUzMzg2NTE1MDc=,0,Clean up build_third_party.py
336,MDU6SXNzdWUzMzg3Njg1NzA=,0,Rename deno.cc to binding.cc
380,MDU6SXNzdWUzNDI0NjcyMDU=,0,rust_test / handlers_test is broken on windows. 
393,MDU6SXNzdWUzNDMzNjMyNDQ=,0,"Delete yarn.lock, cargo.lock, gclient_entries"
399,MDU6SXNzdWUzNDM4MzM4NjE=,0,Remove depot_tools download from Travis
404,MDU6SXNzdWUzNDQxOTQ5NDQ=,0,Link warnings on OSX
419,MDU6SXNzdWUzNDUwMDI1NjU=,0,remove reply.cc and reply.h and handlers.h (because all of the functions have been ported to rust)
465,MDU6SXNzdWUzNDgxMzMxNzc=,0,rename mock_runtime_test to libdeno_test
470,MDU6SXNzdWUzNDgzOTczNTI=,0,Add TextEncoder and TextDecoder 
491,MDU6SXNzdWUzNDkxNjIwMjY=,0,Move //src/*.cc //src/*.h to //libdeno/
495,MDU6SXNzdWUzNDkyNDgzMzQ=,0,Add support for wildcard tests
498,MDU6SXNzdWUzNDkyNzQwOTQ=,0,Deno::drop is not being called
510,MDU6SXNzdWUzNDk4MzIzMTI=,0,"Generate ""msg_generated.d.ts"" and include in ""assets.ts"""
525,MDU6SXNzdWUzNTEwMTY3ODA=,0,tools/format.py should also format code in tests/
528,MDU6SXNzdWUzNTEwNDM0OTg=,0,Support https for fetch and imports 
534,MDU6SXNzdWUzNTE2NTczODg=,0,Add util.notImplemented() and util.notReachable()
575,MDU6SXNzdWUzNTM0MjgyNTU=,0,sign binaries
579,MDU6SXNzdWUzNTM0OTA2Mzk=,0,Improve AMD module instatitation
580,MDU6SXNzdWUzNTM1MTYyMzM=,0,ScriptSnapshot should be integrated into ModuleMetaData
581,MDU6SXNzdWUzNTM1NDUzMzU=,0,Better instantiation of modules at runtime
594,MDU6SXNzdWUzNTM4ODY1MTg=,0,Unit tests for compiler should be independently executable
607,MDU6SXNzdWUzNTQxMTM2NzE=,0,Better console output
631,MDU6SXNzdWUzNTUzODQxNzg=,0,Add deno.env() and --allow-env
674,MDU6SXNzdWUzNTY4Nzg4MjE=,0,Make async versions of existing fs ops without rewriting all the ops
690,MDU6SXNzdWUzNTc0NzExNDY=,0,Add rs_wrapper gn arg for using sccache
721,MDU6SXNzdWUzNTg1NDc2NDk=,0,make cat.ts work
744,MDU6SXNzdWUzNjAxMTYzNTQ=,0,Don't use ExportBuf in deno::Send
756,MDU6SXNzdWUzNjA2MzA1MTU=,0,deno.statSync(file).mode returns incorrect mode/ permissions. 
759,MDU6SXNzdWUzNjA2NTg0NjI=,0,`clearTimeout` causes panic when trying to clear a complete/non-existent timer
785,MDU6SXNzdWUzNjI3OTYwMjQ=,0,Benchmark wanted: size of out/release/deno in megabytes.
787,MDU6SXNzdWUzNjI4MTUzMzY=,0,Remove tools/run_rustc.py
791,MDU6SXNzdWUzNjI4MjQwMDc=,0,Rename deno_set_flags to deno_set_v8_flags or deno_v8_set_flags
792,MDU6SXNzdWUzNjI4MjQxNDM=,0,Rename libdeno::DenoC to libdeno::deno or libdeno::isolate
793,MDU6SXNzdWUzNjI4MjY3NDQ=,0,Rename deno.argv to deno.args
808,MDU6SXNzdWUzNjI5ODQzODE=,0,"`eval(""unknownVariable"")` throws cryptic error message"
812,MDU6SXNzdWUzNjMwNTE3OTI=,0,Website scripts need tests
818,MDU6SXNzdWUzNjMyOTk3OTg=,0,Benchmark wanted: snapshot and bundle sizes
