Número da Issue,ID,Quant. comentários,Título
16,MDU6SXNzdWUxODMyOTcyMTQ=,0,Add `standard` lint
28,MDU6SXNzdWUxODMzMDE5MTI=,0,Add `husky` + `lint` on `precommit`
33,MDU6SXNzdWUxODMzMjEyNDY=,0,Reload tab if it already opens app when running next-dev
36,MDU6SXNzdWUxODM1Njk2NTE=,0,Add FAQ to README
87,MDU6SXNzdWUxODUzNzU1Njk=,0,Redux example UTC time
94,MDU6SXNzdWUxODU0NDc2NTM=,0,Add travis CI or Appveyor CI automatic testing
120,MDU6SXNzdWUxODU4MTA3ODc=,0,Create CONTRIBUTING.md
426,MDU6SXNzdWUxOTYzMTE1Nzk=,0,add version command for CLI 
439,MDU6SXNzdWUxOTY1MzQxNjI=,0,Flush styles / head upon error
506,MDU6SXNzdWUxOTc0NDkzMjU=,0,using parameterized routes throw 404 when hit  browser's back button 
526,MDU6SXNzdWUxOTc1ODI5MTc=,0,Parametrized routes example is missing 'dev' script
573,MDU6SXNzdWUxOTgxNTUxMTk=,0,Link component doesn't support relative path
579,MDU6SXNzdWUxOTgxOTc2OTk=,0,Add CXS example
602,MDU6SXNzdWUxOTgyNzQwMjg=,0,"clicking anchor with href=""#id"" resulting in error"
616,MDU6SXNzdWUxOTgzMDEyNTI=,0,HMR Errors break when using next/prefetch
628,MDU6SXNzdWUxOTgzNzU0NzI=,0,Hot code reloading transition ideas
647,MDU6SXNzdWUxOTg1NTU2MTg=,0,HMR 404 recovery issues
664,MDU6SXNzdWUxOTg5MDg4MjA=,0,Prefetcher is making multiple identical requests are made for the same route
666,MDU6SXNzdWUxOTg5Njc0NDk=,0,[2.0-beta13] Can't access ReactDOMServer
679,MDU6SXNzdWUxOTkxODE0MjE=,0,props and state are discarded when error occurred on HMR
744,MDU6SXNzdWUyMDAxODk4MTM=,0,Add AMP example
865,MDU6SXNzdWUyMDI2Mjc2NDM=,0,Memorization of scroll upon HMR errors
947,MDU6SXNzdWUyMDQ2NTk3MzU=,0,Avoid double qs parsing?
962,MDU6SXNzdWUyMDUwMjIxMTg=,0,Loader not found for filetype
984,MDU6SXNzdWUyMDUzMTQ5ODQ=,0,Remove AOT (gzip) compression from Next.js
992,MDU6SXNzdWUyMDUzNzk5Mjk=,0,Redux example fails to run
993,MDU6SXNzdWUyMDUzODY4OTM=,0,Gulp bench task is broken
1227,MDU6SXNzdWUyMDkwNTM0Mjk=,0,Get rid of BUILD_ID
1270,MDU6SXNzdWUyMTAxNDU2MzM=,0,npm run dev error
1310,MDU6SXNzdWUyMTA2NDI1NDE=,0,Fire route cancel event just after the cancellation.
1314,MDU6SXNzdWUyMTA3NjIwNjY=,0,Update Koa example for Koa 2
1335,MDU6SXNzdWUyMTE1OTgzOTY=,0,Use babel-preset-env in dev
1355,MDU6SXNzdWUyMTIwMjAxNjc=,0,Missing ! in examples/using-preact server.js
1381,MDU6SXNzdWUyMTMyMzgyMTU=,0,styled-components example doesn't server render well
1418,MDU6SXNzdWUyMTQxMzUwMzc=,0,Support <Link replace />
1462,MDU6SXNzdWUyMTUzMzc2NzM=,0,Show a better error when page doesn't export a default class
1612,MDU6SXNzdWUyMTkxNDI5ODk=,0,Example with 3rd party reusable component
1692,MDU6SXNzdWUyMjEwMTgwNjQ=,0,null
1759,MDU6SXNzdWUyMjI2ODUwNTE=,0,Unexpect token < in Json at position 0
1846,MDU6SXNzdWUyMjU1NjI1Njk=,0,Remove all the <div> tags around scripts.
1937,MDU6SXNzdWUyMjc4NTY0NDY=,0,Proper error for running `next start` on dev build
1965,MDU6SXNzdWUyMjg1NjczNTk=,0,Warning about the PropTypes in dev mode
1969,MDU6SXNzdWUyMjg2NDczNzg=,0,how to use 'babel-import-plugin'
2011,MDU6SXNzdWUyMjk4MjYyNDY=,0,Support shallow route change option on Link component
2130,MDU6SXNzdWUyMzI4MDQ5ODg=,0,missing script: dev
2363,MDU6SXNzdWUyMzg0MDk3OTY=,0,Using Material UI with custom next dir causes build errors.
2382,MDU6SXNzdWUyMzkwMzIwMTQ=,0,Slight change to global stylesheet example
2385,MDU6SXNzdWUyMzkxODA3ODA=,0,Unable to resolve module 'next/dynamic'
2400,MDU6SXNzdWUyMzk0OTUzMzc=,0,"examples  ssr-caching  ""npm run build""  report  erro?"
2539,MDU6SXNzdWUyNDIzMDA3NzQ=,0,Deploy to now.sh failed in build / nextjsv3 / custom webpack
