Número da Issue,ID,Quant. comentários,Título
9524,MDU6SXNzdWU1MjgzNDg4MzM=,250,Static Generation / SSG Improvements
153,MDU6SXNzdWUxODYwODY0NzY=,207,Add login / authentication example
9081,MDU6SXNzdWU1MDcyMTE5NzI=,159,[RFC] Custom Routes
88,MDU6SXNzdWUxODU0MDM1OTc=,135,Top-level app component and animated route transitions
4227,MDU6SXNzdWUzMTg4MjE5OTc=,125,Build error next.js 6.0.0
544,MDU6SXNzdWUxOTc3NjI5NjE=,102,Importing CSS files?
706,MDU6SXNzdWUxOTk0NzE5MTg=,100,Add support to transpile modules inside node_modules 
1632,MDU6SXNzdWUyMTk3MTIxMTk=,97,Use with React Router 4
7322,MDU6SXNzdWU0NDM0NTkxMTM=,96,Warning: Prop className did not match.
7607,MDU6SXNzdWU0NTc3NjExNDg=,90,[RFC] Dynamic Routes
198,MDU6SXNzdWUxODczNDU1OTE=,78,Error: Cannot find module when deploying to heroku
1852,MDU6SXNzdWUyMjU3MjI0MTQ=,73,How to catch and handle errors to report logs on server side
257,MDU6SXNzdWUxODkyNzQwNTE=,73,Multiple Next apps on single domain will collide
5214,MDU6SXNzdWUzNjE5NjU0NTA=,72,trailing slash in link for legit page works for client side navigation but leads to not found bundle and 404 on hard refresh (ssr)
1458,MDU6SXNzdWUyMTUyNDI0NjM=,72,Production websites using Next.js
9133,MDU6SXNzdWU1MDkyOTY2NjE=,67,[RFC] Plugins
9830,MDU6SXNzdWU1NDI0MTQ1MDI=,66,Update Ant Design Examples for New CSS Support (9.2)
160,MDU6SXNzdWUxODYxMzUzNTE=,61,Adding GA script tag?
8626,MDU6SXNzdWU0ODkzODE5NjQ=,60,[RFC] CSS Support
387,MDU6SXNzdWUxOTUyODc1NTE=,60,Minimal apollo example
6240,MDU6SXNzdWU0MDg3MDk1NzM=,58,8.0.0 - dynamic import causing 'You may need an appropriate loader...' error
7894,MDU6SXNzdWU0NjY4MDIyNzg=,55,"`next build` fails with ""Module did not self-register."""
4998,MDU6SXNzdWUzNTI0NDM5NTY=,55,Feature request: Basepath support
7929,MDU6SXNzdWU0Njc0OTYzNzM=,53,[Next 9] out of memory when building the app 
5750,MDU6SXNzdWUzODQ1MjE0NzU=,52,Unable to import module 'now__launcher'
4496,MDU6SXNzdWUzMjczNzcxNDc=,52,"Serverless Next: make `next` dev-only dependency, introduce `next-server` for smaller builds and faster bootup"
4194,MDU6SXNzdWUzMTY2NjAyMzM=,52,Context provided in _app.js can't be consumed in pages in SSR
8251,MDU6SXNzdWU0NzY5OTE4MjU=,51,Next.js API routes (and pages) should support reading files
3065,MDU6SXNzdWUyNjQyMDQwNDg=,51,getInitialProps not working with history (back button)?
9022,MDU6SXNzdWU1MDUxNzc1NjM=,50,Invalid hook call in 9.0.6
7208,MDU6SXNzdWU0MzkyMDQwNTc=,50,[RFC] server(less) middleware
5598,MDU6SXNzdWUzNzc1MjE4NDE=,50,Can not navigate in development (Router hangs after some time)
3728,MDU6SXNzdWUyOTUzMTE2MzQ=,49,Support locating non-page js/jsx files with page files
70,MDU6SXNzdWUxODUyMzUzNjY=,49,Support static site rendering
1189,MDU6SXNzdWUyMDg0MzgyOTI=,47,Should /page/ work just like /page ?
861,MDU6SXNzdWUyMDI0OTUxNjA=,47,Offline First Support
8893,MDU6SXNzdWU0OTk3NzgzMDE=,46,Firebase example: couldn't find a `pages` directory
2833,MDU6SXNzdWUyNTIwNjYyMzg=,46,Custom route `post/`id` flashing 404 before finally rendering page.
3775,MDU6SXNzdWUyOTYzMzA4NjA=,45,Dynamic import() fails in next 5.xx
256,MDU6SXNzdWUxODkyNjA4OTU=,44,Content Security Policy (CSP) with next.js
4239,MDU6SXNzdWUzMTkwNDcwNjQ=,43,migration from 5 to 6
484,MDU6SXNzdWUxOTcyNTQ0Nzk=,43,Work with antd?
11583,MDU6SXNzdWU1OTIzMzMyOTA=,42,Can no longer build with `9.3.4`
3335,MDU6SXNzdWUyNzY3NDE4NDQ=,42,Hosting on GitHub Pages
4532,MDU6SXNzdWUzMjg4NzQxMTY=,41,Logic of with-react-i18next is incompatible with _app.js
106,MDU6SXNzdWUxODU1NzkxNzY=,39,Minimal Relay example
25,MDU6SXNzdWUxODMzMDAwNTE=,39,Custom server logic / routing
3131,MDU6SXNzdWUyNjY3NDY4ODc=,38,Working with external css and scss files
2152,MDU6SXNzdWUyMzMyOTg2OTM=,38,"""Can't set headers after they are sent"" when calling `res.redirect` from `getInitialProps`"
1013,MDU6SXNzdWUyMDU1NjUyMzY=,38,Initial page load too slow
