Número da Issue,ID,Quant. comentários,Título
59,MDU6SXNzdWUxNDYxODIxNDg=,0,Keyboard Shortcuts
162,MDU6SXNzdWUxNTI5NDE5MTY=,0,componentDidUpdate didn't executed
204,MDU6SXNzdWUxNTU1NTA1NzU=,0,Using npm modules that have JSX
219,MDU6SXNzdWUxNTczNDI2NjE=,0,Error occurs when the arguments passed to 'action' cannot be stringified
227,MDU6SXNzdWUxNTg0MTE5NjM=,0,Switch to stage-0 preset; Static variables are not permitted in components
242,MDU6SXNzdWUxNTkwNTU5NzE=,0,"An `index.html` file in the ""static"" directory overwrites built Storybook index"
345,MDU6SXNzdWUxNjg4MDY3Nzc=,0,Add polyfills directly bypassing babel
349,MDU6SXNzdWUxNjkxODMwNDg=,0,Stop using stage0 babel config.
362,MDU6SXNzdWUxNjk3NzM3NjI=,0,Use json5 to parse .babelrc
368,MDU6SXNzdWUxNzA0MTYzNzg=,0,lifecycle methods not executed
451,MDU6SXNzdWUxNzY2NDk2MDM=,0,Try to consider to use a CSS loader inside the Manager.
476,MDU6SXNzdWUxNzg1MjIzNDM=,0,Egghead Course
496,MDU6SXNzdWUxNzkyMDcwMTE=,0,Improve production caching setup
540,MDU6SXNzdWUxODIwOTI4OTQ=,0,Ship babel-plugin-react-docgen with storybook
574,MDU6SXNzdWUxODU1NDg1OTY=,0,Add json-loader by default
596,MDU6SXNzdWUxODY4MDc5MTc=,0,Storybook doesn't expect Webpack configs could have an array of loader's tests
635,MDU6SXNzdWUxOTI1ODExMDU=,0,Add JSON loader to webpack config
639,MDU6SXNzdWUxOTMzODkzNjQ=,0,Get features from CRA v0.8.0
718,MDU6SXNzdWUyMTMwMDY0Njk=,0,Listen for window events
722,MDU6SXNzdWUyMTM3NjY4MDM=,0,Errors when no displayName is present
820,MDU6SXNzdWUyMjE5NTUxMTc=,0,babel-cli@6.14.0 untested 
821,MDU6SXNzdWUyMjE5NTUxMTg=,0,babel-preset-es2015@6.14.0 untested 
822,MDU6SXNzdWUyMjE5NTUxMjE=,0,babel-cli@6.16.0 untested 
823,MDU6SXNzdWUyMjE5NTUxMjI=,0,babel-preset-es2015@6.16.0 untested 
824,MDU6SXNzdWUyMjE5NTUxMjU=,0,babel-preset-stage-0@6.16.0 untested 
833,MDU6SXNzdWUyMjE5NTUzMzc=,0,Write a contributor guide
837,MDU6SXNzdWUyMjE5NTUzNTM=,0,Reconnect websocket connection on close
852,MDU6SXNzdWUyMjE5NTU1NzA=,0,Write a contributor guide
853,MDU6SXNzdWUyMjE5NTU1NzE=,0,Support modules
856,MDU6SXNzdWUyMjE5NTU1Nzc=,0,Reconnect websocket connection on close
859,MDU6SXNzdWUyMjE5NTU1ODQ=,0,Add a suite of tests to check with new versions of React Native
860,MDU6SXNzdWUyMjE5NTU1ODU=,0,Doesn't work on Windows if launched from a shell with lowercase drive letter
875,MDU6SXNzdWUyMjE5NTU4MTQ=,0,Support for Typescript tsx files
928,MDU6SXNzdWUyMjM1MTM1MDY=,0,An in-range update of babel-eslint is breaking the build 
947,MDU6SXNzdWUyMjM1OTIwMzk=,0,source example: double curly braces
948,MDU6SXNzdWUyMjM1OTIwNDE=,0,Height of the information addon is just the height of the element
990,MDU6SXNzdWUyMjYwOTM1OTg=,0,An in-range update of jest-enzyme is breaking the build 
1010,MDU6SXNzdWUyMjc1NDMxNTI=,0,An in-range update of codecov is breaking the build 
1019,MDU6SXNzdWUyMjc5NTcyMDY=,0,An in-range update of eslint-plugin-jest is breaking the build 
1020,MDU6SXNzdWUyMjc5NjA1NTE=,0,An in-range update of jest is breaking the build 
1033,MDU6SXNzdWUyMjg1ODMyNjE=,0,An in-range update of eslint-config-airbnb-base is breaking the build 
1099,MDU6SXNzdWUyMzA1MzcxODA=,0,Running getstorybook should add react-dom as a peer dependency for React Native projects
1127,MDU6SXNzdWUyMzEyOTg1MzQ=,0,Parallelise Travis build
1263,MDU6SXNzdWUyMzUyNTQ0ODM=,0,Info Addon: increase container's z-index
1275,MDU6SXNzdWUyMzU4MzgzMjY=,0,Danger PR review breaking the build
1425,MDU6SXNzdWUyNDExODk0NzI=,0,Assign ownership to different parts of the codebase using CODEOWNERS file
1447,MDU6SXNzdWUyNDE3OTYzOTA=,0,"Uncaught Error: Cannot find module ""react"""
1553,MDU6SXNzdWUyNDY4MDk1NTc=,0,OnDeviceUI breaks RN versions <0.43
1585,MDU6SXNzdWUyNDc2NzcxMjY=,0,How to disable escaping for svg-inline-loader?
2125,MDU6SXNzdWUyNjgyNjE2MDY=,0,`DownPanel` doesn't scroll in Firefox
