Número da Issue,ID,Quant. comentários,Título
1921,MDU6SXNzdWUyNjE4NjUzMTY=,142,Dependencies.io troubleshooting
4600,MDU6SXNzdWUzNzQ4MTA0MTc=,102,Framework support - Stencil.js
6204,MDU6SXNzdWU0MjM0MzUzMDI=,91,Storybook v5 breaks when using core-js ^3.0
5183,MDU6SXNzdWUzOTY5NjgxNzM=,83,babel-loader conflicts with create-react-app 2.1.3
3346,MDU6SXNzdWUzMTA5NDI3OTY=,77,Error: exports is not defined
269,MDU6SXNzdWUxNjE2OTI3NzE=,76,Angular 2 support
6984,MDU6SXNzdWU0NTI1OTgzNjE=,73,@storybook 5.1.1 is throwing an error on build
4691,MDU6SXNzdWUzNzY2MTE1ODI=,73,Storybook not compatible with React hooks
151,MDU6SXNzdWUxNTE1NDM5Nzk=,73,Substories/Hierarchy
9154,MDU6SXNzdWU1MzgwMDA1MjI=,69,is-map: 'return' outside of function
7829,MDU6SXNzdWU0ODMwMzAwNjU=,69,Addon-docs: Source doc block Typescript support
8884,MDU6SXNzdWU1MjQ5OTY4NTE=,63,Storybook interface not loading on IE11
729,MDU6SXNzdWUyMTU3NzAwODI=,63,single stories are pulling in every other stories' stylesheets?
4716,MDU6SXNzdWUzNzczNDY3Njg=,58,Story is not set when running storybook server
1493,MDU6SXNzdWUyNDQxMzM0NDE=,57,Module parse failed: You may need an appropriate loader to handle this file type
4947,MDU6SXNzdWUzODg0OTI0ODk=,50,addon-knobs not working with vue from v4.0.8
4475,MDU6SXNzdWUzNzEzMjE1OTk=,50,framework-preset-vue requires `babel-preset-vue` but does not depend on it
7914,MDU6SXNzdWU0ODY5MTUyODY=,49,TypeError: Cannot read property 'lightest' of undefined
6505,MDU6SXNzdWU0MzI3NjU4MTU=,49,CRA & Storybook webpack clash
5721,MDU6SXNzdWU0MTMzNzcwMDk=,48,Cannot use React hooks directly inside a story
3044,MDU6SXNzdWUyOTg5MTQ3OTU=,48,Webpack 4 support?
2708,MDU6SXNzdWUyODc0MzA0ODQ=,47,addon-info doesn't show Proptypes and description
1147,MDU6SXNzdWUyMzE5ODIzNjc=,47,Move `addon-info` into addons panel
9463,MDU6SXNzdWU1NTAxNjAwODE=,46,TS1086: An accessor cannot be declared in an ambient context
4796,MDU6SXNzdWUzODEzNjM2NDg=,44,Uncaught TypeError: Object(...) is not a function - @emotion
4191,MDU6SXNzdWUzNjEwMzE3OTA=,44,Storybook 4 not compatible with react 15
3955,MDU6SXNzdWUzNDc1OTY2NTg=,44,@storybook/react - support airbnb-js-shims v1 or v2?
7855,MDU6SXNzdWU0ODQ2NDg4NjU=,43,Cannot find type definition file for 'webpack-env'
3329,MDU6SXNzdWUzMTAyODUyODk=,43,Importing Meteor packages (VulcanJS integration)
2616,MDU6SXNzdWUyODUzNDA3OTk=,43,Failed when first time trying out storybook-angular.  Could you please provide more comprehensive example for Angular?
8342,MDU6SXNzdWU1MDQwOTMxNjk=,42,Addon-docs: Show source block with generated knob values
4801,MDU6SXNzdWUzODE2MzcxOTU=,42,Decorator Children Displayed In Story Source
3855,MDU6SXNzdWUzMzkzMzYyNDA=,42,Change knobs via actions [idea]
1981,MDU6SXNzdWUyNjMyODAxOTY=,42,"Still getting ""accessing nonexistent addons channel"""
5817,MDU6SXNzdWU0MTYzMTk4OTk=,41,Storybook 5.0.0 emotion-themeing and React loader bug
3830,MDU6SXNzdWUzMzgxMzYwNjc=,41,failed after update  to 4.0.0-alpha.12
1369,MDU6SXNzdWUyMzkxMTQ5ODY=,40,Action Logger Panel Is Not Available
731,MDU6SXNzdWUyMTY4MTk2MzQ=,40,Is this project dead?
713,MDU6SXNzdWUyMTIzMzcxNTI=,40,feature request: ability to return a promise from `add`
6135,MDU6SXNzdWU0MjE5MTcxNjc=,39,CSS Custom Properties (var(--foo)) in theme secondary colour causes fatal error
6674,MDU6SXNzdWU0MzgzNTkwNzU=,38,React Native Server example with storybook 5
4995,MDU6SXNzdWUzOTA5MzczMjU=,38,v4.1.0 stop allowing webpack.config.js to influence manager
4958,MDU6SXNzdWUzODkxOTEyMjk=,38,Support for lit-element with storybook/polymer
714,MDU6SXNzdWUyMTIzNzcyNjM=,38,Keeping the path for the static directory in building
213,MDU6SXNzdWUxNTY2Njk3NzA=,38,Loading babel-polyfill for IE11
5030,MDU6SXNzdWUzOTIxMzc0MTU=,37,TypeScript migration organization
3968,MDU6SXNzdWUzNDc4MTI5NDI=,37,Starting storybook takes very long
1708,MDU6SXNzdWUyNTE5MDA2MDA=,37,Vue devtools
4645,MDU6SXNzdWUzNzU1MjY4MTM=,36,Relative URLs to assets no longer work in CSS now that CSS no longer gets inlined
3897,MDU6SXNzdWUzNDIyNzQ3Mjg=,36,"error: 'Plugin 0 provided an invalid property of ""default""' when using with React Native + TypeScript"
