Número da Issue,ID,Quant. comentários,Título
26,MDU6SXNzdWUxNjQ1NTU0MzY=,0,Does it come as a composer package?
41,MDU6SXNzdWUxNjQ2OTI3NTM=,0,It's not compatible with Apollo 10
42,MDU6SXNzdWUxNjQ2OTUyMjg=,0,Was this program safe for hackers?
44,MDU6SXNzdWUxNjQ2OTc4NDU=,0,Missing Unit Tests
45,MDU6SXNzdWUxNjQ2OTgxNjI=,0,Cannot locate astronaut ice cream
47,MDU6SXNzdWUxNjQ2OTg2OTA=,0,Runtime error in version 13
50,MDU6SXNzdWUxNjQ3MDI2ODk=,0,Implement an MVC library for UX
64,MDU6SXNzdWUxNjQ3MjY0MjA=,0,Better UI Requested by Users
65,MDU6SXNzdWUxNjQ3Mjc0MDI=,0,Requesting budgie-desktop port
97,MDU6SXNzdWUxNjQ4NDcwNjQ=,0,
101,MDU6SXNzdWUxNjQ4ODQxMTE=,0,.DS_Store file in source code
103,MDU6SXNzdWUxNjQ4OTE4NTA=,0,Ukrainian UI
107,MDU6SXNzdWUxNjQ5MTExMTA=,0,No test coverage?
139,MDU6SXNzdWUxNjU5MzUwMjg=,0,#138
191,MDU6SXNzdWUxOTgwNDE1OTE=,0,Proof ALARM_AND_ABORT
192,MDU6SXNzdWUxOTgwNDI3NTU=,0,Proof ANGLFIND
193,MDU6SXNzdWUxOTgwNDI5ODE=,0,Proof ASSEMBLY_AND_OPERATION_INFORMATION
194,MDU6SXNzdWUxOTgwNDMyMDQ=,0,Proof AUTOMATIC_MANEUVERS
195,MDU6SXNzdWUxOTgwNDM0Nzg=,0,Proof CM_BODY_ATTITUDE
196,MDU6SXNzdWUxOTgwNDM2MTM=,0,Proof CM_ENTRY_DIGITAL_AUTOPILOT
197,MDU6SXNzdWUxOTgwNDM3NTA=,0,Proof CONIC_SUBROUTINES
198,MDU6SXNzdWUxOTgwNDM4Mjg=,0,Proof CONTRACT_AND_APPROVALS
199,MDU6SXNzdWUxOTgwNDM5NDU=,0,Proof CSM_GEOMETRY
200,MDU6SXNzdWUxOTgwNDQyNTQ=,0,Proof DISPLAY_INTERFACE_ROUTINES
202,MDU6SXNzdWUxOTgwNDQ4NjE=,0,Proof DOWNLINK_LISTS
205,MDU6SXNzdWUxOTgwNDU0NjQ=,0,Proof EXECUTIVE
207,MDU6SXNzdWUxOTgwNDU3Mzc=,0,Proof FIXED_FIXED_CONSTANT_POOL
209,MDU6SXNzdWUxOTgwNDU5NDU=,0,Proof GIMBAL_LOCK_AVOIDANCE
210,MDU6SXNzdWUxOTgwNDYxNTM=,0,Proof GROUND_TRACKING_DETERMINATION_PROGRAM
212,MDU6SXNzdWUxOTgwNDY4NjA=,0,Proof IMU_COMPENSATION_PACKAGE
214,MDU6SXNzdWUxOTgwNDcwNDQ=,0,Proof INFLIGHT_ALIGNMENT_ROUTINES
216,MDU6SXNzdWUxOTgwNDcyMTQ=,0,Proof INTER-BANK_COMMUNICATION
218,MDU6SXNzdWUxOTgwNDczOTQ=,0,Proof INTERPRETIVE_CONSTANTS
219,MDU6SXNzdWUxOTgwNDc1MTA=,0,Proof INTERRUPT_LEAD_INS
221,MDU6SXNzdWUxOTgwNDc3MjA=,0,Proof KALCMANU_STEERING
222,MDU6SXNzdWUxOTgwNDc4ODE=,0,Proof KEYRUPT_UPRUPT
224,MDU6SXNzdWUxOTgwNDgwNDQ=,0,Proof LUNAR_AND_SOLAR_EPHEMERIDES_SUBROUTINES
225,MDU6SXNzdWUxOTgwNDgxNzc=,0,Proof LUNAR_LANDMARK_SELECTION_FOR_CM
228,MDU6SXNzdWUxOTg1MzcyODk=,0,Proof MYSUBS
231,MDU6SXNzdWUxOTg1Mzc3MzM=,0,Proof P20-P25
234,MDU6SXNzdWUxOTg1MzgxNDA=,0,Proof P34-35_P74-75
235,MDU6SXNzdWUxOTg1MzgzMDQ=,0,Proof P37_P70
236,MDU6SXNzdWUxOTg1Mzg0Mzg=,0,Proof P40-P47
237,MDU6SXNzdWUxOTg1Mzg1NTA=,0,Proof P51-P53
238,MDU6SXNzdWUxOTg1Mzg2NjM=,0,Proof P61-P67
239,MDU6SXNzdWUxOTg1Mzg3NDQ=,0,Proof P76
241,MDU6SXNzdWUxOTg1Mzg5NTQ=,0,Proof PINBALL_GAME_BUTTONS_AND_LIGHTS
245,MDU6SXNzdWUxOTg1Mzk0NTI=,0,Proof R30
246,MDU6SXNzdWUxOTg1Mzk1MjY=,0,Proof R31
248,MDU6SXNzdWUxOTg1Mzk3MzY=,0,Proof RCS-CSM_DAP_EXECUTIVE_PROGRAMS
