Número da Issue,ID,Quant. comentários,Título
11,MDU6SXNzdWUxMDg4Mzk0MDI=,0,synproxy statistics
15,MDU6SXNzdWUxMDg4NDU4MzI=,0,arp & ndisc
36,MDU6SXNzdWUxMjMwMTU1MjE=,0,NETDATA performance
197,MDU6SXNzdWUxNDY5NTI3MDA=,0,Handle CTRL-C / INT signals when running in foreground
198,MDU6SXNzdWUxNDY5OTU1NDE=,0,Gisellemartino 
393,MDU6SXNzdWUxNTM2NjQ0ODY=,0,[plugin:/proc/diskstats] Find sector size for partitions.
458,MDU6SXNzdWUxNTcxMTczODk=,0,"Allow ""bind socket to IP"" to accept hostnames"
568,MDU6SXNzdWUxNjA4MjQ4ODU=,0,tomcat or xmlstarlet?
611,MDU6SXNzdWUxNjIzMDUwOTQ=,0,SmartOS support
747,MDU6SXNzdWUxNjg1MDc3NzM=,0,disk space reporting for mounted disks without a block device
823,MDU6SXNzdWUxNzI1MTAzMTU=,0,In example.chart.py we can see dead class BaseService.
1013,MDU6SXNzdWUxNzg4NTcwODM=,0,no package
1017,MDU6SXNzdWUxNzkwMjMwNTY=,0,wiki edit
1033,MDU6SXNzdWUxNzk2NDg2NjY=,0,badges strip zeros at the end of numbers
1035,MDU6SXNzdWUxNzk2OTc2ODg=,0,dashboard shows past CLEAR notifications
1036,MDU6SXNzdWUxNzk2OTgwMjI=,0,alarm log should be saved and loaded back on netdata restart
1130,MDU6SXNzdWUxODMzNjg4NTg=,0,Dependency 
1436,MDU6SXNzdWUxOTc0NTMzODU=,0,tomcat 401 error affect the newrelic report
1603,MDU6SXNzdWUyMDIzNjIyNDI=,0,restarting postgres does not restore data collection
1661,MDU6SXNzdWUyMDM3MzM3Nzg=,0,netdata 1.5 release statistics
1796,MDU6SXNzdWUyMDc4ODI2Mzc=,0,really long netdata images
1823,MDU6SXNzdWUyMDg4NTg0Nzk=,0,"async mouse hover fix for IE, edge and slow browsers"
1933,MDU6SXNzdWUyMTM2MDE4MjY=,0,"python.d ALERT: cpu accurate method failed, falling back"
1989,MDU6SXNzdWUyMTU4OTczODE=,0,t list
1990,MDU6SXNzdWUyMTU5MDAzMDc=,0,t list
2211,MDU6SXNzdWUyMzAxNDEzMTQ=,0,Installer proposes wrong command for automatic updates with cron
2282,MDU6SXNzdWUyMzM0OTc0Mzk=,0,Make LogService support file path with pattern match
2290,MDU6SXNzdWUyMzM5NjQ4Mjk=,0,This issue is an accidental focusing of the subject bar instead of the search bar. :(
2298,MDU6SXNzdWUyMzQyMTMyOTg=,0,web_log: support upstreaming timing variable of nginx
2322,MDU6SXNzdWUyMzU1OTI2MDI=,0,"web_log, squid cause python.d.plugin to be killed by netdata"
2421,MDU6SXNzdWUyNDA4MDYwMTA=,0,on
2573,MDU6SXNzdWUyNDg4NDc5NjY=,0,"visualizing small numbers (less than 0.00001), positive and negative"
2790,MDU6SXNzdWUyNjAxMDk2Njk=,0,Use a (shorter) timeout when making JMX connections 
2791,MDU6SXNzdWUyNjAxMTA3MTA=,0,Configuration option to disable JMX module
2798,MDU6SXNzdWUyNjAzNzM5MTI=,0,[JMX module] Mark charts of dead java processes obsolete
2799,MDU6SXNzdWUyNjAzNzgwMjQ=,0,Support monitoring array size of MBean attributes
2806,MDU6SXNzdWUyNjA3Mjg0MDA=,0,JMX Module chart request: CPU usage per thread
2826,MDU6SXNzdWUyNjE5NTU1MTg=,0,alpine/gentoo/openrc startup script of binary package is wrong
2840,MDU6SXNzdWUyNjI2NzU2Nzc=,0,twi_start()434 - [i2c0] START can't sendout!
2862,MDU6SXNzdWUyNjQ0OTYxODQ=,0,Support for Android
2863,MDU6SXNzdWUyNjQ0OTcwMTE=,0,Support for Android
2864,MDU6SXNzdWUyNjQ0OTcwODE=,0,Support for Android
2884,MDU6SXNzdWUyNjU2NTYyMzI=,0,Support chart-local variables
2944,MDU6SXNzdWUyNjk3MDgzNTk=,0,Handling charts in dashboards from offline servers
3021,MDU6SXNzdWUyNzQyNzA1MTA=,0,Process Uptime
3046,MDU6SXNzdWUyNzU4MjI2MDE=,0,[JMX Module] Add support for authentication
3047,MDU6SXNzdWUyNzU4MjU0Mjc=,0,[JMX Module] Recheck for new or restarted JMX Servers
3235,MDU6SXNzdWUyODYyOTYwMjU=,0,Munin-like use case
3291,MDU6SXNzdWUyODg1OTQ4NzE=,0,static threaded web server basic protections
3347,MDU6SXNzdWUyOTE5MjEyNDI=,0,opensuse - bind to unix socket and nginx
