Número da Issue,ID,Quant. comentários,Título
148,MDU6SXNzdWUxNDU0MjUzNDk=,116,what our users say about netdata?
1497,MDU6SXNzdWUxOTgzNjY4NzE=,107,Prometheus Support
692,MDU6SXNzdWUxNjU2MzY1NzA=,100,python.d enhancements
651,MDU6SXNzdWUxNjM4MDM2NDE=,95,netdata package maintainers
685,MDU6SXNzdWUxNjUzNzcyMTc=,75,python.d modules configuration documentation
694,MDU6SXNzdWUxNjU3NDc4MzI=,74,python.d charts with gaps
3972,MDU6SXNzdWUzNDE2NjgzNjI=,72,docker container names not resolved when using firehol/netdata:alpine
4350,MDU6SXNzdWUzNjYwMjE1MzA=,71,Netdata Unbound dns not Working
2161,MDU6SXNzdWUyMjY3NjUzOTA=,71,VM/Containers in Proxmox
1076,MDU6SXNzdWUxODEyNTc5MDk=,70,"Alarm ""system.softnet_stat"" is very strict."
1707,MDU6SXNzdWUyMDQ5NDk4NDY=,69,Very high overhead observed on FreeBSD port of netdata
1082,MDU6SXNzdWUxODE1NDU3MjA=,68,Embed code into website ?
1904,MDU6SXNzdWUyMTIzNDkzMTQ=,67,python.d plugin 
5690,MDU6SXNzdWU0MjQ1MTAzMDg=,66,How to install openvpn plugin
4285,MDU6SXNzdWUzNjM1OTU3MDI=,66,Add SCSI device support to smartd_log.chart.py
42,MDU6SXNzdWUxMjU4NTQyNjY=,64,Build packaging for debian
5078,MDU6SXNzdWUzOTQ4MjU0NDY=,62,disable respect `Retry-After` response header in python UrlService by default
999,MDU6SXNzdWUxNzgyOTMxODI=,62,False alarms for Redis and Memcache
6852,MDU6SXNzdWU0OTM3MzY5NjQ=,61,Incorrect metrics after update (1.13.0 to 1.17.1)
1306,MDU6SXNzdWUxOTI3MjYxNDE=,59,RPM Packaging Discussion
154,MDU6SXNzdWUxNDU0NzA4MTY=,58,Should the MySQL chart show MariaDB stats out of the box?
115,MDU6SXNzdWUxNDUwNDUwODU=,58,Multi-host Support
5344,MDU6SXNzdWU0MDc1MDgyNDE=,57,Allow running multiple freeipmi jobs from the same netdata
8847,MDU6SXNzdWU2MDgzNzMwMzU=,56,Netdata slaves dissapear after enabling TLS
4394,MDU6SXNzdWUzNjk5MTY5NDI=,56,README template for plugins
1311,MDU6SXNzdWUxOTMwMzYwMjA=,56,netdata on ephemeral nodes
6831,MDU6SXNzdWU0OTI3MzA0NDA=,55,SPIKE Libraries to change sockets and webserver
1821,MDU6SXNzdWUyMDg3NzY3NDQ=,55,Top dashboard
3469,MDU6SXNzdWUzMDAwNDU5NjM=,54,netdata service fails to start - pfsense
1960,MDU6SXNzdWUyMTQ5MzkxNDY=,53,Nodejs server monitoring
5197,MDU6SXNzdWU0MDAyODAzMjY=,50,Localization of HTML Docs
3218,MDU6SXNzdWUyODU5MDYzMDk=,50,Solr monitoring
5601,MDU6SXNzdWU0MTkzOTI0Nzk=,49,On several same mail instance netdata use more than 400MB RAM
3369,MDU6SXNzdWUyOTI4NTM2NDI=,48,NetData and Kubernetes - Docker Name
4217,MDU6SXNzdWUzNjA4MjkwMTk=,47,Should netdata identify the js binary as NodeJS by default?
8828,MDU6SXNzdWU2MDcwNDI0NjI=,46,"fping plugin, interface flag doesn't work for netdata"
5366,MDU6SXNzdWU0MDkxNjA2ODE=,46,netdata segfault when restart service 
2003,MDU6SXNzdWUyMTYzNDQwNTM=,46,Failing to fetch multiple log files in dashboard
770,MDU6SXNzdWUxNzA1MTkzNzk=,46,Feature request: GPU monitoring support
7626,MDU6SXNzdWU1NDI1Mjk3OTA=,45,Recurring segmentation fault
1203,MDU6SXNzdWUxODcxODg3MTk=,43,Runs on localhost:19999 but not on ip:19999?
4196,MDU6SXNzdWUzNjAyODAxOTQ=,42,[project management] Move wiki to `docs` repo
329,MDU6SXNzdWUxNTE0NDUwNzM=,42,Names of docker containers.
988,MDU6SXNzdWUxNzc5NTM4NTY=,41,Always 11 to 13 dropped net_drops.eth0 : Is that relevant ?
92,MDU6SXNzdWUxNDQ4MTk4Mzk=,41,Windows Support
7468,MDU6SXNzdWU1MzQ0MDc1NjI=,39,Repeated dbengine global flushing errors
6459,MDU6SXNzdWU0Njc4NjIyMzc=,39,Issues with signing up to the cloud
4114,MDU6SXNzdWUzNTc1MzI5MzQ=,39,No Ceph metrics displayed
2638,MDU6SXNzdWUyNTMxNjAxMTE=,39,New documentation [bounty]
474,MDU6SXNzdWUxNTc5NTgxNzI=,39,Containers: running plugins in different namespaces to allow netdata collect application metrics from containers
