Número da Issue,ID,Quant. comentários,Título
385,MDU6SXNzdWU4NDk1MTY=,0,Ignore
466,MDU6SXNzdWU4Njg4MTA=,0,Can't start application on edge
474,MDU6SXNzdWU4NzM5MTY=,0,Disable identity_map by default. Document it is safe for read.
479,MDU6SXNzdWU4NzU0MjY=,0,Mass assignment protection prevents associating new records
480,MDU6SXNzdWU4NzU0OTc=,0,Mass assignment weirdness pt 2
488,MDU6SXNzdWU4NzcxNDM=,0,Fix .js and .css templates generated with the application
510,MDU6SXNzdWU4ODE5OTI=,0,File Name of jQuery Extenion 
683,MDU6SXNzdWU5MDQzNTc=,0,Find ignore select when conditions & include are specfied
761,MDU6SXNzdWU5MDQ0NjE=,0,ActiveRecord Readme correction
802,MDU6SXNzdWU5MDQ1NDI=,0,ActiveSupport::JSON.decode fails on long unicode sequence with default YAML-based parser
827,MDU6SXNzdWU5MDQ1NzY=,0,You can't exclude distinct when you have a count and at least one include in your query
832,MDU6SXNzdWU5MDQ1ODI=,0,i18n reload does not read new localization files in matching directories
833,MDU6SXNzdWU5MDQ1ODM=,0,Segmentation fault Ruby 187p302 and Rails 3.0.4
844,MDU6SXNzdWU5MDQ1OTk=,0,Exception Propagation in Integration Tests
854,MDU6SXNzdWU5MDQ2MTM=,0,ActiveResource::Base class is defective
857,MDU6SXNzdWU5MDQ2MTg=,0,Custom methods' return values won't apply on form helper like text_field!
862,MDU6SXNzdWU5MDQ2MjQ=,0,find_or_create_by behaves incorrectly when used with multiple attributes through has_many association
864,MDU6SXNzdWU5MDQ2MjY=,0,Diffrent behaviour for find_or_create_by and find_by
868,MDU6SXNzdWU5MDQ2MzE=,0,"STI, inheritance and reload! bug"
889,MDU6SXNzdWU5MDQ2NjM=,0,attr_writeonce in AR models
891,MDU6SXNzdWU5MDQ2NjY=,0,Actionmailer methods should not be redefined
900,MDU6SXNzdWU5MDQ2Nzk=,0,strange behaviour with select and model method
903,MDU6SXNzdWU5MDQ2ODM=,0,Bug at installing ActiveRecord RI on a Winows machine
908,MDU6SXNzdWU5MDQ2OTI=,0,Loading a helper that generates a load error gives a confusing error message
911,MDU6SXNzdWU5MDQ2OTc=,0,Chaining named scopes executes an unnecessary query.
914,MDU6SXNzdWU5MDQ3MDQ=,0,Is there any script for rails 2.3
920,MDU6SXNzdWU5MDQ3MTI=,0,Symbol duplication error in ParameterFilter compiled_filter
922,MDU6SXNzdWU5MDQ3MTU=,0,DateTime#parse exceptions not escalated in ActiveRecord while setting attributes
926,MDU6SXNzdWU5MDQ3MjA=,0,Adding around_(save|update|create|destroy) to an ActiveRecord::Observer causes action to fail
929,MDU6SXNzdWU5MDQ3MjU=,0,ActiveSupport::Numberic overloads inspect but not to_s
941,MDU6SXNzdWU5MDQ3NDQ=,0,ActiveSupport::TimeZone.all is not updated when new time zones are added
942,MDU6SXNzdWU5MDQ3NDU=,0,What are 'best practices' for dealing with transient database errors (like Deadlocks and constraint violations) in a highly concurrent Rails system?
943,MDU6SXNzdWU5MDQ3NDY=,0,view helpers generating assets paths with engine prefix for parent application assets
944,MDU6SXNzdWU5MDQ3NDg=,0,Invalid SQL (duplicate columns in select list) generated by include? on not-yet-loaded has_many :through
946,MDU6SXNzdWU5MDQ3NTA=,0,log file logs private IP of client home network
952,MDU6SXNzdWU5MDQ3NjA=,0,rails 2.3.8 : accepts_nested_attributes_for and attributes= broken
955,MDU6SXNzdWU5MDQ3NjQ=,0,Rake tasks and script/rails commands should respect Engine paths
960,MDU6SXNzdWU5MDQ3NzE=,0,net/smtp enable_tls method support for ActionMailer / mail gem
965,MDU6SXNzdWU5MDQ3Nzg=,0,Activerelation skips where() in some scopes
968,MDU6SXNzdWU5MDQ3ODI=,0,activerecord-3.0.5/test/cases/timestamp_test.rb fails.
969,MDU6SXNzdWU5MDQ3ODQ=,0,I18n label for modulized records
971,MDU6SXNzdWU5MDQ3ODY=,0,rails and activeresource gems are missing license information
976,MDU6SXNzdWU5MDQ4OTg=,0,OrderedHash serialization does not work when storing arrays
977,MDU6SXNzdWU5MDQ4OTk=,0,ActiveRecord::Associations::ClassMethods build is kind of misleading with unsaved parent objects
985,MDU6SXNzdWU5MDQ5MDk=,0,multipart emails missing content-type boundary
986,MDU6SXNzdWU5MDQ5MTA=,0,run scaffold report error.
990,MDU6SXNzdWU5MDQ5MTY=,0,Loading rails/cli with missing plugin provides obscure error
995,MDU6SXNzdWU5MDQ5MjQ=,0,ActiveRecord scopes accumulate joins in reverse order
998,MDU6SXNzdWU5MDQ5Mjg=,0,supports_disable_referential_integrity? is wrong
1004,MDU6SXNzdWU5MDQ5MzQ=,0,Query broken in Rails 3 (?)
