Número da Issue,ID,Quant. comentários,Título
16731,MDU6SXNzdWU0MTQwNDEyMw==,205,Rails is great! Thank you.
2639,MDU6SXNzdWUxNDYwMDk3,177,Served asset log messages are pretty annoying! :) 
8832,MDU6SXNzdWU5Nzg5NDYx,134,Regression with empty nested attributes in parameters
18660,MDU6SXNzdWU1NTMxMjYwNw==,126,Missing helper file helpers//Users/xxxx/Sites/xxxx/app/helpers/application_helper.rb_helper.rb
2569,MDU6SXNzdWUxNDI1MDgy,124,"Asset pipeline: locally precompiled md5 fingerprints don't match with the ones generated by rails helpers in production (rails 3.1 rc6, ruby 1.9.2)"
1525,MDU6SXNzdWUxMDE2NDcy,116,Exception in View Freezes Rails
5228,MDU6SXNzdWUzNDUyNjUx,109,Mass assignment vulnerability - how to force dev. define attr_accesible?
1822,MDU6SXNzdWUxMDk5NDAy,109,Rails 3.1 image assets not working
12867,MDU6SXNzdWUyMjU1NzE3NQ==,103,Rails 4.0.0 and 4.0.1 PostgreSQLAdapter does not properly check whether a connection is active
21948,MDU6SXNzdWUxMTExMzY4MDM=,101,CSRF protection prevents some webkit users from submitting forms
9940,MDU6SXNzdWUxMjQ2OTYyNw==,86,Multiple accept headers' specificity is misinterpreted
655,MDU6SXNzdWU5MDQyOTk=,84,[PATCH] Add :full_message option to validations
600,MDU6SXNzdWU5MDQxOTM=,83,i18n fails with multibyte Strings in Ruby 1.9 (similar to #2038)
31419,MDU6SXNzdWUyODE0ODQ2MzM=,78,ActiveStorage: Allow access to backing file from Service API
12330,MDU6SXNzdWUxOTk1MTg1Ng==,77,PostgreSQL prepared statement failure inside transaction results in a permanently cached prepared statement that's never cleaned up.
9813,MDU6SXNzdWUxMjIwMzQxOQ==,76,default_scope breaks chained scopes in 3.2.13
1810,MDU6SXNzdWUxMDk0MjI0,74,Assets not found - 404 Error
1627,MDU6SXNzdWUxMDM0OTYz,73,AR 3.1 / pgbouncer / PostgreSQL issue with prepared statements
2509,MDU6SXNzdWUxMzk2NDg0,71,ArgumentError (dump format error (user class))
16879,MDU6SXNzdWU0MjU1NjY1Nw==,70,Add has_secure_key to Active Record
9454,MDU6SXNzdWUxMTQzOTAzOQ==,70,Strong parameters: allow hashes with unknown keys to be permitted
4652,MDU6SXNzdWUyOTU4MTg2,67,Random ArgumentError (A secret is required...
1769,MDU6SXNzdWUxMDc5OTQy,67,link_to / form_for doesn't work for singular resource
4127,MDU6SXNzdWUyNjM0NjYy,66,MissingTemplate issues in Rails 3.0
27299,MDU6SXNzdWUxOTQxOTUyOTY=,65,When I run ENV=development rake db:create I don't expect it to try and create the test db too
8328,MDU6SXNzdWU4Njk4ODYx,63,Non-dirty serialized columns are being saved anyway
25208,MDU6SXNzdWUxNTc2NDYyMDk=,62,Drop jQuery as a dependency
20676,MDU6SXNzdWU5MDQ4Njg3Mw==,59,accepts_nested_attributes_for breaks the uniqueness with scope validation
15089,MDU6SXNzdWUzMzM5NTY4MQ==,59,Intermittent failure on test environment about missing constants
3903,MDU6SXNzdWUyNDg0NzY4,59,has_many :through's automatic support for counter_caches is broken
14493,MDU6SXNzdWUzMDI2Njk2NA==,58,"after_commit :my_callback, :on => :create fires on update too "
11814,MDU6SXNzdWUxNzg0NTI5Mg==,58,gem install rails stuck on ri documentation cpu 100%
2383,MDU6SXNzdWUxMzIwNjY4,58,3.1.0.rc5 on jruby in production tries to load sass/coffee_script gems
671,MDU6SXNzdWU5MDQzMzI=,58,Can no longer rescue_from ActionController::RoutingError
939,MDU6SXNzdWU5MDQ3NDE=,57,ActiveRecord UNION left out
667,MDU6SXNzdWU5MDQzMjE=,56,time_select not interpreting the multi-parameter correctly
32995,MDU6SXNzdWUzMjY2ODcxNzE=,54,"""Dangerous query method"" deprecation warning matches `random()` function call"
10559,MDU6SXNzdWUxNDE5NzM5OQ==,53,routing error after update from rails 3.2 to 4.0.0.rc1
476,MDU6SXNzdWU4NzQ1MDY=,53,CookieStore session id being shared across different users
25198,MDU6SXNzdWUxNTc1MzM1MDc=,52,has_many and nested attributes
9894,MDU6SXNzdWUxMjM2ODQxNw==,52,ActiveRecord.where(hash).create callbacks inherit the where(hash)
2686,MDU6SXNzdWUxNDgwNjc2,52,Attachments not visible in mail clients when additional inline attachments present
17091,MDU6SXNzdWU0NDI0NTYxNg==,51,NoMethodError - undefined method `build' on ActiveRecord::PredicateBuilder (Class)
10989,MDU6SXNzdWUxNTY3Mjg1NQ==,51,Live streaming threads not dying
8269,MDU6SXNzdWU4NDY2OTUw,51,Polymorphic has_many :through broken in Rails 3.2.9?
23997,MDU6SXNzdWUxMzc3NzEyMTI=,50,Nested params are parsed incorrectly (unexpectedly) in controllers
2537,MDU6SXNzdWUxNDA5NTkw,50,"3.1 rc5, sprockets 2.0.0.beta.13: Setting config.assets.compress = true causes rails/sprockets to ignore js file include order"
670,MDU6SXNzdWU5MDQzMzA=,50,"dependent => :destroy deletes children before ""before_destroy"" is executed"
9855,MDU6SXNzdWUxMjI4NDYyMg==,49,MySQL UTF8MB4 breaks ActiveRecord schema setup
7596,MDU6SXNzdWU2NzgyNjIy,49,`rails new` (Rails 3.2.8) fails to generate a working application
