Número da Issue,ID,Quant. comentários,Título
7236,MDU6SXNzdWUyNjA4MzU0NjU=,180,Element 2.0 
7755,MDU6SXNzdWUyNjg2ODMyOTM=,126,Element 2.0 
7304,MDU6SXNzdWUyNjE4MjI2ODU=,102,Element 2.0.0-alpha.1  
8074,MDU6SXNzdWUyNzE3MDU2NDM=,82,Spanish documentation
4159,MDU6SXNzdWUyMjE0MzY3Mjg=,82,[Feature Request] table
6089,MDU6SXNzdWUyNDU2NTA1OTI=,59,[Feature Request] Table rendering is too slow when 1000 records (hopefully you can support scrolling according to scroll bars)
15261,MDU6SXNzdWU0MzcwNTY4MDY=,56,[Bug Report] Nuxt not working with element ui v2.8.0 - ReferenceError: HTMLElement is not defined
11817,MDU6SXNzdWUzMzczNTc2NjE=,54,"[Bug Report] custom theme, CSS repeated multiple times"
8242,MDU6SXNzdWUyNzM2NTQ0Njc=,54,[Bug Report] Tooltip component useless while prepack ElementUI by DllPlugin
7612,MDU6SXNzdWUyNjcxMDIyOTQ=,52,Element 2.0.0-beta.1  
1763,MDU6SXNzdWUxOTU2OTU3NDU=,48,[bug]el-tableel-popoverel-popover
1236,MDU6SXNzdWUxOTA2MDE1MTI=,39,Tree  setCheckedNodes  
7237,MDU6SXNzdWUyNjA4MzU0OTc=,38,Element 2.0 is coming soon
3814,MDU6SXNzdWUyMTczOTYyMTM=,35,[Bug Report] Datepicker saving wrong date to v-model
3797,MDU6SXNzdWUyMTcxNTk3MzQ=,34,selectdestroyTypeError: Cannot read property '__resizeListeners__' of undefined
2670,MDU6SXNzdWUyMDU0MDMxOTI=,34,NavMenufor
3543,MDU6SXNzdWUyMTQ2MTM0MzQ=,32,[Feature Request] : el-table
2194,MDU6SXNzdWUxOTg2Mzg0MjI=,31,[Feature Request] SCSS modules instead of plain .css files
5176,MDU6SXNzdWUyMzMzNDI0Mjk=,30,"[Bug, Report], NPM, run, build, Error"
5251,MDU6SXNzdWUyMzQ0MjY4MTU=,29,"[Bug Report] table components in the safari browser, header and content dislocation, scroll bar, drag the mouse failure"
16167,MDU6SXNzdWU0NTg5OTI1NTA=,28,[Bug Report] table table jitter bug
12135,MDU6SXNzdWUzNDQ4NTM0MDA=,28,[Bug Report] TypeError: Failed to execute'getComputedStyle'on'Window': parameter 1 is parameter
4976,MDU6SXNzdWUyMzAxMjkxOTM=,28,[Bug Report] fixedtable
4767,MDU6SXNzdWUyMjcyODIyNjM=,26,[Feature Request] Tree tree control box can choose to add the function can be disabled
2823,MDU6SXNzdWUyMDc0ODIzNTI=,25,
1032,MDU6SXNzdWUxODg5NjA0ODI=,25,vue render 
12512,MDU6SXNzdWUzNTQxNzA1NDc=,24,[Bug Report] [navMenu] click el-submenu trigger childMenu layer pop again
8627,MDU6SXNzdWUyNzg2Nzg4NjU=,24,"The [Feature Request] el-select binding value is an object type, and be sure to specify that value-key is limited to its uniqueness"
3499,MDU6SXNzdWUyMTQwODM3MDQ=,24,[dialog]dialog
3322,MDU6SXNzdWUyMTIzMzM5MDE=,24,table safari
1054,MDU6SXNzdWUxODkwMzg5NTc=,24,Iconfont-awesome
17994,MDU6SXNzdWU1MTk2ODE2NDE=,23,[Bug Report] Typescript 3.7 declaration conflicts
16967,MDU6SXNzdWU0Nzg3Nzc5NTI=,23,"[Bug Report] When the El-cascade componet options changes the console print : Error in callback for watcher ""options"": ""TypeError: Cannot read property 'level' of null"""
3188,MDU6SXNzdWUyMTEyNzExODE=,23,pagination currentPage 
670,MDU6SXNzdWUxODU1NjE4NjI=,23,[Table]  rowSpan colSpan
8548,MDU6SXNzdWUyNzcyNzcwMjU=,22,"[Bug Report] DatePickerplaceholder=""""ie"
8047,MDU6SXNzdWUyNzEzNTQ0NTc=,22,"[Feature, Request] How to set multiple upload one by one?"
3217,MDU6SXNzdWUyMTEzODMzMzY=,22,el-form-itemform 
76,MDU6SXNzdWUxNzc2MjQ5NzQ=,22,
19066,MDU6SXNzdWU1ODkxMjQzOTE=,21,UI4
17391,MDU6SXNzdWU0OTE1MDAxMTc=,21,"[Bug Report] NavMenu 2.11.1, 2.12.0 uses recursive generation menus to report an overrun of the maximum stack"
13242,MDU6SXNzdWUzNzU3ODg2OTY=,21,[Bug Report] el-table under collapse component
7690,MDU6SXNzdWUyNjgwNzAyNDU=,21,[Bug Report] $attrs is readonly $listeners is readonly
3054,MDU6SXNzdWUyMTAyMDc5OTQ=,21,
2625,MDU6SXNzdWUyMDM4NjExMTg=,21,NavMenu  
2327,MDU6SXNzdWUxOTk4MTIwMjE=,21,el-form-item  prop please transfer a valid prop path to form item!
16745,MDU6SXNzdWU0NzMxNTAxMzg=,20,[Bug Report] el-cascader has a certain probability of failing to set default values in lazy mode
16085,MDU6SXNzdWU0NTY3MTQ2OTU=,20,[Bug Report] Cascader Component Version 2.9 bug
10810,MDU6SXNzdWUzMTYyNDY2MzA=,20,[Bug Report] <el-select> unexpected blur event
4292,MDU6SXNzdWUyMjI0NzU4MTk=,20,[Feature Request] datetime picker Window  mac
