Número da Issue,ID,Quant. comentários,Título
30,MDU6SXNzdWUxNzU2NDAzODA=,0,build problems
120,MDU6SXNzdWUxNzg1MDc5NDc=,0,NavMenu 
123,MDU6SXNzdWUxNzg1MTc0NjA=,0,
148,MDU6SXNzdWUxNzkwNzE3MTc=,0,npm
163,MDU6SXNzdWUxNzk0MzI4Nzc=,0,pagination style bug
170,MDU6SXNzdWUxNzk2NzQzOTI=,0,tabsbug
176,MDU6SXNzdWUxNzk2OTEzMzU=,0,Task `dist` should not lint until `build:file` has been run
210,MDU6SXNzdWUxODA0OTA2NDE=,0,rc5  time-picker  bug
221,MDU6SXNzdWUxODA2MzE1NDU=,0,Dialog  
280,MDU6SXNzdWUxODE4NzMzNjg=,0,upload
283,MDU6SXNzdWUxODE4NzM3MTU=,0,[RadioButton]
288,MDU6SXNzdWUxODE4Nzg1ODg=,0,Attribute `size` does not work for `el-autocomplete`
294,MDU6SXNzdWUxODE5MzA2NzY=,0,Tree 
319,MDU6SXNzdWUxODIxNzEzNjI=,0,time bug
338,MDU6SXNzdWUxODIyNDA1Mjk=,0,tree component support dom template will be better
426,MDU6SXNzdWUxODMwMzQ4MTE=,0,emailinput--1.0.0-rc.7
432,MDU6SXNzdWUxODMxODU3NTU=,0,dropdown-itemcommanddropdown @command
439,MDU6SXNzdWUxODMyNTMwMzg=,0,el-autocomplete  v-clickoutside 
444,MDU6SXNzdWUxODMzMTM2MzY=,0,input: inputiconicon
445,MDU6SXNzdWUxODMzMTQzOTE=,0,selectajaxel-tag
450,MDU6SXNzdWUxODMzMTg3Njg=,0,"CDN,UNPKG"
483,MDU6SXNzdWUxODM2MDY5MzU=,0,[BUG]el-meunel-menu-item templateel-menu-item
484,MDU6SXNzdWUxODM2MDcwMzE=,0,[BUG]DatePicker: 
490,MDU6SXNzdWUxODM2MzY0ODY=,0,
497,MDU6SXNzdWUxODM2ODkwNjQ=,0,[BUG] Inputautosize
504,MDU6SXNzdWUxODM4NjY4MzI=,0,[BUG]   el-input-number
505,MDU6SXNzdWUxODM4Njg0MzI=,0,[BUG] Breadcrumb  
518,MDU6SXNzdWUxODM5Mzk0NDY=,0,Input Number 
535,MDU6SXNzdWUxODQxNDMxNDM=,0,Unit Test List
546,MDU6SXNzdWUxODQxOTM1NjM=,0,el-input input attribute `autofocus` how to set?
564,MDU6SXNzdWUxODQ0MDc3MjI=,0,el-input: handleBlur 
597,MDU6SXNzdWUxODQ2OTE0NTA=,0,watch
634,MDU6SXNzdWUxODUwMjQwNTE=,0,checkbox-groupbabel-plugin-componentemit
642,MDU6SXNzdWUxODUxMTYxNDk=,0,el-menuvue-routeUncaught TypeError: Cannot read property 'push' of undefined
675,MDU6SXNzdWUxODU1OTEzMzE=,0,select placeholder 
680,MDU6SXNzdWUxODU2MTgxNzA=,0,typo
688,MDU6SXNzdWUxODU2ODkwMzE=,0,Dropdown (triggered by click) second and next openings only after double click
734,MDU6SXNzdWUxODYxODI0MDI=,0, Popover  focus
759,MDU6SXNzdWUxODYyNzA3MjI=,0,
766,MDU6SXNzdWUxODY0NjU2NTQ=,0,table  fixedbug
768,MDU6SXNzdWUxODY0NzgwODY=,0,Dropdown  z-index 
784,MDU6SXNzdWUxODY2OTc4MTE=,0,select
843,MDU6SXNzdWUxODc0ODIxNTA=,0,"""npm run submodule:fetch""  command not found. "
847,MDU6SXNzdWUxODc0ODc1OTk=,0,dialog  tab
876,MDU6SXNzdWUxODc2MzE0Njg=,0,el-radio-groupel-form-item
914,MDU6SXNzdWUxODc5Mzk2MzQ=,0,IE11 ChildNode.remove()  remove
1050,MDU6SXNzdWUxODkwMjY2NTc=,0,Datepicker: 
1069,MDU6SXNzdWUxODkxODA3MDU=,0,[DatePicker]size
1074,MDU6SXNzdWUxODkyOTIyOTg=,0,Popover  Tooltip  disabled 
1102,MDU6SXNzdWUxODk2MTkzMzY=,0,
