Número da Issue,ID,Quant. comentários,Título
206,MDU6SXNzdWUxMTg5NTM4OTQ=,7,Mark for unmaintained/deprecated libraries
305,MDU6SXNzdWUxNzMxMzY4MjA=,4,sort libraries in the sense of usage
577,MDU6SXNzdWUzOTQ4MDc1MDI=,3,contribute
395,MDU6SXNzdWUyNDAzMTk3NTY=,3,Add 19Q machine learning game
128,MDU6SXNzdWU2NjQ0ODExMQ==,3,Add following libraries
682,MDU6SXNzdWU2MDM4MDQxOTQ=,2,Ml
644,MDU6SXNzdWU1MDkzMDk1MjU=,2,Tracking experiments
551,MDU6SXNzdWUzNzIzODY2MjM=,2,Is there a place for language-agnostic tools?
505,MDU6SXNzdWUzMjY4MzQzODA=,2,May I translate this project into Korean?
498,MDU6SXNzdWUzMTg3NjIwNDA=,2,Add xLearn
493,MDU6SXNzdWUzMTI1NjkzMzA=,2,error on https://www.intechopen.com/books/machine_learning 
486,MDU6SXNzdWUzMDUzNjY0OTg=,2,Broken book link.
467,MDU6SXNzdWUyOTE2MjkwNTY=,2,Link to http://www.stat.cmu.edu/~cshalizi/ADAfaEPoV/ADAfaEPoV.pdf is now broken
427,MDU6SXNzdWUyNTk5MTEyNjg=,2,Add Podcasts
336,MDU6SXNzdWUxOTQ1ODU4MDY=,2,404 error for PRML
323,MDU6SXNzdWUxODUyMzE3MDc=,2,deep learning of patterns in multiple parallel time series
140,MDU6SXNzdWU3MzQ1MDE2Mg==,2,"Dead link: All of Statistics book, Probability and Statistics section"
105,MDU6SXNzdWU1MjMzMjI0OA==,2,Announcing getAwesomeness()
41,MDU6SXNzdWUzODAzNDAzNw==,2,"more to easy linked awesome-[python, go, ruby]"
687,MDU6SXNzdWU2MDcxNjI5MDM=,1,ML
620,MDU6SXNzdWU0ODEyMTE2NzE=,1,Please add links for Delphi langage
614,MDU6SXNzdWU0NTk1NzUxNDM=,1,Add the ANN lib called Konectik
605,MDU6SXNzdWU0NDE3ODI2MTg=,1,Add FluxML and JuliaText packages in Julia
564,MDU6SXNzdWUzODY1NjgwMDk=,1,Wiki is world editable
546,MDU6SXNzdWUzNzIxNzg0NjU=,1,A PyTorch-Based Framework for Deep Learning in Computer Vision
534,MDU6SXNzdWUzNjE1NTE1Njg=,1,another CL library
509,MDU6SXNzdWUzMzIxNTc0MDA=,1,README addition of clojure-mxnet
489,MDU6SXNzdWUzMDgyMjY4MDc=,1,Broken link of high performance text mining
485,MDU6SXNzdWUzMDM3NzY0NDU=,1,Add OpenNN
482,MDU6SXNzdWUzMDEzNjY4MTM=,1,D3.js
386,MDU6SXNzdWUyMzIwMTAxNjI=,1,REPLACE Brain [JavaScript]
385,MDU6SXNzdWUyMzEyOTE0NDk=,1,NLP.js seems obsolete
380,MDU6SXNzdWUyMzAxMTI5NjQ=,1,Text classification to .NET
343,MDU6SXNzdWUyMDI3ODU1NDU=,1,Missing seldon
342,MDU6SXNzdWUyMDA0Nzc2NjY=,1,emergent
330,MDU6SXNzdWUxODc1NDk0Nzc=,1,[Question] Can we add meetups / groups to this list?
322,MDU6SXNzdWUxODQ0MjAzNjg=,1,did not see SINGA
311,MDU6SXNzdWUxNzgwNjcyMDU=,1,http://bragisoft.com/  looks dead
286,MDU6SXNzdWUxNTgyODY0MDQ=,1,Confused which to take
247,MDU6SXNzdWUxMzE0Mzk2MjA=,1,Apache Storm not Included
245,MDU6SXNzdWUxMzEzNzI4NDc=,1,ClearNLP for a Java NLP tool
231,MDU6SXNzdWUxMjczODYxMTk=,1,Orange machine learning library in Python
213,MDU6SXNzdWUxMjI0MzQxMTc=,1,Microsoft's ML library
190,MDU6SXNzdWUxMTA0MzY0NTQ=,1,Consider including this...
185,MDU6SXNzdWUxMDk5MzExMTk=,1,Consider adding python repository
170,MDU6SXNzdWU5NjU4MjUyNA==,1,Update link to `Twitter-text-js`.
148,MDU6SXNzdWU4MTY1NjU5MQ==,1,vigra
147,MDU6SXNzdWU4MTY1MjYyMA==,1,opengm should appear in C++/Python
130,MDU6SXNzdWU2Njg4MDUwOQ==,1,AwesomeOpenSource
93,MDU6SXNzdWU0ODk2MjY3NQ==,1,Updating books list
