Número da Issue,ID,Quant. comentários,Título
8188,MDU6SXNzdWUyMDcwNDA3NDE=,99,Issues with recognition whilst using IP Stream only
4588,MDU6SXNzdWU5NzQyNTc0Ng==,66,Package a maven version of Java bindings
5874,MDU6SXNzdWUxMjM4MjUxOTA=,65,OpenCV 3.1.0 simple VideoCapture and waitKey crashes after a while on OS X 10.11.2
5667,MDU6SXNzdWUxMTY4NTEzNTk=,56,OpenCV3 python calls to FlannBasedMatcher::knnMatch fail with error
5150,MDU6SXNzdWU5OTY2MjQ1MQ==,53,OpenCV + Python multiprocessing breaks on OSX
4704,MDU6SXNzdWU5NzQzMDY2OA==,52,Portrait orientation on Android
10516,MDU6SXNzdWUyODYyMTE3ODc=,50,AttributeError: 'module' object has no attribute 'face'
9904,MDU6SXNzdWUyNjc0MjM0NzQ=,48,Failed to load mobilenet-ssd caffemodel.
7207,MDU6SXNzdWUxNzQyNjczMjY=,48,[$] PowerPC Power8 VSX SIMD optimizations
7263,MDU6SXNzdWUxNzU5ODM4MDA=,43,Suggestions for future GSoCs
4989,MDU6SXNzdWU5NzQ0MTcyMw==,39,CPU CascadeClassifier with HOG not working anymore with opencv 3.0.0.rc1
13848,MDU6SXNzdWU0MTEwNzkyMjg=,37,module 'cv2.cv2' has no attribute 'face'
11220,MDU6SXNzdWUzMTExOTU5MDQ=,36,Unable to enable Cudacodec VideoReader
9053,MDU6SXNzdWUyMzk3NzA3MzM=,36,"VideoCapture::set (CAP_PROP_POS_FRAMES, frameNumber) not exact in opencv 3.2 with ffmpeg"
5989,MDU6SXNzdWUxMjczODE1MTc=,36,It's not possible to use OpenCV headers unless they are installed into a system include path.
15278,MDU6SXNzdWU0Nzk0MDcxMTI=,35,Undefined reference to __atomic_xxx
14149,MDU6SXNzdWU0MjUyMDM3ODU=,34,"c++ opencv4.01 called  tensorflow inception-v4 model ,readNetFromTensorflow ERROR!"
8429,MDU6SXNzdWUyMTU5MzU4NzY=,32,Stitcher not working on the real Windows Phone (Lumia 950) but works fine on emulator
6262,MDU6SXNzdWUxNDA3NDM2MDg=,32,ubuntu trusty 14.04 --> cannot compile opencv 3.1.0 >> cmake videoio.h not found (but all libv4l packages are installed and updated)
13154,MDU6SXNzdWUzODA0MDQ3NTE=,31,4.0.0 does not produce pkgconfig file
8428,MDU6SXNzdWUyMTU3NzM0ODQ=,31,Half precision floating point support.
7343,MDU6SXNzdWUxNzkyNjY1NDQ=,31,cv2.imshow() freezes
6132,MDU6SXNzdWUxMzQzMjYzMTk=,31,Error compiling OpenCV - CMake
5715,MDU6SXNzdWUxMTg5ODM0NjY=,31,"memory leak with videocapture, memory goes up with the function of read(image)"
16380,MDU6SXNzdWU1NTE4MDU1NDk=,30,Could NOT find CUDNN (missing: CUDNN_LIBRARY CUDNN_INCLUDE_DIR)
16662,MDU6SXNzdWU1NzAyOTUzMTA=,29,Error while loading pytorch model in opencv
10771,MDU6SXNzdWUyOTQxMzgzNzI=,29,Cannot make install opencv from origin/master on ubuntu 17.10
7970,MDU6SXNzdWUxOTg5Mzk2MTQ=,29,libopencv_core.so.3.2.0: undefined reference to `dpotrf_'
5003,MDU6SXNzdWU5NzQ0MjEzNQ==,29,Support for Android Studio
5930,MDU6SXNzdWUxMjUzMjU1Mzk=,28,Building Opencv with ffmpeg built from source gives linking errors
5546,MDU6SXNzdWUxMTIxMzAyNDg=,28,OpenCV 3.0.0 configure fails - ffmpeg download error
16475,MDU6SXNzdWU1NTgyODYxMjQ=,27,error when load onnx model
16433,MDU6SXNzdWU1NTUxMDgwODI=,27,GpuMat as input/output to cv::dnn::Net
15299,MDU6SXNzdWU0ODA2MzY5NDY=,27,Building OpenCV.js with projectPoints + solvePnP
9830,MDU6SXNzdWUyNjQ1MDgwNjc=,27,Unknown layer type Cast in op ToFloat in function populateNet
7652,MDU6SXNzdWUxODg2NTczNTM=,27,Makefile:160: recipe for target 'all' failed make: *** [all] Error 2
13202,MDU6SXNzdWUzODE5OTcwNzI=,26,OpenCV 3.4.4 Python binding
8460,MDU6SXNzdWUyMTY5NTY4Njk=,26,"SDK Tools, Revision 25.3.0 and OpenCVDetectAndroidSDK.cmake"
6542,MDU6SXNzdWUxNTQ5MTQzOTM=,26,cannot find -lopencv_dep_cudart
5744,MDU6SXNzdWUxMjAxNzE5NDI=,26,"Error running link command, OpenCV 3.0.0 with ICC (libopencv_hal.a)"
5243,MDU6SXNzdWUxMDI4NDM1ODc=,26,samples/android/tutorial-4-opencl: compilation and runtime issues
14691,MDU6SXNzdWU0NTEwNTgwOTI=,25,"shared:ERROR: If pthreads and memory growth are enabled, WASM_MEM_MAX must be set"
13050,MDU6SXNzdWUzNzc2MzQ4Mjk=,25,Error loading faster rcnn using opencv
5970,MDU6SXNzdWUxMjY2NzU0MjA=,25,cv::cuda::CascadeClassifier returns empty objects
5447,MDU6SXNzdWUxMDk2OTI0MDA=,25,Cannot import cv2 because unsafe use of relative rpath lib in cv2.so with restricted binary
16568,MDU6SXNzdWU1NjQzOTEzNjM=,24,Faster-RCNN Caffe Inference with OpenCV
15452,MDU6SXNzdWU0ODkyNTM1NDE=,24,net can't forward again?
13000,MDU6SXNzdWUzNzYwMDE0MjQ=,24,"Undefined reference to cv::imread(std::string const&, int)"
12831,MDU6SXNzdWUzNjk5ODY4MDA=,24, error: 'posix_memalign' was not declared in this scope
11452,MDU6SXNzdWUzMjAwMTc5OTI=,24,Error Loading .pb model from readNetFromTensorflow
