Número da Issue,ID,Quant. comentários,Título
14,MDU6SXNzdWU1NjcyNjA5,0,Difference between jQuery (YUI / Dojo / Ext.js) and Prototype.js (Mootools)
21,MDU6SXNzdWU3MDM0OTU4,0,How do you use Dromaeo to test *your* code performance?
41,MDU6SXNzdWUxMTIzNjcwMw==,0,Question: What is the mean for?
58,MDU6SXNzdWUxNDE5ODEwMQ==,0,"Spelling error: ""consistant"" in README.d"
87,MDU6SXNzdWUyMTI0MDQ5Nw==,0,Add more questions and references
113,MDU6SXNzdWUyNTI3MDYyMA==,0,typo in german
121,MDU6SXNzdWUyNjI5NTY5Mw==,0,Additional questions
159,MDU6SXNzdWUzOTkwMTMxMg==,0,Add Angular questions
160,MDU6SXNzdWUzOTkwMTMxNw==,0,Add Ember questions
162,MDU6SXNzdWUzOTkwMTMyNQ==,0,Add CSS3 transition questions
345,MDU6SXNzdWUxMzM1NDA1NzU=,0,Translations in Finnish
350,MDU6SXNzdWUxNDMxNzg3Mzc=,0,HTML Question: What is a major benefit of using a grid system as opposed to traditional systems?
357,MDU6SXNzdWUxNjIwOTk0NDE=,0,AlADIN
444,MDU6SXNzdWUyOTA2ODA0MDQ=,0,Re-organize questions
446,MDU6SXNzdWUyOTA2ODE0ODk=,0,Praise all contributors
534,MDU6SXNzdWU0ODM3MzEzODI=,0,I can do translation to Portuguese?
7,MDU6SXNzdWUzNjEyOTk1,1,incomplete list of falsey values given as an answer
26,MDU6SXNzdWU3NjU2ODk4,1,
35,MDU6SXNzdWU5MDUwNDQ5,1,Anything like this for backend developers?
96,MDU6SXNzdWUyMzI1NDUzMw==,1,Duplicate jquery question
110,MDU6SXNzdWUyNTEwNzE3MQ==,1,Add Bulgarian translation
114,MDU6SXNzdWUyNTM4MDE2NA==,1,2014 Front-end-Developer-Questions 
158,MDU6SXNzdWUzOTkwMTMwOQ==,1,Add Backbone questions
186,MDU6SXNzdWU1MTQ1MDgxNw==,1,Include question regarding difference between CSS and CSS3
229,MDU6SXNzdWU1NDk2NjAzNA==,1,"Spell ""lasagna"" so the palindrome works"
231,MDU6SXNzdWU1NTExODYwOA==,1,Add questions on AngularJS/EmberJS or generic client side MV* frameworks..
234,MDU6SXNzdWU1NTM4OTg2Nw==,1,"""What's the difference between feature detection, feature inference, and using the UA string"""
235,MDU6SXNzdWU1NTQ5MDk5Nw==,1,Spelling error in CONTRIBUTING.md
258,MDU6SXNzdWU1NzYyOTk4MQ==,1,Join us on The Changelog (today?)
263,MDU6SXNzdWU1ODU4NDg0Mg==,1,Weird question (again)
266,MDU6SXNzdWU1ODgyMDUzNQ==,1,"Use of semi-obscure acronyms, question phrasing"
312,MDU6SXNzdWU5NTQ5NTYxNw==,1,Review the Russian translation 
319,MDU6SXNzdWUxMDEyMjI3Mzc=,1,Supply answers to the questions
382,MDU6SXNzdWUyMTY1NjMxMTM=,1,Persian or Farsi translation
396,MDU6SXNzdWUyMzc4NDk4Njk=,1,Asp.Net Core with redis implementation gives 502 Error for high traffic
449,MDU6SXNzdWUyOTA3MDIwODU=,1,automate translations
455,MDU6SXNzdWUyOTQ5OTc4Mjk=,1,Suggested Answers?
471,MDU6SXNzdWUzMTMwMzc2NTM=,1,Suggested Q: Memory implications of using closure methods vs prototype methods
472,MDU6SXNzdWUzMTM1MjM2ODQ=,1,Suggested Question: How can you create custom attribute for an html element?
477,MDU6SXNzdWUzMjU4MjYxNzQ=,1,Accessibility questions?
511,MDU6SXNzdWU0MTI3MTIxMjY=,1,Clean Up This Repo
517,MDU6SXNzdWU0Mzc2OTkwNjM=,1,Dated Questions -- Needs Revising
518,MDU6SXNzdWU0MzgwOTI3MjY=,1,I changed some lines and then updated the repository. But I can't see the changes on my website. why?
531,MDU6SXNzdWU0NzE4OTA2MTI=,1," The history of this project... (ie. creators, maintainers & contributors)"
30,MDU6SXNzdWU3ODE2Mzk2,2,
109,MDU6SXNzdWUyNTA5NTgzOQ==,2,Serbian translation is like Croatian
128,MDU6SXNzdWUyODEyODk0OA==,2,Questions re: UI regression testing
178,MDU6SXNzdWU0NjQ4OTA2OQ==,2,Missing license information
217,MDU6SXNzdWU1MzgwOTk0OQ==,2,Why am I not listed as a contributor?
221,MDU6SXNzdWU1NDAwNjgzMQ==,2,Add 1 general question
