Número da Issue,ID,Quant. comentários,Título
37,MDU6SXNzdWU5NzUxODE1NA==,0,"Remove software using third party, cloud-based backends?"
65,MDU6SXNzdWU5Nzk0MjY5OA==,0,Static sites generators section is gone
139,MDU6SXNzdWU5ODc1NDUxNQ==,0,Add Publify (Blogging Platforms)
141,MDU6SXNzdWU5ODc2NTM2OQ==,0,Check and merge juandecarrion/awesome-self-hosted
147,MDU6SXNzdWU5ODg1ODUwMA==,0,Add Gobby
161,MDU6SXNzdWU5ODk5OTM1OA==,0,Split File Sharing and Synchronization
205,MDU6SXNzdWUxMDA4MzQxMzM=,0,Add MediaDrop
217,MDU6SXNzdWUxMDE0NTM3NDc=,0,Check FreedomBox/LeavingTheCloud for more software
224,MDU6SXNzdWUxMDI0MTUxMDM=,0,Check FreedomBox/ExampleProjects for more software
243,MDU6SXNzdWUxMDQ5MzQ1NTQ=,0,Add Mibew
249,MDU6SXNzdWUxMDQ5NjcyNDQ=,0,Add Rocket Chat
250,MDU6SXNzdWUxMDQ5NjczNTQ=,0,Add Niltalk
251,MDU6SXNzdWUxMDQ5Njc3MzM=,0,Add Niltalk
252,MDU6SXNzdWUxMDQ5NjgyNzg=,0,Add Gistie and FWgist
253,MDU6SXNzdWUxMDQ5Njg2NDc=,0,Add h5ai
254,MDU6SXNzdWUxMDUzNDg2OTM=,0,Add Ring
260,MDU6SXNzdWUxMDU2ODgwNDE=,0,Add ViMbAdmin
264,MDU6SXNzdWUxMDYxNDU3MDc=,0,Add inventaire.io
265,MDU6SXNzdWUxMDY0NDkyNjQ=,0,Add Kallithea
266,MDU6SXNzdWUxMDY0NDk0ODE=,0,Add SCM Manager
267,MDU6SXNzdWUxMDY0NjEzODQ=,0,Add Bonobo Git Server
269,MDU6SXNzdWUxMDY4MzI1NjQ=,0,Add Gitblit
275,MDU6SXNzdWUxMDgxODE0MTY=,0,Add Hack Chat
278,MDU6SXNzdWUxMDgxODMzODU=,0,Add Scrollback
279,MDU6SXNzdWUxMDgxODc0NTU=,0,Add Pastedown
284,MDU6SXNzdWUxMDg2OTI0OTA=,0,Add Piler
287,MDU6SXNzdWUxMTAyNjM0MjU=,0,Add Youtransfer
293,MDU6SXNzdWUxMTA3MTQ1MjY=,0,rename Media streaming to Video streaming
296,MDU6SXNzdWUxMTA3OTI1MjA=,0,add Apaxy
303,MDU6SXNzdWUxMTA3OTI5MDE=,0,Add MoonMoon
305,MDU6SXNzdWUxMTA3OTI5NDI=,0,Add RSS-Bridge
306,MDU6SXNzdWUxMTA3OTI5NjI=,0,reep.io
307,MDU6SXNzdWUxMTA3OTI5Nzg=,0,Add AmIUnique
308,MDU6SXNzdWUxMTEwNDgzMjY=,0,Add OpenEats
314,MDU6SXNzdWUxMTE4OTQ1MzA=,0,Add Git Webui
318,MDU6SXNzdWUxMTE5Njc0ODU=,0,Add Opentracker
319,MDU6SXNzdWUxMTE5Njc2MDc=,0,Add CUPS print server
324,MDU6SXNzdWUxMTI0OTM5MDQ=,0,Add ipfs.pics
341,MDU6SXNzdWUxMTYxODU1MzE=,0,Remove ChiliProject
342,MDU6SXNzdWUxMTYxODc2MzQ=,0,Update Gitprep Links
356,MDU6SXNzdWUxMTgyMjM5NTM=,0,Add Miaou chat server
388,MDU6SXNzdWUxMjQ4NTU0MzI=,0,Weekly Unmaintained Project Check (Week of 04.01.16)
389,MDU6SXNzdWUxMjQ4NTY0MDE=,0,Weekly Unmaintained Project Check (Week of 04.01.16)
425,MDU6SXNzdWUxMjk1MjU4MjI=,0,Add License LGPL
448,MDU6SXNzdWUxMzM0MTI5MzM=,0,Find a FLOSS self-hosted replacement for ReCaptcha
461,MDU6SXNzdWUxMzQ4ODQ3ODY=,0,Add a helper script to add new entries
562,MDU6SXNzdWUxNTgyNjIxNDY=,0,add hashover
611,MDU6SXNzdWUxNjQxMTcyMDI=,0,Add Serposcope
673,MDU6SXNzdWUxNzIzOTYwMTQ=,0,Roadiz improperly labeled
677,MDU6SXNzdWUxNzI0MzAwMDY=,0,Add OXID eShop to E-commerce
