Número da Issue,ID,Quant. comentários,Título
89,MDU6SXNzdWU5ODQ4NTg0OA==,53,General Project Discussion
1767,MDU6SXNzdWU0NzkxMDY0OTg=,25,"Remove dead links, unmaintained projects, syntax/formatting issues"
381,MDU6SXNzdWUxMjMzNDEzODY=,23,Weekly Unmaintained Project Check (Week of 21.12.15)
875,MDU6SXNzdWUxOTI1MDMzNTg=,18,Validate Pull Requests with a Continuous Integration system
282,MDU6SXNzdWUxMDg2NjYxNTA=,18,Propose: Form to help PR
63,MDU6SXNzdWU5NzkzNzM4MA==,16,Find and remove unmaintained projects
1684,MDU6SXNzdWU0NDA1MDg1MzM=,14,"Tags, labels, better presentation, more metadata, search/filtering tools... -> website"
1578,MDU6SXNzdWUzODM2NjI5ODY=,14,concerned about the security of some software in the list
465,MDU6SXNzdWUxMzUyMzkyMTI=,14,Domain for Awesome-Selfhosted related sites
1468,MDU6SXNzdWUzNDA5MjYyMzc=,11,Is cloudron still awesome?
1038,MDU6SXNzdWUyMjM0NzgyODc=,11,Use a machine-readable format to hold the list data
1030,MDU6SXNzdWUyMjA5MzgxMTQ=,10,Add Runalize
998,MDU6SXNzdWUyMTcxMzczMjc=,9,Add Vaultier
2029,MDU6SXNzdWU1ODYxMDYwMjc=,8,"Another awesome sublist would be browser ie: ""client side hosted"" web applications"
1488,MDU6SXNzdWUzNTU4MzI4NzQ=,8,Add IG Monitoring Instagram Analytics and Stats
788,MDU6SXNzdWUxNzcyNDg4NjU=,8,Add visualCaptcha
8,MDU6SXNzdWU4NTg5NzM2NA==,8,closed source apps are not awesome
1127,MDU6SXNzdWUyNDYwNDI5ODE=,7,Add Bittytorrent
1118,MDU6SXNzdWUyNDUxOTI3MDg=,7,comparison table for Photo and Video Galleries
471,MDU6SXNzdWUxMzY3NzM3NTE=,7,Missing Licenses
214,MDU6SXNzdWUxMDE0MTA1NTM=,7,"Can I add ""Cloud computing""?"
192,MDU6SXNzdWU5OTk4Mzk1OQ==,7,Add textbelt for self hosted SMS/text messaging?
1852,MDU6SXNzdWU1MTE2Mjg2OTY=,6,Continuous Integration checks (travis/gitlab-CI/drone/...)
1352,MDU6SXNzdWUzMDkwODM2OTg=,6,Add awesome-public-datasets to external links
1201,MDU6SXNzdWUyNjI2OTA1NzA=,6,List indentation is inconsistent
1090,MDU6SXNzdWUyNDAwMDAyMDQ=,5,Add Filerun
941,MDU6SXNzdWUyMDIxMTIxNTg=,6,Add Cuttlefish email tracker
935,MDU6SXNzdWUyMDEwMjgwODM=,6,Add MumbleDJ
548,MDU6SXNzdWUxNTI3MjcwNTQ=,6,Add a dummy DNS servers section
427,MDU6SXNzdWUxMzAzODg3NTc=,6,Add HRM systems
368,MDU6SXNzdWUxMjE5MjIzMTY=,6,Add NethServer
320,MDU6SXNzdWUxMTE5NjgxMDM=,6,Add OpenSSH/SFTP
257,MDU6SXNzdWUxMDU2ODcyNTQ=,6,Add PHPBack
173,MDU6SXNzdWU5OTI2NjQwMQ==,6,Add Encryptr (Password Managers)
14,MDU6SXNzdWU4OTQzNTEzMQ==,6,Add a programming language tag?
1737,MDU6SXNzdWU0NjU1MzIwMTk=,5,Add Botpress
1482,MDU6SXNzdWUzNDYyODE4MDY=,5,Add Algo to VPN section
1466,MDU6SXNzdWUzMzk2MTg3OTk=,5,Add HRConvert2
1362,MDU6SXNzdWUzMTMyNzQxNDY=,5,Keratin AuthN
1290,MDU6SXNzdWUyODY5OTc3MDc=,5,actor.im no longer active
977,MDU6SXNzdWUyMTE5MDU0MjA=,5,Add mStream
888,MDU6SXNzdWUxOTQyMTM3NjQ=,5,AUTHORS file out of date
433,MDU6SXNzdWUxMzEzNjUyMDg=,5,add hydrus network
378,MDU6SXNzdWUxMjI5OTk3NTI=,5,Validate pull requests with Travis
270,MDU6SXNzdWUxMDY4OTY3ODk=,5,Add GitGrep
127,MDU6SXNzdWU5ODcyMzUxOQ==,5,Reduce overlap with awesome-sysadmin
114,MDU6SXNzdWU5ODY0MTA5NQ==,5,Awesome Badge Display
1902,MDU6SXNzdWU1MzM2MTczOTk=,4,Add Stretto under Audio Streaming
1728,MDU6SXNzdWU0NjIxODQxOTc=,4,Ability to have users rate the self-hosted items
1712,MDU6SXNzdWU0NTI1MTk4MDk=,4,Add distbin
