Número da Issue,ID,Quant. comentários,Título
3,MDU6SXNzdWUyMTM1NzY2MjE=,0,Big O Notation image
45,MDU6SXNzdWUyNTU2OTE0MDI=,0,https://github.com/cmgraff/grafland
56,MDU6SXNzdWUyNzU2NzY5Mjg=,0,Alternate code for AllPermutations
59,MDU6SXNzdWUyODA3NzE5NDI=,0,Dijkstra's Time Complexity
106,MDU6SXNzdWUzNzAxMTEwMDA=,0,Translation
107,MDU6SXNzdWUzNzE2MjAwMTA=,0,BFS and DFS illustration images should be in respective sections
124,MDU6SXNzdWU0NTE3NzY2NTc=,0,leetcode/array/LongestConsecutiveSequence.java
127,MDU6SXNzdWU0NjQ2MzYwMzg=,0,Open a cataloginterviews/company/Alibaba
129,MDU6SXNzdWU0NzY1ODk3OTY=,0,"Master is not compiling, Missing import statements(Java 8)"
152,MDU6SXNzdWU1MzY5Mjk1MzQ=,0,Compilation Error in FindMissingInteger class
154,MDU6SXNzdWU1NDc5OTg1MjA=,0,Bug in google/3sumsmaller
155,MDU6SXNzdWU1ODU3NTQ0NDk=,0,Code missing 
157,MDU6SXNzdWU2MDA4MTU5ODk=,0,1Flink 42 (141624)
158,MDU6SXNzdWU2MDU4OTY3NDM=,0,binary search tree
10,MDU6SXNzdWUyMTM2MzMzNTQ=,1,remove (min/max) heap
11,MDU6SXNzdWUyMTM2MzQ5MDI=,1,links to the ACM
26,MDU6SXNzdWUyMTU5NDEzNzQ=,2,Add Elements of Programming Interviews Book
85,MDU6SXNzdWUzMjQ1MDU2MDk=,1,Heap image is misleading
99,MDU6SXNzdWUzNTgzNzQ1Mjc=,1,Replace String Concatenation with StringBuilder
101,MDU6SXNzdWUzNjA1ODU5NzY=,1,tips?
108,MDU6SXNzdWUzNzI1NzY2ODU=,2,null
118,MDU6SXNzdWU0MTIxOTI3MjM=,1,BST incorrect time complexity 
144,MDU6SXNzdWU1MTA0MzgxMjc=,1,Adding more problems for Adobe
12,MDU6SXNzdWUyMTM2NjE5NDA=,2,Could I translate this document into Chinese and share with more Chinese developers?
15,MDU6SXNzdWUyMTM4MzEzMDU=,2,Dynamic / Memoization 
46,MDU6SXNzdWUyNTU3NzA3Njc=,2,UC Berkley YouTube channel removed lecture videos
61,MDU6SXNzdWUyOTE3NDg1NjE=,2,Add C++ solutions for CTCI
63,MDU6SXNzdWUyOTU1MDUyMzc=,2,Specify the license
66,MDU6SXNzdWUzMDYxMjIzNzU=,2,Update Java code to follow Java 8 syntax
91,MDU6SXNzdWUzNDcxODM4Mzc=,2,interviews/company/facebook/GroupAnagrams.java
100,MDU6SXNzdWUzNTgzNzQ3NDg=,2,Add implementation of BST Iterator using queue
109,MDU6SXNzdWUzNzkzNDg5Mzg=,2,run length encoding
112,MDU6SXNzdWUzODU5NzM0MTI=,2,WordBreak
114,MDU6SXNzdWUzOTUwNzU0MTE=,2,Add Computer Science Learning Notes
156,MDU6SXNzdWU1OTc1MDk0MDk=,2,NPE bugs in MaximumProductOfWordLengths.java and RemoveDuplicatesFromSortedArray.java
123,MDU6SXNzdWU0NTE1OTY2ODA=,3,How did you guys visualize all those algorithms?
125,MDU6SXNzdWU0NTI1NDgyMjc=,3,Hi ValidParentheses.java 
5,MDU6SXNzdWUyMTM1OTAxMDU=,4,bitmasks
52,MDU6SXNzdWUyNjE5MDU4NTg=,4,Complexity of Dijkstra's and Prim's
122,MDU6SXNzdWU0NDMxMTQ3MDE=,4,SearchInRotatedSortedArray Invalid Solution
94,MDU6SXNzdWUzNTAxOTIxNjg=,6,leetcode/hash-table/TwoSum.java
35,MDU6SXNzdWUyMjE0NjQ5NTc=,7,Adding a direct link to code in directory tree in readme.md
44,MDU6SXNzdWUyNTU0MDczMTE=,10,Incorrect (?) time complexities for Heap operations
