Número da Issue,ID,Quant. comentários,Título
6654,MDU6SXNzdWUzNDMzODY0ODk=,156,[gatsby-source-wordpress] Large WordPress site causing extremely slow build time (stuck at 'source and transform nodes')
12272,MDU6SXNzdWU0MTY2NTU2MTI=,131,[bug]  umbrella issue for schema customization issues
408,MDU6SXNzdWUxNzM2MDE4Mjk=,128,Gatsby logo/branding
22991,MDU6SXNzdWU1OTc3MDY1NTA=,114,Gatsby Recipes Umbrella Issue
11524,MDU6SXNzdWU0MDYxMDUyMDE=,112,Missing resources for /
312,MDU6SXNzdWUxNTg1NzEwOTY=,112,Using React components in Markdown source
1500,MDU6SXNzdWUyNDI4NTE3MDM=,101,Gatsby t-shirt design contest
1199,MDU6SXNzdWUyMzY2ODQ5MTY=,97,[1.0] Plugins wishlist (and example sites)
6291,MDU6SXNzdWUzMzgyMjg2MTg=,95,Errors when processing large(ish) numbers of images with gatsby-plugin-sharp 
17131,MDU6SXNzdWU0ODYxNDM3MTY=,94,"[fsevents bug] Stuck at ""source and transform nodes"" / ""createPagesStatefully"" on MacOS"
3344,MDU6SXNzdWUyODQ2NDg2NjU=,92,[Discussion] Feature: GraphQL schema snapshots for all data sources to solve undefined/empty data issues
21995,MDU6SXNzdWU1NzY0NzgzMjg=,88,[Umbrella] TypeScript Migration (Help wanted!)
18404,MDU6SXNzdWU1MDQ4NDE1MTk=,81,How to populate a React Context File with MDX data and asset files from a GraphQL query?
11198,MDU6SXNzdWU0MDE1MzczNzE=,81,"Build fails after with ""Unexpected token"" in `async-requires` after upgrade to 2.0.84"
3853,MDU6SXNzdWUyOTQyMDU4OTQ=,74,Add an official guide for internationalizing websites with Gatsby
13442,MDU6SXNzdWU0MzQ2OTE5Mjk=,70,"Build fails, when processing large images"
16455,MDU6SXNzdWU0NzgzNzA0NDg=,69,"Unknown type ""ContentfulFixed"". Did you mean ""ContentfulBlogPost"", ""ContentfulContentType"", or ""ContentfulBlogPostEdge""?"
4337,MDU6SXNzdWUzMDE4NTkzOTU=,68,Disable Client-Side Routing?
6127,MDU6SXNzdWUzMzUxMzk2MTE=,66,[v2] Guidelines around layout changes
5030,MDU6SXNzdWUzMTUyOTUyMTc=,66,Docs enhancement - add a copy button to code examples 
8560,MDU6SXNzdWUzNjQwODY3NzI=,65,gatsby build results in different CSS to that of gatsby develop
11364,MDU6SXNzdWU0MDM5ODgxOTQ=,64,gatsby-source-contentful: Maximum call stack size exceeded
4261,MDU6SXNzdWUzMDA2MDk3MTY=,64,[EPIC] Graphql schema refactor
1878,MDU6SXNzdWUyNTE5ODg4Mjg=,63,Configurable output folder
5990,MDU6SXNzdWUzMzMyNjk2ODA=,62,gatsby-plugin-netlify-cms: Usage with gatsby-image?
1767,MDU6SXNzdWUyNDk1NDg0OTY=,62,events.js:182       throw er; // Unhandled 'error' event
2819,MDU6SXNzdWUyNzE2NTcwODU=,61,"Since adding a static asset, HMR fails and development mode stops working"
9899,MDU6SXNzdWUzODAwNTQ3NzI=,60,Unchecked runtime.lastError: The message port closed before a response was received.
3067,MDU6SXNzdWUyNzc3MjcxMjI=,59,Issues with domreadyanimation flickering on page load.
8056,MDU6SXNzdWUzNTkwODQ2Nzg=,58,Gatsby build on Netlify fails(Image generation): Command did not finish within the time limit
7373,MDU6SXNzdWUzNTExNzQ1ODE=,58,Building large amount of pages (~16k) on Gatsby V2 performance issues
4392,MDU6SXNzdWUzMDI4NDY5MjA=,58,Site Showcase 
1509,MDU6SXNzdWUyNDMwNjU5NTg=,57,gatsby-plugin-sharp responsiveSizes maxWidth resizes to larger than the original
11406,MDU6SXNzdWU0MDQ1NTM2Mjc=,55,"Error: ENOSPC: System limit for number of file watchers reached, watch '/home/foldername/abcrypto/static'"
9911,MDU6SXNzdWUzODA0NDk0OTk=,55,Inconsistent CSS Styling Differs Between gatsby develop and build - Why?
15080,MDU6SXNzdWU0NTk4OTA3MDA=,54,Why are page-data.json files not content hashed?
5002,MDU6SXNzdWUzMTQ2NDc3MTA=,53,question - incremental builds support = part II
175,MDU6SXNzdWUxMzkwNTQ4NjU=,53,"Is Gatsby designed to support large (10,000+) article wikis?"
15601,MDU6SXNzdWU0NjYzNjY1MDk=,52,Upgrade core-js package to version 3
11179,MDU6SXNzdWU0MDExMjI3MzE=,52,gatsby-source-wordpress content image
10347,MDU6SXNzdWUzODg3MDE5NTg=,52,gatsby-wordpress-source image localFile null / if i add new Image somewhere on the page another Posts Image localFile becomes null
1754,MDU6SXNzdWUyNDkxOTAxNzI=,52,gatsby-plugin-sharp dependency problem?
10482,MDU6SXNzdWUzOTEzMzcwMzI=,51,[feat]: add ability to pass variables to StaticQuery
3003,MDU6SXNzdWUyNzYyMjM4MjU=,51,Plugin Library lo-fi sketch
15190,MDU6SXNzdWU0NjE2OTUwNTc=,50,Gatsby@2.11.0 Build failure (JavaScript heap out of memory)
14875,MDU6SXNzdWU0NTc1NTYxOTk=,50,Error: Cannot find module 'gatsby-cli/lib/reporter'
7454,MDU6SXNzdWUzNTE5MTYyMDg=,49,[v2] Navigating to previously visited pages with <Link> retains scroll position
3830,MDU6SXNzdWUyOTQwMTc4MDM=,49,[RFC] remove our special layout components in Gatsby v2
3183,MDU6SXNzdWUyODEwMTk5MjQ=,49,Gatsby develop command error
8237,MDU6SXNzdWUzNjEwNzIxMTQ=,48,Material-UI and Gatsby v2 - hot reload does not work for styles
