Número da Issue,ID,Quant. comentários,Título
463,MDU6SXNzdWU3NDg1MjAw,180,Duration missing features
1754,MDU6SXNzdWUzNzA1NDUzNg==,163,make moment mostly immutable
4216,MDU6SXNzdWUyNjQxNzA3NDA=,146,"Webpack Error: Cannot find module ""./locale"" after updating to 2.19.0"
1407,MDU6SXNzdWUyNTM0MzIyOA==,136,Be careful when falling back to Date constructor
2373,MDU6SXNzdWU3NTk1NTM4MA==,119,"Modularize moment.js, make the core as light as possible"
1048,MDU6SXNzdWUxOTAwODM4Mw==,117,duration formatting
348,MDU6SXNzdWU1MjM2MTkx,110,Feature request: A more accurate .humanize
2608,MDU6SXNzdWUxMDY0MTEzMDg=,97,How can I import momentjs in es6?
5484,MDU6SXNzdWU2MTA1NzQ1Njk=,68,Uncaught Error: Cannot find module './locale'
4505,MDU6SXNzdWUzMDYzOTQ0Mjg=,51,'./locale' path not found in moment/src/lib/locale/locales.js
3763,MDU6SXNzdWUyMDc2MDk1MTg=,48,"[TypeScript] ""error TS2304: Cannot find name 'moment'"" when used with ""module"":""none"""
2979,MDU6SXNzdWUxMzU0OTc3NDg=,47,"moment with locales: ""./locale"" not found"
5486,MDU6SXNzdWU2MTA1ODI1NDE=,45,TS2307: Cannot find module 'moment'. 
3624,MDU6SXNzdWUxOTE1NzU1OTg=,42,"en, en-US locales"
1805,MDU6SXNzdWUzODkzNzM0OA==,42,Support invalid durations
5472,MDU6SXNzdWU2MDgxNTU2OTE=,40,Can't resolve './locale'
2285,MDU6SXNzdWU2MzEwMzE4NQ==,39,Problems with momentjs in Meteor 1.0.4.1
5489,MDU6SXNzdWU2MTA2ODIwOTA=,35,Webpack - Critical dependency: the request of a dependency is an expression with 2.25.0
2883,MDU6SXNzdWUxMjU3NzM3ODM=,34,some kind of bug
1875,MDU6SXNzdWU0MDc5NjAwOA==,32,moment.locale(String) doesn't change locale globally
162,MDU6SXNzdWUzMTE1NDM2,32,Unable to find timezone abbreviation from Date.prototype.toString()
1435,MDU6SXNzdWUyNjEwMDU5Mw==,31,Add usage instructions with webpack
1779,MDU6SXNzdWUzODExMzA2Mw==,30,s/zone/offset
2164,MDU6SXNzdWU1NDUzODY2Nw==,28,Control over isBetween's exclusivity/exclusivity behavior
1095,MDU6SXNzdWUxOTUyMTU5MQ==,28,Requirejs module name: make it empty so that we can use a different one?
1428,MDU6SXNzdWUyNTg3ODgxMg==,26,Danish date/time formats needs adjustment.
1423,MDU6SXNzdWUyNTgxNTYwNA==,26,"Chrome crash, ""Aw, Snap!"" error"
383,MDU6SXNzdWU2MDA0NjE1,26,"would like to add support for Nepali language, but stuck on am/pm"
2517,MDU6SXNzdWU5NzU0NDMzMw==,25,How to load only locales i want?
4163,MDU6SXNzdWUyNTYxOTU5MTE=,24,Vulnerable Regular Expression
3376,MDU6SXNzdWUxNzE1MzM2MDI=,24,NPM package size of moment.js is bothersome
3116,MDU6SXNzdWUxNDg5NjMxNTg=,24,Overflow with 12h format.
2530,MDU6SXNzdWU5ODU4ODk1MQ==,24,Official support for parsing RFC2822 dates
275,MDU6SXNzdWU0MDg3NTI3,24,moment.utc(string) parses ISO8601 as local time when timezone is missing
4218,MDU6SXNzdWUyNjQxOTg0OTI=,23,Getting webpack error after update to 2.19.0
1879,MDU6SXNzdWU0MDk3NDUzOQ==,23,Is `localeData` chainable?
1120,MDU6SXNzdWUxOTc0MDI4OA==,22,False Date Parsing
727,MDU6SXNzdWUxMzE2OTY5NQ==,22,"startOf/endOf(""week"") are not locale aware"
4422,MDU6SXNzdWUyOTI5NjMwMzM=,21,How to change locale in momentJS in React Native?
3960,MDU6SXNzdWUyMjgzMzYwNTM=,21,Invalid ISO string for durations with mixed sign
3124,MDU6SXNzdWUxNDkyMzk5MzU=,21,Uncaught TypeError: Array.prototype.some called on null or undefined
1947,MDU6SXNzdWU0NDA4MTM3NA==,21,Add / subtract workdays
482,MDU6SXNzdWU3OTI3Mzg5,21,Dealing with timezones in moment.js
3617,MDU6SXNzdWUxOTEwMzg3Mzc=,20,Breaking changes in moment.d.ts type definition
2416,MDU6SXNzdWU4NzcwNTAxOQ==,20,require moment without locales
3285,MDU6SXNzdWUxNjM3ODQzMTY=,19,Moment.js.2.14.1.nupkg File contains corrupted data
3263,MDU6SXNzdWUxNjIyODgzNjg=,19,moment isValid() issue with 12 hour format and AM/PM
2978,MDU6SXNzdWUxMzU0MDI1Mjg=,19,2.3 hour duration gives 2h 17m (should be 2h 18m)
2781,MDU6SXNzdWUxMTkzOTM1Mzg=,19,Single letter fromNow() format
611,MDU6SXNzdWUxMDY3ODgyNQ==,19,.zone() always returns the local zone
