Número da Issue,ID,Quant. comentários,Título
201,MDU6SXNzdWUyNzg0MDMyNw==,77,Upgrade the license to an open one
4854,MDU6SXNzdWUzMzMwNjI0NTk=,73,The big assets handling / resource transformation funcs naming thread
147,MDU6SXNzdWUyMzY0MTIwMw==,66,Non-MD files in the content directory (like jpg's and png's) end up as html's
4460,MDU6SXNzdWUzMDA5OTAzMjM=,64,"Allow theme = [""base"", ""my-theme"" ] (aka theme composition and inheritance)"
4616,MDU6SXNzdWUzMTQzMDY0NzI=,61,Improve Hugo Internal vs GDPR
3651,MDU6SXNzdWUyMzg3NTE3MjA=,59,Add Content Bags
1642,MDU6SXNzdWUxMTkzNjQyNTQ=,58,Shortcode output wrapped in <p> tags under certain conditions
796,MDU6SXNzdWU1NDM4NzQxNQ==,53,Add exec shortcode
5784,MDU6SXNzdWU0MjQ2MzkzNzQ=,52,Manual testing of Hugo 0.55 (Help Wanted!)
2864,MDU6SXNzdWUxOTgyNzIwMTY=,48,"Add a ""default"" Hugo theme"
1725,MDU6SXNzdWUxMjM2MzIwODc=,45,New theme for Hugo docs  http://hugodocs.netlify.com 
1053,MDU6SXNzdWU2NjY4NjAyNQ==,45,File change watcher is not working in TextMate2 on Mac
5996,MDU6SXNzdWU0NDk4OTQ3NTA=,44,"Consolidate theme.toml and config.toml, add a module config section etc."
621,MDU6SXNzdWU0ODExMTUwNA==,44,Add cachebursting for static resources
5911,MDU6SXNzdWU0MzgzNDg4MjA=,43,Use Go Modules for Theme Component dependency management
1778,MDU6SXNzdWUxMjY1ODkwNTM=,43,Heading levels in Markdown table of contents
1251,MDU6SXNzdWU5MzExMzQzMw==,41,Support for minification of generated HTML files
4446,MDU6SXNzdWUyOTk5NzY3NTA=,40,Add a base set of resource filters/processors
1061,MDU6SXNzdWU2ODc2MjYzMA==,38,.Next vs .NextInSection goes in opposite directions
1014,MDU6SXNzdWU2NTI1NDIyMA==,38,Image Resizing and Cropping
470,MDU6SXNzdWU0MTc3NDQwNA==,36,Support for AsciiDoc
6161,MDU6SXNzdWU0NzY0MzM3Mzc=,35,hugo creating invalid timestamps in folder public 
4244,MDU6SXNzdWUyODcxOTU5NTY=,32,Add front matter metadata for Resources
330,MDU6SXNzdWUzNTY2OTA5OQ==,32,Minimalist website with homepage as content
653,MDU6SXNzdWU0OTMwNDM1OA==,31,Means to exclude content from sitemap.xml
5885,MDU6SXNzdWU0MzU2NTIxODk=,30,"panic: invalid paginator state for ""Example.com"""
636,MDU6SXNzdWU0ODcyMzkxMA==,30,[Windows] error copying static files
260,MDU6SXNzdWUzMTg0NjQ3OQ==,29,Allow for future posting by date in front-matter.
6545,MDU6SXNzdWU1MjkzMDExMTY=,27,Add markdown template hooks for links and images
4780,MDU6SXNzdWUzMjY3MzMwMDc=,26,On build: convert JPGs larger than 1M into WEBP
4600,MDU6SXNzdWUzMTMwNjk5Nzc=,26,Add EXIF metadata
660,MDU6SXNzdWU0OTc1MjUzNw==,26,Failing unit tests on windows due forward slash vs back slash
130,MDU6SXNzdWUyMzA4MzYzMw==,26,File permissions in /public
6553,MDU6SXNzdWU1Mjk5MTY3NDQ=,25,0.60.0 goldmark: <html> indentation in partial/shortcode wrapped in `<pre><code>`
5139,MDU6SXNzdWUzNTU0NDk1MjE=,25,"Add role based output (think membership sections, RBAC)"
4011,MDU6SXNzdWUyNjg2NzI1NDE=,25,"Add ""inline"" shortcode"
1744,MDU6SXNzdWUxMjQ2MjMzMDM=,25,Native and complete i18n support
432,MDU6SXNzdWU0MDk1NTA0NA==,25,Assets concatenation
168,MDU6SXNzdWUyNTQ2ODM4MQ==,25,watch with lots of files dies
3228,MDU6SXNzdWUyMTY2ODU3OTA=,24,Move current gohugo.io and themes.gohugo.io to Netlify
1240,MDU6SXNzdWU5MjQ4OTc1Nw==,24,Images in markdown relative to content 
836,MDU6SXNzdWU1NTQyMzczNQ==,24,Add hook to customize Markdown links
532,MDU6SXNzdWU0NDM5MjMwNQ==,24,RSSLink not working with permalinks.posts
525,MDU6SXNzdWU0NDA4OTcwNA==,24,Add template functions: intersect and in
5422,MDU6SXNzdWUzNzg3MTMzNzU=,23,Add a /config dir
4027,MDU6SXNzdWUyNjk2ODU5MTM=,23,Add multilingual multihost support
3354,MDU6SXNzdWUyMjIwMDI3MDY=,23,Override section url
2227,MDU6SXNzdWUxNjEwNDU0NjA=,23,Relative links to non-page files do not include path prefix
1628,MDU6SXNzdWUxMTkxMDgxODM=,23,`hugo server` freezing with hugo_0.15_windows_386.exe (32-bit)
1180,MDU6SXNzdWU4MjM3NTEwMw==,23,Special characters in taxonomy and slugs
