Número da Issue,ID,Quant. comentários,Título
253,MDU6SXNzdWUzNjIxNjc4OTk=,0,Test
267,MDU6SXNzdWUzNjg5OTcxNjc=,0,Thank you September contributors!
292,MDU6SXNzdWUzODQ2NjAxNDk=,0,Security: Prevent SSRF attacks
318,MDU6SXNzdWUzOTg1MjI4NjE=,0,Jan 2019 maintenance
403,MDU6SXNzdWU0NDI3MDY5ODM=,0, Thank you contributors!  (April 2019)
439,MDU6SXNzdWU0Njc4NTUzOTQ=,0, Thank you contributors!  (June 2019)
662,MDU6SXNzdWU1OTAwNDUzMzU=,0,Credit to  @mindock
679,MDU6SXNzdWU2MTUzNjE0NDA=,0,Kevyn in Steering Committee
682,MDU6SXNzdWU2MTcyMTE4ODk=,0,Docker best practices - bullets and assignee
11,MDU6SXNzdWUyNzA5NTQyNTQ=,1,add async await error management example
13,MDU6SXNzdWUyNzA5ODExMjM=,1,Wow!
47,MDU6SXNzdWUyNzI1ODc3NjM=,1,Commit messages best practices
67,MDU6SXNzdWUyNzQwMDg2MDM=,1,Performance section
92,MDU6SXNzdWUyNzcxNTM3MzU=,1,Chinese translation 
141,MDU6SXNzdWUyOTc1ODEwMTk=,1,1st result on Google search for 'best practices'
203,MDU6SXNzdWUzMzc4MDA5MTA=,1,Badges are missing
211,MDU6SXNzdWUzNDEzMTY1Nzk=,1,Is `new Function` insecured?
225,MDU6SXNzdWUzNTA1NTM4OTA=,1,Medium issue
231,MDU6SXNzdWUzNTE0NjY1MDM=,1,Constantly and automatically inspect for vulnerable dependencies
247,MDU6SXNzdWUzNjA2NjY1MDk=,1,New practice suggestion: Prevent Unsafe Redirects
254,MDU6SXNzdWUzNjIxNjkxMTg=,1,Starting with the performance section
276,MDU6SXNzdWUzNzkyMDc0MTM=,1,A suggestion for new best practice: tests must be fully independent
291,MDU6SXNzdWUzODQyMjc1MDc=,1,Security: Enable 2FA for NPM accounts
333,MDU6SXNzdWU0MDYxODc4Njg=,1,Jan 2019 thank you
345,MDU6SXNzdWU0MTMxOTU0OTU=,1,Improvements to secureserver.md
348,MDU6SXNzdWU0MTQzNTIyNzg=,1,Improvements to commonsecuritybestpractices.md 
398,MDU6SXNzdWU0NDA1NDY3NDE=,1,May operations checklist
406,MDU6SXNzdWU0NDQ1MDE5ODI=,1,Performance: Replicate the Node process
586,MDU6SXNzdWU1MTM3NzIxOTg=,1, Thank you contributors!  (September & October 2019)
601,MDU6SXNzdWU1MzM5MTcwNzU=,1,"This sentence in 2.9 is missing something, not sure what"
648,MDU6SXNzdWU1Nzg0MDg1NTA=,1,Basque translation
650,MDU6SXNzdWU1ODE1Nzk1Mjg=,1,Should I do module.exports = foo(){} directly?
4,MDU6SXNzdWUyNjc1NzYyNzI=,2,Error handling for promises outdated by a little :)
43,MDU6SXNzdWUyNzI0OTgxNzI=,2,SyntaxError: Unexpected token throw
53,MDU6SXNzdWUyNzI4NDUxOTA=,2,Add const array/object note
73,MDU6SXNzdWUyNzQxODUxNDU=,2,Who is this geared for?
80,MDU6SXNzdWUyNzYyOTAxNjI=,2,Multilingual version
143,MDU6SXNzdWUyOTc4OTQ5OTg=,2,Repo analytics using a pixel
169,MDU6SXNzdWUzMTA0MzUzNzE=,2,Interactive map of best practices (+architecture)
183,MDU6SXNzdWUzMjMzMTc1NDY=,2,May 2018 Maintenance
209,MDU6SXNzdWUzNDEzMDI5ODY=,2,July maintenance 
212,MDU6SXNzdWUzNDEzMjQ0Nzg=,2,Uncaught exceptions as a security weakness
265,MDU6SXNzdWUzNjg5ODE5NjE=,2,Security bullet '6.24. Prevent unsafe redirects' has no OWASP badge
268,MDU6SXNzdWUzNjkwNDM3MDg=,2,October maintenance checklist
343,MDU6SXNzdWU0MTI0OTIzMDA=,2,Update 'Avoid Eval' to include new Function
354,MDU6SXNzdWU0MTkxNzEwMDA=,2, Thank you contributors!  (Feb 2019)
378,MDU6SXNzdWU0MzI5NzE0NTA=,2,April 2019 maintenance list
387,MDU6SXNzdWU0MzY0NDcwMjA=,2,Prefer argon2 instead of bcrypt 
421,MDU6SXNzdWU0NTY2MTYyOTg=,2,2019 june list
430,MDU6SXNzdWU0NjAzMDIyMDY=,2,[High]Do we have sample app which use most of best practices(include graphql)?
