Número da Issue,ID,Quant. comentários,Título
459,MDU6SXNzdWU0ODE5NDE4MzE=,172,All contributors bot implementation
133,MDU6SXNzdWUyOTI1NzgyODY=,77,Security best practices - kicking off
95,MDU6SXNzdWUyNzg3MjEzMzM=,66,Spanish translation (buena suerte)
256,MDU6SXNzdWUzNjQwOTE2NTY=,50,Performance & diagnostics best practices - call for ideas
129,MDU6SXNzdWUyOTEyNTA0ODA=,44,French translation
33,MDU6SXNzdWUyNzE4MDA3NDQ=,41,Security best practices section
69,MDU6SXNzdWUyNzQwNzI4MjM=,40,How about an example project?
139,MDU6SXNzdWUyOTY0MjcwMzM=,38,Turkish translation Hogeldiniz
410,MDU6SXNzdWU0NTEyMDE0OTk=,36,Usage of https://allcontributors.org/
31,MDU6SXNzdWUyNzE2Njc5MDM=,36,Some of the performance items
220,MDU6SXNzdWUzNDUyNDMyMzk=,30,Static vs Constructor approach
156,MDU6SXNzdWUzMDUwNzE4NDY=,27,Hebrew translation  
302,MDU6SXNzdWUzOTE1NTk0NDg=,25,Performance section pool of ideas
390,MDU6SXNzdWU0Mzc5ODEyNjA=,24,Egyptian Arabic translation
257,MDU6SXNzdWUzNjUyMzkyMDI=,22,Will it be possible to have a sample app which implements most of this best practices?
26,MDU6SXNzdWUyNzE0NjA4MTU=,22,3.4 Don't Forget the Semicolon
620,MDU6SXNzdWU1NTUxNjM5MjQ=,21,Docker best practices - call for ideas
325,MDU6SXNzdWU0MDA3ODU2NDg=,21,6.8 Feasibility of time-based database brute-force attacks on websites
15,MDU6SXNzdWUyNzEwOTc2NzQ=,21,Contradicting content: named functions vs anonymous arrow functions
303,MDU6SXNzdWUzOTMzNzA5MDQ=,20,I'm confused about this part of best practices
271,MDU6SXNzdWUzNzEzMTUwOTk=,20,[suggestion] testing planning best practices
94,MDU6SXNzdWUyNzg3MjExMjI=,20,Korean translation  
294,MDU6SXNzdWUzODU1Njk2MTQ=,18,Performance: Don't block the event loop
223,MDU6SXNzdWUzNDkyMzc5Mjc=,18,Brazilian Portuguese translation
196,MDU6SXNzdWUzMzI2ODUwMjU=,18,Portuguese translation
172,MDU6SXNzdWUzMTMyMzMyMTU=,18,April maintenance list
319,MDU6SXNzdWUzOTg2NDQxMzI=,17,January meeting proposed agenda
329,MDU6SXNzdWU0MDM1MTczMTU=,15,6.12 Recommended package express-brute does not do well on high traffic. Race conditions.
239,MDU6SXNzdWUzNTgzODg4Njg=,15,"What are best approach to design Scalable, Maintable (Clean Code) node Architecture for Enterprise Application"
135,MDU6SXNzdWUyOTUyNTI0MDI=,15,Resources for the security best practices section
22,MDU6SXNzdWUyNzEyMDQ3MDI=,15,Use gitbook or hexo style of documentation.
198,MDU6SXNzdWUzMzQ0NzE2MzA=,14,How to structure your solution by components for project that uses an ORM?
146,MDU6SXNzdWUzMDAwNjEzNDg=,14,Dependency caching is a good practice
17,MDU6SXNzdWUyNzExMTM0MDk=,14,Errors handling example why not subclassing Eror ?
395,MDU6SXNzdWU0Mzk4ODkzNjc=,13,Ukrainian translation
186,MDU6SXNzdWUzMjM1Nzg0NjY=,13,Limit login attempts
415,MDU6SXNzdWU0NTMwNDM5MTE=,11,Update medium security article
286,MDU6SXNzdWUzODQwNTg1MTM=,11,November meeting proposed agenda
252,MDU6SXNzdWUzNjIxNjUyMDg=,11,"I can't understand ""Layer your app, keep Express within its boundaries"" second picture ?"
224,MDU6SXNzdWUzNTAxNjU3OTQ=,11,On what topic should be our next best practices list?
222,MDU6SXNzdWUzNDgyMDg3MTI=,11,Extending testing best practices
193,MDU6SXNzdWUzMjk4MDg2NzE=,11,Using named parameters in functions
596,MDU6SXNzdWU1Mjc3Mzc1NDU=,10,Structuring project by components - any real examples?
435,MDU6SXNzdWU0NjM1MDQ4Mjg=,10,CLI to generate boilerplate code following the best practices
277,MDU6SXNzdWUzNzkzNjAxNTU=,10,November maintenance
173,MDU6SXNzdWUzMTQ1OTczOTY=,10,Italian translation
552,MDU6SXNzdWU0ODQ4ODk4NTI=,9,Revert line-length markdownlint setting
454,MDU6SXNzdWU0Nzc0NDg5Nzg=,9,What is the Russian translation status?
405,MDU6SXNzdWU0NDM1OTkzNTY=,9,Possibly confusing error handling example
321,MDU6SXNzdWUzOTg5ODI3OTE=,9,Use images w/ transparent background  dark theme FTW
